latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched,latest_commit_date,commit_compared_with_date
089086c5f013582a1c81a76f9c5eaa4a240e5ad3,9df530d4b375b42e7007ae6470604532d435a5cd,470810.0,12079,1004,2021-06-20 04:16:16,2021-06-19 21:09:18
0e799710b37250474a607cbfd63886e88daf2efe,f2acb419eade8ab6704b62e8bf9d86c0104a643d,617.0,650,35,2021-06-15 16:05:17,2021-01-31 21:41:21
0e799710b37250474a607cbfd63886e88daf2efe,0f1039f2900602e72c20f67a9e58c30f829b27e0,787.0,162,11,2021-06-15 16:05:17,2021-02-03 02:03:32
0e799710b37250474a607cbfd63886e88daf2efe,771ed6b685f22f37e1a14f8e5d954fa6e6f03c09,876.0,34,3,2021-06-15 16:05:17,2021-02-01 09:54:33
0e799710b37250474a607cbfd63886e88daf2efe,a49869bf382f19a3dd4ada49e655c07f90fab05a,278.0,389,20,2021-06-15 16:05:17,2021-02-22 21:50:44
0e799710b37250474a607cbfd63886e88daf2efe,8912e7324fab207e2863891d499cd111eb10f129,75.0,19,1,2021-06-15 16:05:17,2021-02-20 14:29:25
0e799710b37250474a607cbfd63886e88daf2efe,cfb0c5ffb71b85074b06af671eec73986c487ad1,4714.0,175,25,2021-06-15 16:05:17,2021-02-24 23:02:52
0e799710b37250474a607cbfd63886e88daf2efe,30bfbbc257d1a5b59563323b5eea29099d73926f,332.0,330,12,2021-06-15 16:05:17,2021-02-27 20:40:47
0e799710b37250474a607cbfd63886e88daf2efe,e1cdbf8647b9e32bd093a83ebb41788dcd31a736,4742.0,202,31,2021-06-15 16:05:17,2021-02-27 04:42:31
0e799710b37250474a607cbfd63886e88daf2efe,06e0ba397e6051a4a018466bfe55a4009a943c90,18.0,12,1,2021-06-15 16:05:17,2021-03-07 05:10:03
0e799710b37250474a607cbfd63886e88daf2efe,9892e7c83daf6d4aebbc931ec92fe26d12a1026f,40.0,32,1,2021-06-15 16:05:17,2021-03-07 05:10:24
0e799710b37250474a607cbfd63886e88daf2efe,b11581efc9281aa88f8357da0c561ba6907b52ee,1187.0,102,14,2021-06-15 16:05:17,2021-03-08 12:52:07
0e799710b37250474a607cbfd63886e88daf2efe,9e8cde123326f977add4eb4eb1fb5bad539f52c3,7268.0,1142,46,2021-06-15 16:05:17,2021-03-10 04:51:20
0e799710b37250474a607cbfd63886e88daf2efe,d6225f7801d192fc93962b21a090be464fb33758,1764.0,14,3,2021-06-15 16:05:17,2021-03-14 09:22:47
0e799710b37250474a607cbfd63886e88daf2efe,9636fd392d2e456933265bf17eb8a65ec5072040,784.0,235,32,2021-06-15 16:05:17,2021-03-14 09:22:36
0e799710b37250474a607cbfd63886e88daf2efe,06d3bfce732eb594f14e416359aa8be5b6bfbd4b,748.0,214,11,2021-06-15 16:05:17,2021-03-19 09:29:01
0e799710b37250474a607cbfd63886e88daf2efe,524f04569e3e20208dbb3bbb44dfb264a687b997,16871.0,258,48,2021-06-15 16:05:17,2021-04-05 04:25:01
0e799710b37250474a607cbfd63886e88daf2efe,5dccc90788e2e08eae0ff3094ba72e1ce72e108f,592.0,122,8,2021-06-15 16:05:17,2021-04-05 10:43:04
0e799710b37250474a607cbfd63886e88daf2efe,ffcfb0110f094a7f1d0b3378dd80afbc40bcf66c,1719.0,158,1,2021-06-15 16:05:17,2021-04-05 06:33:40
0e799710b37250474a607cbfd63886e88daf2efe,22b3267052dc8eda9f949fee7186575d754ff4b1,15471.0,26952,94,2021-06-15 16:05:17,2021-04-05 10:47:29
