latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched,latest_commit_date,commit_compared_with_date
81e4efe5f2478b3ac5451e3cf05857fe2b3b90f4,0993d2216bf54febc4d06ad3f509a91a11d599f4,1620.0,118,13,2021-05-10 21:43:08,2021-05-06 22:10:37
1c57aca65050a5025de92de866d6a194f15df1cc,fdf9516c7bf69ae7bda231023644431e34c89d13,1064.0,510,28,2020-06-25 19:21:52,2020-05-14 14:05:36
1c57aca65050a5025de92de866d6a194f15df1cc,96ca56b2a719be43a21b7a734cd0cc2f2f58a900,464.0,30,4,2020-06-25 19:21:52,2020-05-14 14:10:04
1c57aca65050a5025de92de866d6a194f15df1cc,ec346a67b3f2e084afd2e48286eeedcaa961c012,2428.0,415,12,2020-06-25 19:21:52,2020-05-20 14:30:16
1c57aca65050a5025de92de866d6a194f15df1cc,b651bba1392907bac2ed6187386c519128ec82c7,1224.0,36,2,2020-06-25 19:21:52,2020-05-26 21:27:43
1c57aca65050a5025de92de866d6a194f15df1cc,a04f6f742d7aca4e198aca78b48f75eb4ea4bc3a,9734.0,1448,62,2020-06-25 19:21:52,2020-05-28 11:58:54
1c57aca65050a5025de92de866d6a194f15df1cc,843374c2f23f04dfeca68025d80a9fc5c89846b5,3103.0,713,24,2020-06-25 19:21:52,2020-05-29 12:25:51
1c57aca65050a5025de92de866d6a194f15df1cc,573cdbf422a8e72576bb8ca6f1ba8872bb2a5ef5,2992.0,649,25,2020-06-25 19:21:52,2020-06-04 12:18:50
1c57aca65050a5025de92de866d6a194f15df1cc,5241afdf818b484412c44d27d97a2c7e4dacbb71,128.0,20,2,2020-06-25 19:21:52,2020-06-25 15:03:52
576713fba120e60c256928835ac6d108d5432e60,5185f3311690da2df71cbe1229f042ae9b45451c,110.0,25,3,2020-05-11 14:18:56,2016-03-18 11:51:43
576713fba120e60c256928835ac6d108d5432e60,a9feb5d7529d85099c8186fdd01dcf607901d9ed,48.0,18,2,2020-05-11 14:18:56,2016-04-15 08:30:59
576713fba120e60c256928835ac6d108d5432e60,715dd188e95632eeb52c7b45c12fbc97c1c8a81d,22.0,358,1,2020-05-11 14:18:56,2016-05-19 09:22:41
576713fba120e60c256928835ac6d108d5432e60,6568659613b384ad101577dbfab85b5b3d296ae2,55.0,55,2,2020-05-11 14:18:56,2016-06-13 12:34:06
576713fba120e60c256928835ac6d108d5432e60,6034b1fd9def7f11106b0c4c4385cedafdeabb29,6.0,17,1,2020-05-11 14:18:56,2016-06-29 08:58:10
576713fba120e60c256928835ac6d108d5432e60,579962ddde78f926537dbf9d8cea4cce274d13d0,252.0,16,2,2020-05-11 14:18:56,2016-07-26 18:19:08
576713fba120e60c256928835ac6d108d5432e60,6babfc182bbc478857ab135e928f170fe6beced6,18660.0,186,15,2020-05-11 14:18:56,2016-09-14 13:52:44
576713fba120e60c256928835ac6d108d5432e60,9fd3d45c01b0c52d57ddfb6664eb6bb67c072410,784.0,272,7,2020-05-11 14:18:56,2017-05-16 11:35:18
576713fba120e60c256928835ac6d108d5432e60,e1ac6c6eb0b892b762b3e31176c771f82902f26e,18660.0,186,15,2020-05-11 14:18:56,2017-05-16 12:37:04
576713fba120e60c256928835ac6d108d5432e60,5a7793f4e0d616b6f0b8c7eca70f8f29fcf014a8,124.0,30,2,2020-05-11 14:18:56,2018-04-09 09:45:59
576713fba120e60c256928835ac6d108d5432e60,08d403d6da1e7a69a35e084c0e1ec66e2c8d7c4c,6584.0,806,52,2020-05-11 14:18:56,2018-04-26 08:46:10
576713fba120e60c256928835ac6d108d5432e60,e51eafaaeff18a97a14b9c0c39059e597a7aaddf,3061.0,928,59,2020-05-11 14:18:56,2018-06-14 21:29:37
576713fba120e60c256928835ac6d108d5432e60,58aadb1043144871afb41f5b56cc84c881d2a2fc,945.0,70,10,2020-05-11 14:18:56,2018-06-30 19:23:01
576713fba120e60c256928835ac6d108d5432e60,a205b45a4dba105bd6eebba9481590c1057f9d6c,300.0,38,2,2020-05-11 14:18:56,2018-07-05 12:02:08
576713fba120e60c256928835ac6d108d5432e60,b01ff6ebf9dfeb65a0d3da5b0fa5d2c4f7107b60,16.0,16,1,2020-05-11 14:18:56,2018-07-20 14:38:58
576713fba120e60c256928835ac6d108d5432e60,592037156c8598aa730f1b5b8221faa311c0833b,4157.0,630,22,2020-05-11 14:18:56,2018-10-01 21:42:58
576713fba120e60c256928835ac6d108d5432e60,4d71d769ad3ded80018096b42b6feb8777fbe6b7,1620.0,98,6,2020-05-11 14:18:56,2018-10-19 06:16:33
576713fba120e60c256928835ac6d108d5432e60,da438c3285073356a95816f99c415fb2cc4a983b,87.0,20,2,2020-05-11 14:18:56,2019-07-23 22:37:28
576713fba120e60c256928835ac6d108d5432e60,867b2fcbcbd65d72de3eee4a84ec7f6626ceee7a,2028.0,96,2,2020-05-11 14:18:56,2019-10-16 10:57:43
576713fba120e60c256928835ac6d108d5432e60,ba2482e6115880a0a7ac26efb392dbed32e819a6,856.0,306,2,2020-05-11 14:18:56,2019-11-19 13:54:00
576713fba120e60c256928835ac6d108d5432e60,e0bd9730cb18dc5ba52d5b6e886d7c5d3e7a2f32,24.0,36,2,2020-05-11 14:18:56,2019-11-26 13:25:51
8858ee986ddef69cdc6768dadbd3af257d301fa3,e0cdc9fc90fc4a9be5ecba8910790906fd126e38,23073.0,62277,379,2017-02-10 00:01:24,2017-02-09 23:49:30
