latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched,latest_commit_date,commit_compared_with_date
90f98a669d4819b469f25fd6f8d94c6a081c2b1a,e296c0009209f61504500a6cfcd10be512dc3925,804.0,6,2,2021-06-21 19:56:23,2021-04-02 23:08:11
90f98a669d4819b469f25fd6f8d94c6a081c2b1a,c55f72af81101e0e260c17ee6ffae45c91c23edb,7230.0,1835,28,2021-06-21 19:56:23,2021-04-30 23:13:50
90f98a669d4819b469f25fd6f8d94c6a081c2b1a,79ea6dd3b6eeea9f867d833903ec3afbfcd7b79e,1260.0,257,24,2021-06-21 19:56:23,2021-05-03 09:58:41
90f98a669d4819b469f25fd6f8d94c6a081c2b1a,60fd371e9b36967d0d11092cacd66bc6f41f5448,14557.0,1188,77,2021-06-21 19:56:23,2021-05-03 21:10:23
90f98a669d4819b469f25fd6f8d94c6a081c2b1a,8f51c03b05fcb6793c12cde619ca1fbd40a23f97,336.0,18,9,2021-06-21 19:56:23,2021-05-04 22:24:00
90f98a669d4819b469f25fd6f8d94c6a081c2b1a,151efafa41ba665d0502a2a5cdc8cbbe885741e6,7560.0,2020,44,2021-06-21 19:56:23,2021-05-03 19:10:44
90f98a669d4819b469f25fd6f8d94c6a081c2b1a,e37bedea7955d2fc13ae44f72a96cc3b763b63e3,1352.0,28,4,2021-06-21 19:56:23,2021-05-06 20:34:31
90f98a669d4819b469f25fd6f8d94c6a081c2b1a,db62cc72f128bbda2a81c3a7fead203e9efed30f,1185.0,63,7,2021-06-21 19:56:23,2021-05-06 20:41:44
90f98a669d4819b469f25fd6f8d94c6a081c2b1a,7a348292ef4c5a54cc710617c15ad7f08d3297ed,1140.0,552,8,2021-06-21 19:56:23,2021-05-06 21:52:38
90f98a669d4819b469f25fd6f8d94c6a081c2b1a,efc2d75c9e1c621c8be808edcbe6e1648c4730df,24.0,31,3,2021-06-21 19:56:23,2021-05-07 16:59:11
90f98a669d4819b469f25fd6f8d94c6a081c2b1a,1428401ced845c7a30983bfd8581d846e84c8779,1551.0,775,19,2021-06-21 19:56:23,2021-05-07 18:33:28
90f98a669d4819b469f25fd6f8d94c6a081c2b1a,0e3c9b8189ed24f024d8657bda7bfda1394e5811,1350.0,22,5,2021-06-21 19:56:23,2021-05-07 21:24:46
90f98a669d4819b469f25fd6f8d94c6a081c2b1a,456903cc308b3b11204517bdaa2b4e70962245a6,136.0,68,2,2021-06-21 19:56:23,2021-05-11 16:20:40
90f98a669d4819b469f25fd6f8d94c6a081c2b1a,d14dfd70462e8c1d3cbef7b16608dba333866da3,10180.0,366,27,2021-06-21 19:56:23,2021-05-07 03:12:01
90f98a669d4819b469f25fd6f8d94c6a081c2b1a,c9eb5fb894cfee96c0d79b987b952dc9e9a90a30,5402.0,337,24,2021-06-21 19:56:23,2021-05-14 00:14:51
90f98a669d4819b469f25fd6f8d94c6a081c2b1a,2ea61b722894f56eab15aca1cd428ca8f3c41be6,1352.0,28,4,2021-06-21 19:56:23,2021-05-14 19:25:18
