latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched,latest_commit_date,commit_compared_with_date
b84627ef4bc43f2096c1b764720f9ff2387dca32,3e331c108905a97fa9718b40844ddc1356fc86b5,840.0,1740,9,2021-01-30 19:44:19,2020-10-18 12:13:09
b84627ef4bc43f2096c1b764720f9ff2387dca32,8438e360defe4f842b2ea99969183f7118935a31,4.0,566,1,2021-01-30 19:44:19,2020-10-18 12:55:43
b84627ef4bc43f2096c1b764720f9ff2387dca32,9ee33446f83932a2bb001e5ef2156a3d5de5838d,8831.0,10,19,2021-01-30 19:44:19,2020-10-18 16:37:48
b84627ef4bc43f2096c1b764720f9ff2387dca32,f8065acac28a0b86f3bdbd854ac87af0789416d0,1215.0,8054,43,2021-01-30 19:44:19,2020-10-30 06:59:02
b84627ef4bc43f2096c1b764720f9ff2387dca32,743a260b2ad8fa9830a953710dca53ea7525151b,1188.0,159,22,2021-01-30 19:44:19,2020-10-31 12:10:08
b84627ef4bc43f2096c1b764720f9ff2387dca32,e2b868c538b9eb103cc4a7ac0f3bd6c82df4057f,644.0,10,14,2021-01-30 19:44:19,2020-10-31 12:10:34
b84627ef4bc43f2096c1b764720f9ff2387dca32,963c76864344d0d55ba7421f474c130a958a9649,55869.0,5563,732,2021-01-30 19:44:19,2020-10-31 22:51:34
b84627ef4bc43f2096c1b764720f9ff2387dca32,59ae0c138d6468aac5d92781b19cddc26e04e862,11847.0,2772,109,2021-01-30 19:44:19,2020-11-01 05:46:35
b84627ef4bc43f2096c1b764720f9ff2387dca32,d80df110935cc4dc721789d6b343c399703fca16,108.0,14,3,2021-01-30 19:44:19,2020-11-01 14:10:13
b84627ef4bc43f2096c1b764720f9ff2387dca32,47a852e8de40dca245cb18a9f3f4c76ad93fda38,418.0,64,7,2021-01-30 19:44:19,2020-11-01 16:18:59
b84627ef4bc43f2096c1b764720f9ff2387dca32,4677beea96f0afb1e061f119e52e0203d4cd3738,42.0,589,4,2021-01-30 19:44:19,2020-11-03 19:56:29
b84627ef4bc43f2096c1b764720f9ff2387dca32,4036fa55b72faaad3a14f806094184ade157917d,147.0,234,17,2021-01-30 19:44:19,2020-11-14 17:21:04
b84627ef4bc43f2096c1b764720f9ff2387dca32,ff959f8fd550b8f55a47038ea4235b1b2ed2eaa8,339.0,2930,8,2021-01-30 19:44:19,2020-11-15 06:42:22
b84627ef4bc43f2096c1b764720f9ff2387dca32,083315a473d8b2fc972a70449272b296683ac38c,6543.0,16716,68,2021-01-30 19:44:19,2020-11-21 13:28:45
b84627ef4bc43f2096c1b764720f9ff2387dca32,5f2732de5a5bc389be2e5bd72441f2a7198b4ca1,121.0,4235,12,2021-01-30 19:44:19,2020-11-21 20:52:56
79d2a8d192d007b8acb2423d3ab6bba3a4f999e1,334eb0072512155e57a809b2fa18861c0d68ec9f,424.0,940,8,2021-01-30 18:36:37,2020-10-02 01:46:58
4fd1e8f99833eebdd2e99f3456322aa197f5e652,334eb0072512155e57a809b2fa18861c0d68ec9f,424.0,940,8,2020-10-07 03:28:26,2020-10-02 01:46:58
