latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched,latest_commit_date,commit_compared_with_date
08a06a7693a31bca7b66f396ba6555cbd9d63a49,548b4e48988c2575ce44e7ff62fe274e56432549,448.0,146,4,2021-07-26 09:14:32,2021-06-30 08:51:58
08a06a7693a31bca7b66f396ba6555cbd9d63a49,f7fbb9fbf7b15ab43d6efed5fbff8b25c2687b4f,831.0,68,16,2021-07-26 09:14:32,2021-07-01 13:01:54
08a06a7693a31bca7b66f396ba6555cbd9d63a49,db65315d60c83b90b18e47a0382f8e0fc3aaa03a,864.0,221,20,2021-07-26 09:14:32,2021-07-12 10:11:39
08a06a7693a31bca7b66f396ba6555cbd9d63a49,82e7beaa274e6382cf8324e58eb24c2c6aa43bc1,348.0,116,8,2021-07-26 09:14:32,2021-07-12 12:19:36
592e88966590e45f8b67cb34dccd41689a00c8cf,72332bcd20d9e73bbd5cf4f9ce9f5925c90702a7,24.0,44,1,2021-06-28 08:29:12,2021-06-14 07:10:57
592e88966590e45f8b67cb34dccd41689a00c8cf,f85a7b434be102fb03a27fc50e222f444c767bc3,17028.0,845,78,2021-06-28 08:29:12,2021-06-15 09:08:00
592e88966590e45f8b67cb34dccd41689a00c8cf,bd329099ff9af439be2726657652f6c8e70a24c9,4145.0,236,36,2021-06-28 08:29:12,2021-06-17 06:28:40
592e88966590e45f8b67cb34dccd41689a00c8cf,588669d62fad7cc351490d614053e8ec559c5765,9525.0,245,15,2021-06-28 08:29:12,2021-06-21 06:53:17
592e88966590e45f8b67cb34dccd41689a00c8cf,52e42c5f15fa76500f940029b94c54032dadf7c3,90.0,253,6,2021-06-28 08:29:12,2021-06-27 16:06:21
592e88966590e45f8b67cb34dccd41689a00c8cf,82f374c90185d9b90cdfbb7e0c5b2acccb81ce94,3888.0,3654,118,2021-06-28 08:29:12,2021-06-28 07:05:22
592e88966590e45f8b67cb34dccd41689a00c8cf,a155dde743eea7280e28ca049c70de399a898abf,36.0,97,2,2021-06-28 08:29:12,2021-06-28 07:24:23
ed52098cb4a2e5d854aeef703d90aa8a1186c156,e8394451c7afdf8114d16a6e0714c60ba3f47996,28.0,64,2,2021-06-07 07:46:55,2021-05-13 11:52:43
ed52098cb4a2e5d854aeef703d90aa8a1186c156,383237229a71e738795f6ad58a3ad51a88ae9be5,2535.0,285,15,2021-06-07 07:46:55,2021-05-19 09:30:30
ed52098cb4a2e5d854aeef703d90aa8a1186c156,add9c68333e3b98108a60a823aedf3bacf3e01a9,180.0,2,3,2021-06-07 07:46:55,2021-05-27 06:20:17
ed52098cb4a2e5d854aeef703d90aa8a1186c156,f09c7b70968b8cc22e4c844e88f1bdc9ce28e9da,8413.0,296,33,2021-06-07 07:46:55,2021-06-02 11:10:31
ed52098cb4a2e5d854aeef703d90aa8a1186c156,76d134c7ecf414628250cf7ec7aa27d068efa587,408.0,78,2,2021-06-07 07:46:55,2021-06-04 05:58:26
dd999217a18441ceb97df3cc1a76bc15da4c7fba,6a10ecf2cb58c4d92e05ee2c67087b1335accb7c,54.0,99,1,2021-05-12 09:51:35,2019-11-29 14:48:16
dd999217a18441ceb97df3cc1a76bc15da4c7fba,9c9e32263664c979ec19508cabf6ca9c6d1bcabf,36.0,38,2,2021-05-12 09:51:35,2019-12-03 22:17:31
dd999217a18441ceb97df3cc1a76bc15da4c7fba,33bfb377728ba6fbf442a99750a34933bbe84d4c,544.0,640,30,2021-05-12 09:51:35,2019-12-04 08:55:50
dd999217a18441ceb97df3cc1a76bc15da4c7fba,c3283627dbc1506adc8cbfbdfa61b5a9b3b28447,924.0,30,4,2021-05-12 09:51:35,2019-12-09 16:05:00
dd999217a18441ceb97df3cc1a76bc15da4c7fba,d12ed9c98c0f6a4bc2077a599b7890cfa58f1f41,462.0,4,2,2021-05-12 09:51:35,2019-12-09 16:15:45
dd999217a18441ceb97df3cc1a76bc15da4c7fba,7ff9ed67e4f6678fe5eb9fa20c48710e790302b6,756.0,104,34,2021-05-12 09:51:35,2019-12-11 08:35:14
dd999217a18441ceb97df3cc1a76bc15da4c7fba,6aa19ecc70cd2c92debff6d7008b5156959a7594,60.0,70,3,2021-05-12 09:51:35,2019-12-06 19:22:46
dd999217a18441ceb97df3cc1a76bc15da4c7fba,6e494d0cd992a053d6ea8190667af9bea908641d,88.0,32,4,2021-05-12 09:51:35,2019-12-16 08:19:56
dd999217a18441ceb97df3cc1a76bc15da4c7fba,e04daf57156330403ac69489851c9a337c3539e3,3261.0,200,66,2021-05-12 09:51:35,2019-12-17 12:12:09
dd999217a18441ceb97df3cc1a76bc15da4c7fba,c408ec984492c6a288d1d46ed3f6e79f9d2a7b91,45.0,10,2,2021-05-12 09:51:35,2019-12-17 17:37:24
dd999217a18441ceb97df3cc1a76bc15da4c7fba,e885daa2dd5423f68f4237179d8e17f2fc82f5f1,10.0,9,3,2021-05-12 09:51:35,2019-12-19 08:33:04
dd999217a18441ceb97df3cc1a76bc15da4c7fba,c0f980bf575f8d26f292f2617eaf730b3d0f9951,408.0,224,6,2021-05-12 09:51:35,2019-12-19 10:11:40
dd999217a18441ceb97df3cc1a76bc15da4c7fba,387fb465f00eaa36b8f7369bca304bdb9d28e530,9476.0,947,53,2021-05-12 09:51:35,2019-12-19 10:26:36
dd999217a18441ceb97df3cc1a76bc15da4c7fba,0ba729eb7f3c43e84b39f8b7529ca306fd16fa42,22.0,96,1,2021-05-12 09:51:35,2019-12-19 12:57:27
dd999217a18441ceb97df3cc1a76bc15da4c7fba,fbbf0a2cccb18e0e30e582d1d3a86bb924f2a28f,552.0,20,3,2021-05-12 09:51:35,2019-12-19 13:03:16
dd999217a18441ceb97df3cc1a76bc15da4c7fba,c9729e9ef862dec6b8d244b157dac59ba37c51b8,609.0,96,14,2021-05-12 09:51:35,2019-12-20 10:01:24
dd999217a18441ceb97df3cc1a76bc15da4c7fba,7838147444c7477e4bee191816300903ebd2802b,1248.0,156,6,2021-05-12 09:51:35,2019-12-23 07:03:28
dd999217a18441ceb97df3cc1a76bc15da4c7fba,c86740c5eeb5d1397fed63b4c422926b729cfb4f,855.0,66,12,2021-05-12 09:51:35,2019-12-24 06:38:57
dd999217a18441ceb97df3cc1a76bc15da4c7fba,bb3284ce91309fa24f99453aa9281639bad012d6,408.0,14,4,2021-05-12 09:51:35,2019-12-25 14:33:57
dd999217a18441ceb97df3cc1a76bc15da4c7fba,66205e9e77df9ee850204649ca83c5fad13ffc6b,2780.0,878,30,2021-05-12 09:51:35,2019-12-25 14:55:21
dd999217a18441ceb97df3cc1a76bc15da4c7fba,7048a860592678f79b9e41bcddcd6958e33c26e2,10.0,25,1,2021-05-12 09:51:35,2020-01-05 00:56:22
dd999217a18441ceb97df3cc1a76bc15da4c7fba,bd39b7895b3607047a75b119b353f564eca1b040,288.0,40,6,2021-05-12 09:51:35,2020-01-06 07:56:20
dd999217a18441ceb97df3cc1a76bc15da4c7fba,5264cd16f35f977c1ba1c796176267808f41906f,335.0,722,16,2021-05-12 09:51:35,2020-01-07 09:38:35
dd999217a18441ceb97df3cc1a76bc15da4c7fba,a3f80d712729967e92e2ad572f545e51ab89a1c4,1112.0,160,4,2021-05-12 09:51:35,2020-01-07 09:44:15
dd999217a18441ceb97df3cc1a76bc15da4c7fba,97f9451ddb9a10b8cc034da5a89aeb5604dd0d2a,36.0,38,2,2021-05-12 09:51:35,2020-01-09 06:45:21
dd999217a18441ceb97df3cc1a76bc15da4c7fba,00e8921cba52df1c987073bcb43ee9f5e6d082cc,740.0,8,5,2021-05-12 09:51:35,2020-01-10 07:16:15
dd999217a18441ceb97df3cc1a76bc15da4c7fba,6f2478a42f5a0ffa9612030405b946296796d2ae,572.0,415,30,2021-05-12 09:51:35,2020-01-10 07:29:23
dd999217a18441ceb97df3cc1a76bc15da4c7fba,721d01c337f651d87f6c28c83bdeb65d143f32fb,22.0,20,1,2021-05-12 09:51:35,2020-01-10 07:30:54
dd999217a18441ceb97df3cc1a76bc15da4c7fba,ec153b891c9a4a72c9736742ab47444d8f500522,1256.0,832,54,2021-05-12 09:51:35,2020-01-11 05:52:21
dd999217a18441ceb97df3cc1a76bc15da4c7fba,8b382013f29192f98fcf0921094edf076b5dd9c6,1780.0,723,43,2021-05-12 09:51:35,2020-01-14 06:51:18
dd999217a18441ceb97df3cc1a76bc15da4c7fba,97c1aaa191044ad6915ebf253b8331a64cac3d38,720.0,48,6,2021-05-12 09:51:35,2020-01-15 07:53:42
dd999217a18441ceb97df3cc1a76bc15da4c7fba,e157ac7f549b158f395af825b60cb3364ee9bfa5,3.0,16,2,2021-05-12 09:51:35,2020-01-20 06:45:39
dd999217a18441ceb97df3cc1a76bc15da4c7fba,603552df559d7199524ce65d6db4cd2000c85c76,98.0,76,7,2021-05-12 09:51:35,2020-01-21 09:46:21
dd999217a18441ceb97df3cc1a76bc15da4c7fba,7d4ee01171204a33bc5f5ba62b30acc87f0808c5,264.0,76,1,2021-05-12 09:51:35,2020-01-21 15:04:22
dd999217a18441ceb97df3cc1a76bc15da4c7fba,77f680cf1611ae222945b3f612cdb5fe9195453b,991.0,2223,50,2021-05-12 09:51:35,2020-01-22 08:51:06
dd999217a18441ceb97df3cc1a76bc15da4c7fba,9aef684f63e742c03708e0635d4653319ea85e98,288.0,106,10,2021-05-12 09:51:35,2020-01-27 05:56:58
dd999217a18441ceb97df3cc1a76bc15da4c7fba,573199128d79531ba5edc54edbb074e183554c4a,2358.0,132,6,2021-05-12 09:51:35,2020-01-28 09:47:40
dd999217a18441ceb97df3cc1a76bc15da4c7fba,ea64de6b8ea66386daf88cbc82ad8a71db05481d,273.0,318,21,2021-05-12 09:51:35,2020-01-29 11:55:06
dd999217a18441ceb97df3cc1a76bc15da4c7fba,e7cc298cc9f395b8d37a226132d93fbeccfbdc55,72.0,19,4,2021-05-12 09:51:35,2020-02-04 09:57:48
dd999217a18441ceb97df3cc1a76bc15da4c7fba,70cf1c317c197b59b95166fd553784348ecfd520,348.0,8,4,2021-05-12 09:51:35,2020-02-10 09:10:28
dd999217a18441ceb97df3cc1a76bc15da4c7fba,5ed2a4e8fd169c7cb1f56ad563585a22b9904d88,1104.0,108,20,2021-05-12 09:51:35,2020-02-10 09:16:49
dd999217a18441ceb97df3cc1a76bc15da4c7fba,80141fc918734090a90e86933dd2df1d9f55519f,2130.0,1555,13,2021-05-12 09:51:35,2020-02-13 12:27:09
dd999217a18441ceb97df3cc1a76bc15da4c7fba,7ab373779d7bffff05b0a997e7b32d44401386f9,1032.0,303,28,2021-05-12 09:51:35,2020-02-18 08:53:58
dd999217a18441ceb97df3cc1a76bc15da4c7fba,e4982fd3c511d686e681db66d8992a1d4456c60d,94.0,15,1,2021-05-12 09:51:35,2020-02-18 10:13:54
dd999217a18441ceb97df3cc1a76bc15da4c7fba,c296910b245526817245d3fa1a6cafc491bae3b7,2146.0,242,16,2021-05-12 09:51:35,2020-02-19 13:28:32
dd999217a18441ceb97df3cc1a76bc15da4c7fba,56f46a0d7ab9b7cefcd360f2ae96fc1b91088eb1,2403.0,55,5,2021-05-12 09:51:35,2020-02-21 06:51:38
dd999217a18441ceb97df3cc1a76bc15da4c7fba,2bd463f4894366c9ea8b5917ba789e9bae9f24fb,4160.0,142,34,2021-05-12 09:51:35,2020-02-24 08:51:56
dd999217a18441ceb97df3cc1a76bc15da4c7fba,bfc3a607649bdf1a7f1355b592f675368af452d6,680.0,115,4,2021-05-12 09:51:35,2020-02-24 09:56:28
dd999217a18441ceb97df3cc1a76bc15da4c7fba,343ad255bb2f044e8e848eb8a9873c2d55fa78ad,76.0,14,1,2021-05-12 09:51:35,2020-02-25 11:07:42
dd999217a18441ceb97df3cc1a76bc15da4c7fba,0dbe2d5db48ab23b531918052661ea2dd3abc28c,656.0,272,9,2021-05-12 09:51:35,2020-02-26 06:57:06
dd999217a18441ceb97df3cc1a76bc15da4c7fba,9c3b9f004944514689ab5dfd0d102b5d72017135,12.0,15,1,2021-05-12 09:51:35,2020-02-28 13:48:13
dd999217a18441ceb97df3cc1a76bc15da4c7fba,b1d532cce59ec782c5eaa05947157114d0432859,8.0,32,2,2021-05-12 09:51:35,2020-03-04 06:17:33
dd999217a18441ceb97df3cc1a76bc15da4c7fba,72198b6e46778e0024af0abd581b6c35a073c52d,50.0,8,1,2021-05-12 09:51:35,2020-03-06 05:48:09
dd999217a18441ceb97df3cc1a76bc15da4c7fba,0fcc6352ea908d98fdef723f4c203ab560a17c17,54.0,5,2,2021-05-12 09:51:35,2020-03-06 11:56:57
dd999217a18441ceb97df3cc1a76bc15da4c7fba,96b8b7ca2ab1e7477d793489069b7a3e3d50a3ce,1465.0,140,14,2021-05-12 09:51:35,2020-03-10 10:12:52
dd999217a18441ceb97df3cc1a76bc15da4c7fba,948cbb121d464f326dd7c7e6e3843cf625d21ff4,1343.0,371,7,2021-05-12 09:51:35,2020-03-16 09:15:37
dd999217a18441ceb97df3cc1a76bc15da4c7fba,b2897c301ab23fbb00a263c982625368cdea8798,128.0,96,4,2021-05-12 09:51:35,2020-03-17 10:23:59
dd999217a18441ceb97df3cc1a76bc15da4c7fba,2147d1cfe56b3c11579952a44e8a1e54fa63f436,5528.0,3925,49,2021-05-12 09:51:35,2020-03-26 10:29:42
dd999217a18441ceb97df3cc1a76bc15da4c7fba,9039e46747c1cbaace1c7329809c925b67ab8c11,22.0,39,1,2021-05-12 09:51:35,2020-03-26 11:17:11
dd999217a18441ceb97df3cc1a76bc15da4c7fba,4da4d3e7b54f30b3ff189dcb12378436b839c97b,7742.0,311,47,2021-05-12 09:51:35,2020-03-30 08:13:17
dd999217a18441ceb97df3cc1a76bc15da4c7fba,64a3c2929e79c22649eb2d18ca37faca8e73f980,231.0,32,4,2021-05-12 09:51:35,2020-03-30 09:03:09
dd999217a18441ceb97df3cc1a76bc15da4c7fba,0d27077f7af3e70af921e9301a693a81502d2b1e,4619.0,282,11,2021-05-12 09:51:35,2020-03-30 09:19:40
dd999217a18441ceb97df3cc1a76bc15da4c7fba,efba350f8b739f9cc2bf59953cc6d9be86a25784,664.0,266,8,2021-05-12 09:51:35,2020-03-30 11:44:09
dd999217a18441ceb97df3cc1a76bc15da4c7fba,bad582f96eba9fc50442a9a5a4af95472007de86,9504.0,1800,40,2021-05-12 09:51:35,2020-03-30 11:53:41
dd999217a18441ceb97df3cc1a76bc15da4c7fba,7b456ba3e7259d9aa3dc5482f59a810799796a04,1264.0,360,8,2021-05-12 09:51:35,2020-03-30 12:01:01
dd999217a18441ceb97df3cc1a76bc15da4c7fba,60b261f93a012730b57d7c16ad160ae61a8973ee,3303.0,21,6,2021-05-12 09:51:35,2020-04-03 10:36:19
dd999217a18441ceb97df3cc1a76bc15da4c7fba,f10d94d4efd497fbad7ae9cbf957f5bbcd140497,1408.0,70,9,2021-05-12 09:51:35,2020-04-03 11:27:01
dd999217a18441ceb97df3cc1a76bc15da4c7fba,c0a50427604b59c6d86681555d54dac759e41032,2311.0,980,59,2021-05-12 09:51:35,2020-04-03 11:46:39
dd999217a18441ceb97df3cc1a76bc15da4c7fba,faebedbeabd9261aa35faba0b1e32008235d3c24,6.0,4,2,2021-05-12 09:51:35,2020-04-07 12:11:48
dd999217a18441ceb97df3cc1a76bc15da4c7fba,167045c890609e1a245e21a901f2b044c6090f41,240.0,38,3,2021-05-12 09:51:35,2020-04-10 07:13:57
dd999217a18441ceb97df3cc1a76bc15da4c7fba,b4c358ff908763816865d78a7814ec73688e137f,3338.0,1234,36,2021-05-12 09:51:35,2020-04-14 06:41:40
dd999217a18441ceb97df3cc1a76bc15da4c7fba,0e27a28db56eb03bca01b198eb4d4bdb51a7322e,14.0,19,2,2021-05-12 09:51:35,2020-04-20 09:31:22
dd999217a18441ceb97df3cc1a76bc15da4c7fba,4c11f13e9bf3846f2f58954aa67abeff2feaf78f,133.0,24,1,2021-05-12 09:51:35,2020-04-21 07:56:36
dd999217a18441ceb97df3cc1a76bc15da4c7fba,c7036d9339c5b28f0ba31d0574a8f212fa629aaf,1290.0,60,10,2021-05-12 09:51:35,2020-04-23 07:24:25
dd999217a18441ceb97df3cc1a76bc15da4c7fba,53fbbf7d1fed02fdf9b44e2be9231c4eb461007b,8.0,278,4,2021-05-12 09:51:35,2020-05-06 07:14:31
dd999217a18441ceb97df3cc1a76bc15da4c7fba,f4ad9382e12e4178c794d0fa5d3ab6fa78d9afcb,2244.0,51,11,2021-05-12 09:51:35,2020-05-07 06:53:43
dd999217a18441ceb97df3cc1a76bc15da4c7fba,c8e4c50a11f23af8d890fe6e5d031556d0ce40ef,120.0,10,4,2021-05-12 09:51:35,2020-05-11 08:50:48
dd999217a18441ceb97df3cc1a76bc15da4c7fba,a4a0487d3aab6f88aea5baa78a434b9ca9dbefdc,2396.0,262,9,2021-05-12 09:51:35,2020-05-11 12:12:10
dd999217a18441ceb97df3cc1a76bc15da4c7fba,775a93b4ed6ec4a810620d9e3244ae93aff3cb72,78.0,6,2,2021-05-12 09:51:35,2020-05-12 05:47:08
dd999217a18441ceb97df3cc1a76bc15da4c7fba,781410061837dc949478c18f433a02a0350a63bf,525.0,197,3,2021-05-12 09:51:35,2020-05-18 05:34:36
dd999217a18441ceb97df3cc1a76bc15da4c7fba,27850cf17d3055fd90c4afaacfa40d4802b49d56,7286.0,229,27,2021-05-12 09:51:35,2020-05-18 11:01:25
dd999217a18441ceb97df3cc1a76bc15da4c7fba,170ad4065622c8fa15facd67e51ac9eae24b4d22,3570.0,133,18,2021-05-12 09:51:35,2020-05-19 07:20:56
dd999217a18441ceb97df3cc1a76bc15da4c7fba,c33e1e5083f536112464a35a43404658869c8d8a,2191.0,352,14,2021-05-12 09:51:35,2020-05-19 09:20:56
dd999217a18441ceb97df3cc1a76bc15da4c7fba,a3061e8c4e7826e6c62c2b4cb53e0b626b567388,27.0,27,6,2021-05-12 09:51:35,2020-05-27 06:17:10
dd999217a18441ceb97df3cc1a76bc15da4c7fba,7707cd531656557c79ed99ba8d91dc244d8190ac,156.0,142,5,2021-05-12 09:51:35,2020-05-27 13:25:39
dd999217a18441ceb97df3cc1a76bc15da4c7fba,628522e7f06d609c000327ad9ed343f16dc35575,144.0,70,4,2021-05-12 09:51:35,2020-05-28 09:06:44
dd999217a18441ceb97df3cc1a76bc15da4c7fba,b60b731303af434f4cdc63cda0e6b1b17c6ee75b,21.0,76,2,2021-05-12 09:51:35,2020-06-01 06:57:46
dd999217a18441ceb97df3cc1a76bc15da4c7fba,cf3721931d1fb42d639a68a6fd37cab4b729e612,189.0,5,1,2021-05-12 09:51:35,2020-06-01 07:06:37
dd999217a18441ceb97df3cc1a76bc15da4c7fba,725448a14391388aefd837ecefa0618bf5a1a139,308.0,65,7,2021-05-12 09:51:35,2020-06-04 06:20:47
dd999217a18441ceb97df3cc1a76bc15da4c7fba,3cac432efe89ddb58a13e77e964c913477838cff,32.0,24,4,2021-05-12 09:51:35,2020-06-04 07:43:35
dd999217a18441ceb97df3cc1a76bc15da4c7fba,aba0a11f5fde0fa1d9e5af64deeb210a8664965f,1104.0,316,26,2021-05-12 09:51:35,2020-06-05 15:08:41
dd999217a18441ceb97df3cc1a76bc15da4c7fba,5fa162c3f8997e0ba7bacb97ce81eb808a61b65b,192.0,100,4,2021-05-12 09:51:35,2020-06-06 15:00:36
dd999217a18441ceb97df3cc1a76bc15da4c7fba,80728363f5a3357096ca78057a80b5fc7fecd0e6,72.0,76,4,2021-05-12 09:51:35,2020-06-09 05:15:27
dd999217a18441ceb97df3cc1a76bc15da4c7fba,3ed64caf111bd48de071723c7a0f035a4f6dd800,2860.0,160,27,2021-05-12 09:51:35,2020-06-09 07:33:48
dd999217a18441ceb97df3cc1a76bc15da4c7fba,82fbf7694b6b389b3cf2eee87d38b7811bce834a,324.0,306,6,2021-05-12 09:51:35,2020-06-12 08:14:40
dd999217a18441ceb97df3cc1a76bc15da4c7fba,e53b53640bc0e2c407f553151414cb1fcb414755,688.0,36,4,2021-05-12 09:51:35,2020-06-18 05:35:25
dd999217a18441ceb97df3cc1a76bc15da4c7fba,e7172d3e725f3cb8933112287fddbd777916e60e,11784.0,279,38,2021-05-12 09:51:35,2020-06-30 11:19:10
dd999217a18441ceb97df3cc1a76bc15da4c7fba,d432936750e36fedd635ece57e04fe4cb3494f84,704.0,52,4,2021-05-12 09:51:35,2020-07-09 06:34:29
dd999217a18441ceb97df3cc1a76bc15da4c7fba,d58f3031894ae7c64f03134f230e9ef135b0f971,336.0,6,3,2021-05-12 09:51:35,2020-07-12 11:39:02
dd999217a18441ceb97df3cc1a76bc15da4c7fba,34a913616c07bf5a9d09b54c8d09ce1eb183c6d0,1224.0,12,2,2021-05-12 09:51:35,2020-07-12 14:05:14
dd999217a18441ceb97df3cc1a76bc15da4c7fba,03686f267198621be8fbe9943b75f51fd77b1415,52260.0,455,28,2021-05-12 09:51:35,2020-07-18 06:22:33
dd999217a18441ceb97df3cc1a76bc15da4c7fba,981ce2e4b13ec3ebc89a703d754a9ca1dcc9f3ac,8040.0,114,4,2021-05-12 09:51:35,2020-07-20 05:04:41
dd999217a18441ceb97df3cc1a76bc15da4c7fba,18897a110903512d4623cf879eaf2866e7e9e7d7,3331.0,49,4,2021-05-12 09:51:35,2020-07-24 05:19:51
dd999217a18441ceb97df3cc1a76bc15da4c7fba,b60a1cb4bc6de56eba69fa1aea83ab5640c5d2d7,6090.0,607,32,2021-05-12 09:51:35,2020-07-25 09:13:32
dd999217a18441ceb97df3cc1a76bc15da4c7fba,a6bbb11bfa72061b294494957cb23e634ed60743,3478.0,1228,32,2021-05-12 09:51:35,2020-07-30 08:09:22
dd999217a18441ceb97df3cc1a76bc15da4c7fba,9fa6ce3ac7abfc6af62f14e86b6608413545fbb4,1248.0,391,27,2021-05-12 09:51:35,2020-07-30 11:38:21
dd999217a18441ceb97df3cc1a76bc15da4c7fba,e06d7af733cf986b85f641d77dcbd2ff11623d27,375.0,83,4,2021-05-12 09:51:35,2020-08-03 10:59:41
dd999217a18441ceb97df3cc1a76bc15da4c7fba,f220d929e052722c79e61776c533fc4a1014089c,4334.0,1337,27,2021-05-12 09:51:35,2020-08-04 08:13:47
dd999217a18441ceb97df3cc1a76bc15da4c7fba,7fe6e3db534b808e52fcbef358865be84e09479d,3182.0,194,22,2021-05-12 09:51:35,2020-08-06 06:18:30
dd999217a18441ceb97df3cc1a76bc15da4c7fba,14bcc022430c6ff81a555e5f3371db5f9d53d94f,927.0,98,5,2021-05-12 09:51:35,2020-08-06 08:39:45
dd999217a18441ceb97df3cc1a76bc15da4c7fba,c1dd88be15c7abada840826c2fde72c355bdcb39,288.0,116,10,2021-05-12 09:51:35,2020-08-06 10:47:11
dd999217a18441ceb97df3cc1a76bc15da4c7fba,fcfec4534d4fd5c9b1f308217b51788b85400507,6.0,201,2,2021-05-12 09:51:35,2020-08-13 07:21:40
dd999217a18441ceb97df3cc1a76bc15da4c7fba,46c0459d1e84982f4fabb522a9c07b71d405529c,362.0,24,5,2021-05-12 09:51:35,2020-08-13 10:22:18
dd999217a18441ceb97df3cc1a76bc15da4c7fba,f8c4200f10347a25c28a569877284452412a5582,820.0,124,14,2021-05-12 09:51:35,2020-08-18 00:59:53
dd999217a18441ceb97df3cc1a76bc15da4c7fba,e7f0814d7d9f31b8da85412e5e1d372f6245f607,438.0,8,4,2021-05-12 09:51:35,2020-08-17 11:30:25
dd999217a18441ceb97df3cc1a76bc15da4c7fba,72c0ef0e191b64375f2dc4f96eeb8b20423e7694,804.0,106,12,2021-05-12 09:51:35,2020-08-19 20:17:22
dd999217a18441ceb97df3cc1a76bc15da4c7fba,c1ff36399093795c9024cfb08724ea3c499330ab,804.0,72,12,2021-05-12 09:51:35,2020-08-19 20:20:20
dd999217a18441ceb97df3cc1a76bc15da4c7fba,9228b393f283976e86863917f23aa2a88ff35d3e,52.0,12,2,2021-05-12 09:51:35,2020-08-20 15:09:41
