file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers,latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched
E:\SoftwareRemodularization\raw_sourcecode\Assertj-core\Assertj-core_assertj-core-3.17.2\src\test\java\org\assertj\core\api\BDDSoftAssertions_wasSuccess_Test.java,org.assertj.core.api.BDDSoftAssertions_wasSuccess_Test,class,13,10,2,19,0,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,69,0,0,0,0,0,6,2,5,0,5,0,0,0,0,41,0,3f654ef0d30225e3d820967f478c5582fba82121,91db7231362a597f090763c8b6dd558d1daf7192,81.0,90,1
E:\SoftwareRemodularization\raw_sourcecode\Assertj-core\Assertj-core_assertj-core-3.17.2\src\test\java\org\assertj\core\api\BDDSoftAssertions_wasSuccess_Test.java,org.assertj.core.api.BDDSoftAssertions_wasSuccess_Test,class,13,10,2,19,0,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,69,0,0,0,0,0,6,2,5,0,5,0,0,0,0,41,0,3f654ef0d30225e3d820967f478c5582fba82121,91db7231362a597f090763c8b6dd558d1daf7192,81.0,90,6
E:\SoftwareRemodularization\raw_sourcecode\Assertj-core\Assertj-core_assertj-core-3.16.0\src\test\java\org\assertj\core\api\BDDAssertions_then_Test.java,org.assertj.core.api.BDDAssertions_then_Test,class,67,50,1,123,1225,50,1,44,1,0,0,0,0,0,2,0,0,2,0,0,0,0,67,260,0,0,0,0,0,25,56,6,0,6,0,0,1,8,99,1,ed104ac582301e1f75dc77a6c50d1e0831935e5f,9f25da227e585d11d30e80d1818a2f560c7af9cd,79.0,465,2
E:\SoftwareRemodularization\raw_sourcecode\Assertj-core\Assertj-core_assertj-core-3.16.0\src\test\java\org\assertj\core\api\BDDAssertions_then_Test.java,org.assertj.core.api.BDDAssertions_then_Test,class,67,50,1,123,1225,50,1,44,1,0,0,0,0,0,2,0,0,2,0,0,0,0,67,260,0,0,0,0,0,25,56,6,0,6,0,0,1,8,99,1,ed104ac582301e1f75dc77a6c50d1e0831935e5f,9f25da227e585d11d30e80d1818a2f560c7af9cd,79.0,465,4
E:\SoftwareRemodularization\raw_sourcecode\Assertj-core\Assertj-core_assertj-core-3.16.0\src\test\java\org\assertj\core\error\ShouldHaveNoParent_create_Test.java,org.assertj.core.error.ShouldHaveNoParent_create_Test,class,10,3,1,12,0,3,0,3,0,0,0,0,0,0,2,0,0,2,0,0,0,0,6,42,0,0,0,0,0,5,0,9,2,9,0,0,0,0,39,1,ed104ac582301e1f75dc77a6c50d1e0831935e5f,9e86697ceebd842f2e45d9a9aa7f16a7ce1ef477,147.0,54,11
E:\SoftwareRemodularization\raw_sourcecode\Assertj-core\Assertj-core_assertj-core-3.16.0\src\test\java\org\assertj\core\error\ShouldHaveParent_create_Test.java,org.assertj.core.error.ShouldHaveParent_create_Test,class,9,5,1,13,0,5,0,5,0,0,0,0,0,0,3,0,0,3,0,0,2,0,12,56,0,0,0,0,0,9,0,14,4,14,0,0,0,0,42,1,ed104ac582301e1f75dc77a6c50d1e0831935e5f,9e86697ceebd842f2e45d9a9aa7f16a7ce1ef477,15.0,85,12
E:\SoftwareRemodularization\raw_sourcecode\Assertj-core\Assertj-core_assertj-core-3.16.0\src\main\java\org\assertj\core\api\AbstractSoftAssertions.java,org.assertj.core.api.AbstractSoftAssertions,class,10,39,1,41,98,20,0,12,7,1,0,0,0,0,2,0,0,1,1,0,2,0,7,126,14,2,0,1,0,17,1,15,1,15,2,0,0,0,141,1025,ed104ac582301e1f75dc77a6c50d1e0831935e5f,0db21a34f74af1f6041a6ebdada7d0f4b3f6c561,25.0,-19,1
E:\SoftwareRemodularization\raw_sourcecode\Assertj-core\Assertj-core_assertj-core-3.16.0\src\main\java\org\assertj\core\api\ErrorCollector.java,org.assertj.core.api.ErrorCollector,class,8,11,1,17,5,7,3,4,2,1,0,0,0,0,5,3,1,4,0,0,5,0,5,89,7,0,0,1,0,2,1,6,0,6,2,0,1,1,84,1,ed104ac582301e1f75dc77a6c50d1e0831935e5f,d8021155c75513c3e4c6c71073ee4717b3bf2b64,147.0,18,2
E:\SoftwareRemodularization\raw_sourcecode\Assertj-core\Assertj-core_assertj-core-3.16.0\src\main\java\org\assertj\core\api\SoftProxies.java,org.assertj.core.api.SoftProxies,class,33,14,1,37,3,10,3,1,2,0,0,0,0,0,7,6,0,7,0,0,7,0,7,161,9,0,0,4,4,50,2,20,0,20,1,0,0,1,85,0,ed104ac582301e1f75dc77a6c50d1e0831935e5f,d8021155c75513c3e4c6c71073ee4717b3bf2b64,147.0,31,3
E:\SoftwareRemodularization\raw_sourcecode\Assertj-core\Assertj-core_assertj-core-3.16.0\src\main\java\org\assertj\core\api\ErrorCollector.java,org.assertj.core.api.ErrorCollector,class,8,11,1,17,5,7,3,4,2,1,0,0,0,0,5,3,1,4,0,0,5,0,5,89,7,0,0,1,0,2,1,6,0,6,2,0,1,1,84,1,ed104ac582301e1f75dc77a6c50d1e0831935e5f,3e2a7d7234d8b385a9df6d0375a2797ebeb2c3ca,147.0,18,1
