file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers,latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched
E:\SoftwareRemodularization\raw_sourcecode\Cas\Cas_v6.4.0-RC4\support\cas-server-support-person-directory\src\test\java\org\apereo\cas\PersonDirectoryPrincipalResolverLdapTests.java,org.apereo.cas.PersonDirectoryPrincipalResolverLdapTests,class,19,2,1,22,0,2,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,15,79,0,0,0,0,0,24,2,6,0,8,0,0,0,0,52,1,da5c61b50bf011607da1a597c3ba677bab6b35c9,4558399aa09e414653ed9f94be017f8bd44ccb1d,5.0,58,1
E:\SoftwareRemodularization\raw_sourcecode\Cas\Cas_v6.4.0-RC4\support\cas-server-support-person-directory\src\test\java\org\apereo\cas\PersonDirectoryPrincipalResolverOpenLdapTests.java,org.apereo.cas.PersonDirectoryPrincipalResolverOpenLdapTests,class,22,2,1,28,0,2,0,1,0,1,0,0,0,0,2,0,0,2,0,0,0,0,9,86,1,0,0,0,0,30,3,8,1,10,0,0,0,0,77,1,da5c61b50bf011607da1a597c3ba677bab6b35c9,4558399aa09e414653ed9f94be017f8bd44ccb1d,15.0,67,2
E:\SoftwareRemodularization\raw_sourcecode\Cas\Cas_v6.4.0-RC4\support\cas-server-support-person-directory\src\test\java\org\apereo\cas\PersonDirectoryPrincipalResolverActiveDirectoryTests.java,org.apereo.cas.PersonDirectoryPrincipalResolverActiveDirectoryTests,class,16,1,1,19,0,1,0,1,0,0,0,0,0,0,5,3,3,2,0,0,3,0,8,65,0,0,0,0,0,24,1,5,3,7,0,0,0,2,67,1,da5c61b50bf011607da1a597c3ba677bab6b35c9,4558399aa09e414653ed9f94be017f8bd44ccb1d,49.0,53,3
E:\SoftwareRemodularization\raw_sourcecode\Cas\Cas_v6.4.0-RC4\support\cas-server-support-person-directory\src\main\java\org\apereo\cas\config\CasPersonDirectoryLdapConfiguration.java,org.apereo.cas.config.CasPersonDirectoryLdapConfiguration,class,15,2,1,8,1,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,93,1,0,0,0,0,4,0,2,0,3,0,0,0,2,65,1,da5c61b50bf011607da1a597c3ba677bab6b35c9,4558399aa09e414653ed9f94be017f8bd44ccb1d,22.0,83,4
E:\SoftwareRemodularization\raw_sourcecode\Cas\Cas_v6.4.0-RC4\support\cas-server-support-person-directory\src\main\java\org\apereo\cas\config\CasPersonDirectoryRestConfiguration.java,org.apereo.cas.config.CasPersonDirectoryRestConfiguration,class,15,2,1,8,1,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,67,1,0,0,0,0,4,0,1,0,2,0,0,0,2,45,1,da5c61b50bf011607da1a597c3ba677bab6b35c9,4558399aa09e414653ed9f94be017f8bd44ccb1d,3.0,55,5
E:\SoftwareRemodularization\raw_sourcecode\Cas\Cas_v6.4.0-RC4\support\cas-server-support-person-directory\src\main\java\org\apereo\cas\config\CasPersonDirectoryScriptedConfiguration.java,org.apereo.cas.config.CasPersonDirectoryScriptedConfiguration,class,15,2,1,7,1,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,54,1,0,0,0,0,5,0,1,0,2,0,0,0,1,36,1,da5c61b50bf011607da1a597c3ba677bab6b35c9,4558399aa09e414653ed9f94be017f8bd44ccb1d,8.0,41,6
E:\SoftwareRemodularization\raw_sourcecode\Cas\Cas_v6.4.0-RC4\support\cas-server-support-person-directory\src\main\java\org\apereo\cas\config\CasPersonDirectoryJsonConfiguration.java,org.apereo.cas.config.CasPersonDirectoryJsonConfiguration,class,14,2,1,9,1,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,55,1,0,0,0,0,4,0,1,0,2,0,0,0,3,42,1,da5c61b50bf011607da1a597c3ba677bab6b35c9,4558399aa09e414653ed9f94be017f8bd44ccb1d,24.0,43,7
E:\SoftwareRemodularization\raw_sourcecode\Cas\Cas_v6.4.0-RC4\support\cas-server-support-person-directory\src\main\java\org\apereo\cas\config\CasPersonDirectoryGrouperConfiguration.java,org.apereo.cas.config.CasPersonDirectoryGrouperConfiguration,class,18,3,1,19,1,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,49,1,0,0,0,0,6,0,3,0,4,1,0,0,0,30,1,da5c61b50bf011607da1a597c3ba677bab6b35c9,4558399aa09e414653ed9f94be017f8bd44ccb1d,54.0,38,8
E:\SoftwareRemodularization\raw_sourcecode\Cas\Cas_v6.4.0-RC4\api\cas-server-core-api-configuration-model\src\main\java\org\apereo\cas\configuration\model\core\authentication\GrouperPrincipalAttributesProperties.java,org.apereo.cas.configuration.model.core.authentication.GrouperPrincipalAttributesProperties,class,5,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,7,0,0,1,0,0,23,0,0,0,0,0,4,1,4,0,7,-1,0,0,0,101,1,da5c61b50bf011607da1a597c3ba677bab6b35c9,4558399aa09e414653ed9f94be017f8bd44ccb1d,46.0,55,10
E:\SoftwareRemodularization\raw_sourcecode\Cas\Cas_v6.4.0-RC4\core\cas-server-core-authentication-api\src\test\java\org\apereo\cas\authentication\principal\resolvers\InternalGroovyScriptDaoTests.java,org.apereo.cas.authentication.principal.resolvers.InternalGroovyScriptDaoTests,class,11,1,1,4,0,1,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,30,0,0,0,0,0,3,0,3,0,5,0,0,0,0,29,1,da5c61b50bf011607da1a597c3ba677bab6b35c9,4558399aa09e414653ed9f94be017f8bd44ccb1d,13.0,25,14
E:\SoftwareRemodularization\raw_sourcecode\Cas\Cas_v6.4.0-RC4\support\cas-server-support-person-directory\src\test\java\org\apereo\cas\BaseJdbcAttributeRepositoryTests.java,org.apereo.cas.BaseJdbcAttributeRepositoryTests,class,13,3,1,10,1,3,0,3,0,0,0,1,0,0,3,0,0,1,2,0,0,0,1,47,0,0,0,0,0,2,1,5,0,7,0,0,0,0,35,1025,da5c61b50bf011607da1a597c3ba677bab6b35c9,4558399aa09e414653ed9f94be017f8bd44ccb1d,6.0,42,16
E:\SoftwareRemodularization\raw_sourcecode\Cas\Cas_v6.4.0-RC4\support\cas-server-support-person-directory\src\test\java\org\apereo\cas\BasePrincipalAttributeRepositoryFetcherLdapTests.java,org.apereo.cas.BasePrincipalAttributeRepositoryFetcherLdapTests,class,12,1,1,8,0,1,1,1,0,0,0,0,0,0,2,1,0,0,2,0,1,0,3,52,0,0,0,0,0,23,1,5,1,6,0,0,0,0,44,1,da5c61b50bf011607da1a597c3ba677bab6b35c9,4558399aa09e414653ed9f94be017f8bd44ccb1d,61.0,46,18
E:\SoftwareRemodularization\raw_sourcecode\Cas\Cas_v6.4.0-RC4\support\cas-server-support-person-directory\src\test\java\org\apereo\cas\CachingAttributeRepositoryTests.java,org.apereo.cas.CachingAttributeRepositoryTests,class,8,1,1,6,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,30,0,0,0,0,0,8,2,2,0,3,0,0,0,0,19,1,da5c61b50bf011607da1a597c3ba677bab6b35c9,4558399aa09e414653ed9f94be017f8bd44ccb1d,7.0,31,20
E:\SoftwareRemodularization\raw_sourcecode\Cas\Cas_v6.4.0-RC4\support\cas-server-support-person-directory\src\test\java\org\apereo\cas\DefaultAttributeDefinitionStoreTests.java,org.apereo.cas.DefaultAttributeDefinitionStoreTests,class,24,19,1,64,169,19,0,19,0,0,0,0,0,0,4,2,0,4,0,0,2,0,28,333,0,0,0,0,0,96,1,64,0,65,0,1,0,2,113,1,da5c61b50bf011607da1a597c3ba677bab6b35c9,4558399aa09e414653ed9f94be017f8bd44ccb1d,20.0,318,22
