file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers,latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched
E:\SoftwareRemodularization\raw_sourcecode\Cxf\Cxf_cxf-3.3.11\systests\jaxrs\src\test\java\org\apache\cxf\systest\jaxrs\websocket\AbstractJAXRSClientServerWebSocketTest.java,org.apache.cxf.systest.jaxrs.websocket.AbstractJAXRSClientServerWebSocketTest,class,8,20,3,41,91,14,0,11,1,1,0,1,0,0,0,0,0,0,0,0,0,0,6,387,2,4,0,10,10,121,90,87,35,62,3,0,1,0,102,1024,ebd2fa22dba0864c07f58cc43c5bfb1284e04259,1525974f5b6de5dc9a6c9a8ca81daa91317e19c3,2.0,440,2
E:\SoftwareRemodularization\raw_sourcecode\Cxf\Cxf_cxf-3.3.11\rt\rs\security\jose-parent\jose\src\main\java\org\apache\cxf\rs\security\jose\jwe\AesCbcContentEncryptionAlgorithm.java,org.apache.cxf.rs.security.jose.jwe.AesCbcContentEncryptionAlgorithm,class,8,10,3,10,28,8,3,4,0,4,0,0,0,0,2,2,0,2,0,0,2,0,4,52,6,0,0,0,0,1,4,2,1,2,1,0,0,0,44,1,ebd2fa22dba0864c07f58cc43c5bfb1284e04259,2fad69a02a19773bdb6ca1261bc7bc3f1864e685,81.0,52,6
E:\SoftwareRemodularization\raw_sourcecode\Cxf\Cxf_cxf-3.3.11\rt\rs\security\jose-parent\jose\src\main\java\org\apache\cxf\rs\security\jose\jwe\EcdhAesGcmContentEncryptionAlgorithm.java,org.apache.cxf.rs.security.jose.jwe.EcdhAesGcmContentEncryptionAlgorithm,class,5,2,4,2,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,17,1,0,0,0,0,0,0,1,0,1,0,0,0,0,18,1,ebd2fa22dba0864c07f58cc43c5bfb1284e04259,4af5cf5cc3a066c976bb99126eb38b9a797248f4,14.0,14,1
E:\SoftwareRemodularization\raw_sourcecode\Cxf\Cxf_cxf-3.3.11\rt\rs\security\jose-parent\jose\src\main\java\org\apache\cxf\rs\security\jose\jwe\EcdhHelper.java,org.apache.cxf.rs.security.jose.jwe.EcdhHelper,class,11,10,1,19,4,4,0,1,2,0,0,0,0,0,5,0,0,5,0,0,5,0,10,55,4,0,1,0,2,3,2,12,1,12,1,0,0,0,36,0,ebd2fa22dba0864c07f58cc43c5bfb1284e04259,4af5cf5cc3a066c976bb99126eb38b9a797248f4,9.0,51,2
E:\SoftwareRemodularization\raw_sourcecode\Cxf\Cxf_cxf-3.3.11\rt\rs\security\jose-parent\jose\src\main\java\org\apache\cxf\rs\security\jose\jwe\EcdhDirectKeyEncryptionAlgorithm.java,org.apache.cxf.rs.security.jose.jwe.EcdhDirectKeyEncryptionAlgorithm,class,3,2,2,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,ebd2fa22dba0864c07f58cc43c5bfb1284e04259,4af5cf5cc3a066c976bb99126eb38b9a797248f4,13.0,11,3
E:\SoftwareRemodularization\raw_sourcecode\Cxf\Cxf_cxf-3.3.11\rt\rs\description-openapi-v3\src\main\java\org\apache\cxf\jaxrs\openapi\OpenApiCustomizedResource.java,org.apache.cxf.jaxrs.openapi.OpenApiCustomizedResource,class,19,12,2,25,1,3,0,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,6,70,2,0,1,0,1,3,0,6,0,5,3,0,0,0,33,1,ebd2fa22dba0864c07f58cc43c5bfb1284e04259,28924caee27ef6601398725ebcb198fe363157d5,7.0,69,2
E:\SoftwareRemodularization\raw_sourcecode\Cxf\Cxf_cxf-3.3.11\rt\frontend\jaxrs\src\main\java\org\apache\cxf\jaxrs\model\OperationResourceInfoComparatorBase.java,org.apache.cxf.jaxrs.model.OperationResourceInfoComparatorBase,class,8,27,1,23,6,4,1,0,1,3,0,0,0,0,1,1,0,1,0,0,1,0,7,80,8,0,8,0,1,6,14,14,3,8,2,0,0,0,41,1025,ebd2fa22dba0864c07f58cc43c5bfb1284e04259,23f9204b9d0e01738e8100f0152baf53320d98f8,2.0,-35,3
E:\SoftwareRemodularization\raw_sourcecode\Cxf\Cxf_cxf-3.3.11\systests\uncategorized\src\test\java\org\apache\cxf\systest\soap\RPCLitSoapActionGreeterImpl.java,org.apache.cxf.systest.soap.RPCLitSoapActionGreeterImpl,class,2,2,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,4,0,0,0,0,0,0,0,0,14,1,ebd2fa22dba0864c07f58cc43c5bfb1284e04259,387135f0d9c045f3d335d3afc46f71a88e80fe68,95.0,14,1
E:\SoftwareRemodularization\raw_sourcecode\Cxf\Cxf_cxf-3.3.11\systests\uncategorized\src\test\java\org\apache\cxf\systest\soap\RPCLitSoapActionGreeterImpl.java,org.apache.cxf.systest.soap.RPCLitSoapActionGreeterImpl,class,2,2,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,4,0,0,0,0,0,0,0,0,14,1,ebd2fa22dba0864c07f58cc43c5bfb1284e04259,387135f0d9c045f3d335d3afc46f71a88e80fe68,95.0,14,3
E:\SoftwareRemodularization\raw_sourcecode\Cxf\Cxf_cxf-3.3.11\systests\spring-boot\src\test\java\org\apache\cxf\systest\jaxrs\spring\boot\SpringJaxrsClassesScanningTest.java,org.apache.cxf.systest.jaxrs.spring.boot.SpringJaxrsClassesScanningTest,class,10,1,1,7,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,32,0,0,0,0,0,1,0,0,0,1,0,0,1,0,17,1,ebd2fa22dba0864c07f58cc43c5bfb1284e04259,6131b137b817cdd4297c73a612e74822e1175e11,75.0,23,1
