file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers,latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched
E:\SoftwareRemodularization\raw_sourcecode\Guacamole-client\Guacamole-client_1.0.0-RC1\guacamole-ext\src\main\java\org\apache\guacamole\net\auth\Attributes.java,org.apache.guacamole.net.auth.Attributes,interface,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,82,1,801a5df9f1d7095c52e594dda1a5276fe8cf6524,fff14117681d333c6b93fa274235df7c3ddb25ee,21.0,35,1
E:\SoftwareRemodularization\raw_sourcecode\Guacamole-client\Guacamole-client_1.0.0-RC1\extensions\guacamole-auth-totp\src\main\java\org\apache\guacamole\auth\totp\user\UserTOTPKey.java,org.apache.guacamole.auth.totp.user.UserTOTPKey,class,2,7,1,2,7,7,1,6,1,0,0,0,0,0,4,1,0,4,0,0,2,0,1,34,4,0,0,0,0,0,0,6,0,5,0,0,0,0,75,1,801a5df9f1d7095c52e594dda1a5276fe8cf6524,96e3d029992ac09d27aac808c489779000fb6fe1,16.0,123,1
E:\SoftwareRemodularization\raw_sourcecode\Guacamole-client\Guacamole-client_1.0.0-RC1\extensions\guacamole-auth-totp\src\main\java\org\apache\guacamole\auth\totp\user\UserVerificationService.java,org.apache.guacamole.auth.totp.user.UserVerificationService,class,23,20,1,34,0,3,0,1,2,0,0,0,0,0,5,1,0,5,0,0,2,0,2,132,11,0,3,3,1,17,0,19,3,22,3,0,0,0,166,1,801a5df9f1d7095c52e594dda1a5276fe8cf6524,96e3d029992ac09d27aac808c489779000fb6fe1,22.0,235,2
E:\SoftwareRemodularization\raw_sourcecode\Guacamole-client\Guacamole-client_1.0.0-RC1\extensions\guacamole-auth-totp\src\main\java\org\apache\guacamole\auth\totp\user\TOTPUser.java,org.apache.guacamole.auth.totp.user.TOTPUser,class,2,4,2,4,4,4,0,4,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,30,2,0,0,0,0,2,0,4,0,3,0,0,0,0,63,1,801a5df9f1d7095c52e594dda1a5276fe8cf6524,96e3d029992ac09d27aac808c489779000fb6fe1,36.0,75,3
E:\SoftwareRemodularization\raw_sourcecode\Guacamole-client\Guacamole-client_1.0.0-RC1\guacamole-ext\src\main\java\org\apache\guacamole\net\auth\AbstractAuthenticationProvider.java,org.apache.guacamole.net.auth.AbstractAuthenticationProvider,class,5,8,1,1,28,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,7,0,0,0,0,0,0,0,0,0,0,0,0,0,144,1025,801a5df9f1d7095c52e594dda1a5276fe8cf6524,9b7ef0dfcf62626857f54a704e7e28acb574d92b,58.0,57,3
E:\SoftwareRemodularization\raw_sourcecode\Guacamole-client\Guacamole-client_1.0.0-RC1\guacamole-ext\src\main\java\org\apache\guacamole\net\auth\AbstractUserContext.java,org.apache.guacamole.net.auth.AbstractUserContext,class,28,16,1,6,120,16,0,16,0,0,0,0,0,0,1,1,0,0,1,0,1,0,6,87,15,0,0,0,0,1,0,1,0,1,0,0,0,0,144,1025,801a5df9f1d7095c52e594dda1a5276fe8cf6524,9b7ef0dfcf62626857f54a704e7e28acb574d92b,33.0,96,4
E:\SoftwareRemodularization\raw_sourcecode\Guacamole-client\Guacamole-client_1.0.0-RC1\guacamole-ext\src\main\java\org\apache\guacamole\net\auth\simple\SimpleConnectionDirectory.java,org.apache.guacamole.net.auth.simple.SimpleConnectionDirectory,class,3,4,2,4,0,3,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,21,2,1,0,0,0,0,0,1,0,1,0,0,0,0,52,1,801a5df9f1d7095c52e594dda1a5276fe8cf6524,57ff8b84e6bd7f02f70999b4a77853bdc5279e8a,10.0,55,2
E:\SoftwareRemodularization\raw_sourcecode\Guacamole-client\Guacamole-client_1.0.0-RC1\guacamole-ext\src\main\java\org\apache\guacamole\net\auth\simple\SimpleConnectionGroupDirectory.java,org.apache.guacamole.net.auth.simple.SimpleConnectionGroupDirectory,class,3,4,2,4,0,3,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,22,2,1,0,0,0,0,0,1,0,1,0,0,0,0,52,1,801a5df9f1d7095c52e594dda1a5276fe8cf6524,57ff8b84e6bd7f02f70999b4a77853bdc5279e8a,17.0,58,4
E:\SoftwareRemodularization\raw_sourcecode\Guacamole-client\Guacamole-client_1.0.0-RC1\guacamole-ext\src\main\java\org\apache\guacamole\net\auth\simple\SimpleUserDirectory.java,org.apache.guacamole.net.auth.simple.SimpleUserDirectory,class,3,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,801a5df9f1d7095c52e594dda1a5276fe8cf6524,57ff8b84e6bd7f02f70999b4a77853bdc5279e8a,128.0,19,6
E:\SoftwareRemodularization\raw_sourcecode\Guacamole-client\Guacamole-client_1.0.0-RC1\guacamole-ext\src\main\java\org\apache\guacamole\net\auth\Permissions.java,org.apache.guacamole.net.auth.Permissions,interface,2,7,1,0,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,63,1,801a5df9f1d7095c52e594dda1a5276fe8cf6524,dfb07edf2967a3f3a4317b062786f88b390f8dae,4.0,103,1
E:\SoftwareRemodularization\raw_sourcecode\Guacamole-client\Guacamole-client_1.0.0-RC1\extensions\guacamole-auth-quickconnect\src\main\java\org\apache\guacamole\auth\quickconnect\QuickConnectionGroup.java,org.apache.guacamole.auth.quickconnect.QuickConnectionGroup,class,4,9,3,7,26,8,0,8,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3,50,6,0,0,0,0,1,1,1,0,1,0,0,0,0,58,1,801a5df9f1d7095c52e594dda1a5276fe8cf6524,0cbf90a55df8c14eb80391bb97c831f5bb910e71,12.0,80,1
E:\SoftwareRemodularization\raw_sourcecode\Guacamole-client\Guacamole-client_1.0.0-RC1\extensions\guacamole-auth-jdbc\modules\guacamole-auth-jdbc-base\src\main\java\org\apache\guacamole\auth\jdbc\base\EntityModel.java,org.apache.guacamole.auth.jdbc.base.EntityModel,class,2,6,2,0,7,6,0,6,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,22,2,0,0,0,0,0,0,3,0,2,0,0,0,0,74,1025,801a5df9f1d7095c52e594dda1a5276fe8cf6524,d95e05961275a773aa689adac6dae7d204426201,66.0,91,6
E:\SoftwareRemodularization\raw_sourcecode\Guacamole-client\Guacamole-client_1.0.0-RC1\extensions\guacamole-auth-jdbc\modules\guacamole-auth-jdbc-base\src\main\java\org\apache\guacamole\auth\jdbc\base\ModeledPermissions.java,org.apache.guacamole.auth.jdbc.base.ModeledPermissions,class,23,13,3,20,64,12,0,12,0,0,0,0,0,0,8,0,0,8,0,0,0,0,8,137,12,0,2,0,0,0,0,4,0,11,0,1,0,0,103,1025,801a5df9f1d7095c52e594dda1a5276fe8cf6524,69f58c8ca314c44822e0eaab354b5f722a01ac89,107.0,227,111
E:\SoftwareRemodularization\raw_sourcecode\Guacamole-client\Guacamole-client_1.0.0-RC1\guacamole-ext\src\main\java\org\apache\guacamole\net\auth\AbstractUserGroup.java,org.apache.guacamole.net.auth.AbstractUserGroup,class,5,12,2,1,66,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,11,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,801a5df9f1d7095c52e594dda1a5276fe8cf6524,2d6ba84a3de4bdd126a033aa357a6ea3593cb85f,24.0,155,1
E:\SoftwareRemodularization\raw_sourcecode\Guacamole-client\Guacamole-client_1.0.0-RC1\guacamole-ext\src\main\java\org\apache\guacamole\net\auth\AbstractUserGroup.java,org.apache.guacamole.net.auth.AbstractUserGroup,class,5,12,2,1,66,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,11,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,801a5df9f1d7095c52e594dda1a5276fe8cf6524,2d6ba84a3de4bdd126a033aa357a6ea3593cb85f,24.0,155,2
E:\SoftwareRemodularization\raw_sourcecode\Guacamole-client\Guacamole-client_0.9.14-RC1\guacamole-ext\src\main\java\org\apache\guacamole\net\event\listener\Listener.java,org.apache.guacamole.net.event.listener.Listener,interface,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,81,1,1c5951b6ac322a0d1e87ab787803275438d53983,6f89a0b53047dd1cc9fac8264639c30067bf6cb6,13.0,6,1
E:\SoftwareRemodularization\raw_sourcecode\Guacamole-client\Guacamole-client_0.9.14-RC1\guacamole-ext\src\main\java\org\apache\guacamole\net\event\listener\AuthenticationFailureListener.java,org.apache.guacamole.net.event.listener.AuthenticationFailureListener,interface,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,59,1,1c5951b6ac322a0d1e87ab787803275438d53983,f63c8b43a8277f9d38ada78f4acac72e02fcbed6,13.0,25,2
E:\SoftwareRemodularization\raw_sourcecode\Guacamole-client\Guacamole-client_0.9.14-RC1\guacamole-ext\src\main\java\org\apache\guacamole\net\event\listener\AuthenticationSuccessListener.java,org.apache.guacamole.net.event.listener.AuthenticationSuccessListener,interface,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,64,1,1c5951b6ac322a0d1e87ab787803275438d53983,f63c8b43a8277f9d38ada78f4acac72e02fcbed6,27.0,30,4
E:\SoftwareRemodularization\raw_sourcecode\Guacamole-client\Guacamole-client_0.9.14-RC1\guacamole-ext\src\main\java\org\apache\guacamole\net\event\listener\TunnelCloseListener.java,org.apache.guacamole.net.event.listener.TunnelCloseListener,interface,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,57,1,1c5951b6ac322a0d1e87ab787803275438d53983,f63c8b43a8277f9d38ada78f4acac72e02fcbed6,6.0,27,6
E:\SoftwareRemodularization\raw_sourcecode\Guacamole-client\Guacamole-client_0.9.14-RC1\guacamole-ext\src\main\java\org\apache\guacamole\net\event\listener\TunnelConnectListener.java,org.apache.guacamole.net.event.listener.TunnelConnectListener,interface,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,59,1,1c5951b6ac322a0d1e87ab787803275438d53983,f63c8b43a8277f9d38ada78f4acac72e02fcbed6,8.0,28,8
E:\SoftwareRemodularization\raw_sourcecode\Guacamole-client\Guacamole-client_0.9.14-RC1\guacamole-ext\src\main\java\org\apache\guacamole\net\auth\ActivityRecord.java,org.apache.guacamole.net.auth.ActivityRecord,interface,0,5,1,0,10,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,57,1,1c5951b6ac322a0d1e87ab787803275438d53983,cd5d23866db316e5835cd7fcd5fcc3a9c9a3a67e,49.0,54,8
E:\SoftwareRemodularization\raw_sourcecode\Guacamole-client\Guacamole-client_0.9.14-RC1\guacamole-ext\src\main\java\org\apache\guacamole\net\auth\ActivityRecordSet.java,org.apache.guacamole.net.auth.ActivityRecordSet,interface,3,4,1,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,127,1,1c5951b6ac322a0d1e87ab787803275438d53983,cd5d23866db316e5835cd7fcd5fcc3a9c9a3a67e,9.0,103,9
E:\SoftwareRemodularization\raw_sourcecode\Guacamole-client\Guacamole-client_0.9.14-RC1\guacamole-ext\src\main\java\org\apache\guacamole\net\auth\ConnectionRecordSet.java,org.apache.guacamole.net.auth.ConnectionRecordSet,interface,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,17,1,1c5951b6ac322a0d1e87ab787803275438d53983,26122ebc3eb07934264618c319f93738a230a973,14.0,9,11
