file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers,latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched
E:\SoftwareRemodularization\raw_sourcecode\Hadoop\Hadoop_release-3.3.0-RC0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-common\src\main\java\org\apache\hadoop\yarn\webapp\dao\ConfInfo.java,org.apache.hadoop.yarn.webapp.dao.ConfInfo,class,4,4,1,2,4,4,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,40,1,0,0,0,0,1,0,1,0,1,0,0,1,1,18,1,aa96f1871bfd858f9bac59cf2a81ec470da649af,c71befaf8fec1e5a962359c9cc131fb47adfd9d1,14.0,51,1
E:\SoftwareRemodularization\raw_sourcecode\Hadoop\Hadoop_release-3.3.0-RC0\hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\hdfs\server\blockmanagement\DatanodeAdminDefaultMonitor.java,org.apache.hadoop.hdfs.server.blockmanagement.DatanodeAdminDefaultMonitor,class,26,51,2,85,14,12,0,4,6,1,0,0,0,0,7,1,0,7,0,0,2,0,1,282,6,4,9,3,4,35,24,39,11,29,5,0,0,0,255,1,aa96f1871bfd858f9bac59cf2a81ec470da649af,c93cb6790e0f1c64efd03d859f907a0522010894,171.0,406,1
E:\SoftwareRemodularization\raw_sourcecode\Hadoop\Hadoop_release-3.3.0-RC0\hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\hdfs\server\blockmanagement\DatanodeAdminMonitorBase.java,org.apache.hadoop.hdfs.server.blockmanagement.DatanodeAdminMonitorBase,class,9,10,1,6,28,9,0,8,0,1,0,1,0,0,7,1,0,1,6,0,2,0,0,68,3,0,0,0,0,2,1,8,1,7,1,0,0,0,128,1025,aa96f1871bfd858f9bac59cf2a81ec470da649af,c93cb6790e0f1c64efd03d859f907a0522010894,16.0,124,53
E:\SoftwareRemodularization\raw_sourcecode\Hadoop\Hadoop_release-3.3.0-RC0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-server\hadoop-yarn-server-nodemanager\src\main\java\org\apache\hadoop\yarn\server\nodemanager\health\NodeHealthCheckerService.java,org.apache.hadoop.yarn.server.nodemanager.health.NodeHealthCheckerService,class,10,13,3,25,0,8,0,6,0,1,0,0,0,0,6,3,2,4,0,0,3,0,2,89,4,1,0,0,1,8,2,9,3,9,3,0,0,2,117,1,aa96f1871bfd858f9bac59cf2a81ec470da649af,631dbbc6f2f7c1c9c61f036e96a5ece6608ed7fa,21.0,127,1
E:\SoftwareRemodularization\raw_sourcecode\Hadoop\Hadoop_release-3.3.0-RC0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-server\hadoop-yarn-server-nodemanager\src\main\java\org\apache\hadoop\yarn\server\nodemanager\health\NodeHealthScriptRunner.java,org.apache.hadoop.yarn.server.nodemanager.health.NodeHealthScriptRunner,class,8,15,4,17,4,4,2,2,1,0,0,0,0,0,6,3,0,5,0,0,3,0,6,178,6,0,3,0,0,9,6,18,2,16,2,0,1,0,173,1,aa96f1871bfd858f9bac59cf2a81ec470da649af,631dbbc6f2f7c1c9c61f036e96a5ece6608ed7fa,8.0,239,2
E:\SoftwareRemodularization\raw_sourcecode\Hadoop\Hadoop_release-3.3.0-RC0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-server\hadoop-yarn-server-nodemanager\src\test\java\org\apache\hadoop\yarn\server\nodemanager\health\TestNodeHealthScriptRunner.java,org.apache.hadoop.yarn.server.nodemanager.health.TestNodeHealthScriptRunner,class,13,8,1,32,7,6,0,4,2,0,0,0,0,0,2,1,0,2,0,0,0,0,12,127,1,0,0,1,0,25,2,16,1,15,1,0,0,0,65,1,aa96f1871bfd858f9bac59cf2a81ec470da649af,631dbbc6f2f7c1c9c61f036e96a5ece6608ed7fa,19.0,137,3
E:\SoftwareRemodularization\raw_sourcecode\Hadoop\Hadoop_release-3.3.0-RC0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-server\hadoop-yarn-server-nodemanager\src\test\java\org\apache\hadoop\yarn\server\nodemanager\health\TestNodeHealthCheckerService.java,org.apache.hadoop.yarn.server.nodemanager.health.TestNodeHealthCheckerService,class,19,10,2,56,24,8,0,5,3,0,0,0,0,0,4,3,0,4,0,0,3,0,8,202,1,0,1,1,0,23,2,27,1,26,1,1,1,0,96,1,aa96f1871bfd858f9bac59cf2a81ec470da649af,631dbbc6f2f7c1c9c61f036e96a5ece6608ed7fa,13.0,207,4
E:\SoftwareRemodularization\raw_sourcecode\Hadoop\Hadoop_release-3.3.0-RC0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-server\hadoop-yarn-server-nodemanager\src\main\java\org\apache\hadoop\yarn\server\nodemanager\health\HealthReporter.java,org.apache.hadoop.yarn.server.nodemanager.health.HealthReporter,interface,0,3,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,71,1,aa96f1871bfd858f9bac59cf2a81ec470da649af,631dbbc6f2f7c1c9c61f036e96a5ece6608ed7fa,13.0,44,63
E:\SoftwareRemodularization\raw_sourcecode\Hadoop\Hadoop_release-3.3.0-RC0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-server\hadoop-yarn-server-nodemanager\src\main\java\org\apache\hadoop\yarn\server\nodemanager\health\TimedHealthReporterService.java,org.apache.hadoop.yarn.server.nodemanager.health.TimedHealthReporterService,class,5,15,2,10,50,13,0,4,2,2,0,0,0,5,7,1,0,7,0,0,1,0,3,81,4,0,1,0,0,6,1,10,1,7,1,0,0,0,76,1025,aa96f1871bfd858f9bac59cf2a81ec470da649af,631dbbc6f2f7c1c9c61f036e96a5ece6608ed7fa,56.0,117,64
E:\SoftwareRemodularization\raw_sourcecode\Hadoop\Hadoop_release-3.3.0-RC0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-server\hadoop-yarn-server-nodemanager\src\main\java\org\apache\hadoop\yarn\server\nodemanager\health\ExceptionReporter.java,org.apache.hadoop.yarn.server.nodemanager.health.ExceptionReporter,class,1,6,1,2,0,5,0,4,0,0,0,0,0,4,2,0,0,2,0,0,0,0,1,26,3,0,2,0,0,0,1,4,0,2,0,0,0,0,36,1,aa96f1871bfd858f9bac59cf2a81ec470da649af,631dbbc6f2f7c1c9c61f036e96a5ece6608ed7fa,21.0,40,65
