file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers,latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched
E:\SoftwareRemodularization\raw_sourcecode\Orientdb\Orientdb_3.1.8\core\src\main\java\com\orientechnologies\orient\core\exception\OClusterDoesNotExistException.java,com.orientechnologies.orient.core.exception.OClusterDoesNotExistException,class,3,2,7,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,69d78b7fe2a715e44407043613a5eac77b30abd1,ac9673077a630192e99483c3421a2da3b53f047b,13.0,10,1
E:\SoftwareRemodularization\raw_sourcecode\Orientdb\Orientdb_3.1.8\core\src\main\java\com\orientechnologies\orient\core\storage\impl\local\paginated\wal\common\OperationIdLSN.java,com.orientechnologies.orient.core.storage.impl.local.paginated.wal.common.OperationIdLSN,class,1,2,1,0,0,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,14,1,0,0,0,0,3,0,2,2,2,0,0,0,0,13,17,69d78b7fe2a715e44407043613a5eac77b30abd1,fa9f31034ad8b296e233217c073609e844228f5f,91.0,17,9
E:\SoftwareRemodularization\raw_sourcecode\Orientdb\Orientdb_3.1.8\core\src\main\java\com\orientechnologies\orient\core\storage\impl\local\paginated\wal\common\OperationIdLSN.java,com.orientechnologies.orient.core.storage.impl.local.paginated.wal.common.OperationIdLSN,class,1,2,1,0,0,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,14,1,0,0,0,0,3,0,2,2,2,0,0,0,0,13,17,69d78b7fe2a715e44407043613a5eac77b30abd1,fa9f31034ad8b296e233217c073609e844228f5f,91.0,17,12
E:\SoftwareRemodularization\raw_sourcecode\Orientdb\Orientdb_3.1.8\core\src\main\java\com\orientechnologies\orient\core\storage\impl\local\paginated\wal\common\OperationIdLSN.java,com.orientechnologies.orient.core.storage.impl.local.paginated.wal.common.OperationIdLSN,class,1,2,1,0,0,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,14,1,0,0,0,0,3,0,2,2,2,0,0,0,0,13,17,69d78b7fe2a715e44407043613a5eac77b30abd1,fa9f31034ad8b296e233217c073609e844228f5f,91.0,17,15
E:\SoftwareRemodularization\raw_sourcecode\Orientdb\Orientdb_3.1.8\distributed\src\test\java\com\orientechnologies\orient\OTransactionDataTest.java,com.orientechnologies.orient.OTransactionDataTest,class,20,4,1,55,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,153,0,1,0,10,5,42,15,30,0,30,3,0,0,2,67,1,69d78b7fe2a715e44407043613a5eac77b30abd1,ec905c208de004a48c5379104dd9e443bb7e1213,90.0,132,1
E:\SoftwareRemodularization\raw_sourcecode\Orientdb\Orientdb_3.1.3\distributed\src\main\java\com\orientechnologies\orient\server\distributed\impl\lock\OLockManager.java,com.orientechnologies.orient.server.distributed.impl.lock.OLockManager,interface,5,3,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,13,1,84474953ab1ac68ebb720280701638aaa0b17ba7,a2d343a047feb456ba400706a71a7e606d74b682,154.0,8,1
E:\SoftwareRemodularization\raw_sourcecode\Orientdb\Orientdb_3.1.3\distributed\src\main\java\com\orientechnologies\orient\server\distributed\impl\lock\OLockManagerImpl.java,com.orientechnologies.orient.server.distributed.impl.lock.OLockManagerImpl,class,13,10,1,17,8,5,0,3,2,0,0,0,0,4,1,0,0,1,0,0,0,0,1,65,0,3,1,0,0,0,0,12,0,12,1,0,0,0,37,1,84474953ab1ac68ebb720280701638aaa0b17ba7,a2d343a047feb456ba400706a71a7e606d74b682,42.0,59,2
E:\SoftwareRemodularization\raw_sourcecode\Orientdb\Orientdb_3.1.3\distributed\src\main\java\com\orientechnologies\orient\server\distributed\impl\lock\OIndexKeyLockKey.java,com.orientechnologies.orient.server.distributed.impl.lock.OIndexKeyLockKey,class,2,7,1,3,0,4,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,3,25,5,0,2,0,0,3,0,3,2,3,0,0,0,0,19,1,84474953ab1ac68ebb720280701638aaa0b17ba7,dd9b6763139f57fecb8dfe9adcf849773621872e,36.0,26,9
E:\SoftwareRemodularization\raw_sourcecode\Orientdb\Orientdb_3.2.0\distributed\src\main\java\com\orientechnologies\orient\server\distributed\impl\lock\OLockManager.java,com.orientechnologies.orient.server.distributed.impl.lock.OLockManager,interface,6,4,1,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,16,1,c08b76230798b477a8abbf2312b30ecddad842ad,3285c9b4e809a52e8780518d19e092518f7ef5a1,18.0,8,1
E:\SoftwareRemodularization\raw_sourcecode\Orientdb\Orientdb_3.2.0\distributed\src\main\java\com\orientechnologies\orient\server\distributed\impl\lock\OLockManagerImpl.java,com.orientechnologies.orient.server.distributed.impl.lock.OLockManagerImpl,class,15,16,1,19,9,7,0,4,3,0,0,0,0,6,3,0,0,3,0,0,0,0,1,93,0,3,1,0,0,1,0,16,0,14,2,0,0,2,47,1,c08b76230798b477a8abbf2312b30ecddad842ad,3285c9b4e809a52e8780518d19e092518f7ef5a1,40.0,59,2
E:\SoftwareRemodularization\raw_sourcecode\Orientdb\Orientdb_3.2.0\distributed\src\test\java\com\orientechnologies\orient\server\distributed\HARemoteGraphIT.java,com.orientechnologies.orient.server.distributed.HARemoteGraphIT,class,5,4,6,2,3,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,26,3,0,1,0,0,5,0,1,1,0,1,0,0,0,59,1,c08b76230798b477a8abbf2312b30ecddad842ad,1403bdea99c3dfd5ee6b59d903373c49b13e1abc,202.0,32,2
E:\SoftwareRemodularization\raw_sourcecode\Orientdb\Orientdb_3.2.0\distributed\src\main\java\com\orientechnologies\orient\server\distributed\ODistributedConfigurationManager.java,com.orientechnologies.orient.server.distributed.ODistributedConfigurationManager,class,11,22,1,34,0,6,0,5,0,1,0,0,0,0,3,0,0,3,0,0,1,0,7,157,6,0,6,4,0,11,2,16,3,11,3,0,0,0,39,1,c08b76230798b477a8abbf2312b30ecddad842ad,824efceac01cfcade6dffbe4e60896024c9ff78b,51.0,172,8
E:\SoftwareRemodularization\raw_sourcecode\Orientdb\Orientdb_3.2.0\distributed\src\main\java\com\orientechnologies\orient\server\distributed\impl\lock\OIndexKeyLockKey.java,com.orientechnologies.orient.server.distributed.impl.lock.OIndexKeyLockKey,class,2,7,1,3,0,4,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,3,25,5,0,2,0,0,3,0,3,2,3,0,0,0,0,19,1,c08b76230798b477a8abbf2312b30ecddad842ad,3457e2732c413adf1e1f273d1896a5069a5b734c,23.0,26,9
E:\SoftwareRemodularization\raw_sourcecode\Orientdb\Orientdb_3.2.0\distributed\src\test\java\com\orientechnologies\orient\setup\K8sServerConfig.java,com.orientechnologies.orient.setup.K8sServerConfig,class,2,47,1,3,451,35,0,34,1,0,0,0,0,0,15,0,0,15,0,0,0,0,0,150,17,0,1,0,0,15,0,42,2,16,1,0,0,0,49,1,c08b76230798b477a8abbf2312b30ecddad842ad,a313005fbfc1d9144ff99233b31b3a77c03b4cf7,18.0,166,1
E:\SoftwareRemodularization\raw_sourcecode\Orientdb\Orientdb_3.2.0\distributed\src\test\java\com\orientechnologies\orient\setup\ManifestTemplate.java,com.orientechnologies.orient.setup.ManifestTemplate,class,5,5,1,4,10,5,5,5,0,0,0,0,0,0,14,14,14,0,0,0,14,0,5,66,5,0,0,0,0,14,0,18,0,18,0,2,0,0,50,1,c08b76230798b477a8abbf2312b30ecddad842ad,a313005fbfc1d9144ff99233b31b3a77c03b4cf7,40.0,65,4
E:\SoftwareRemodularization\raw_sourcecode\Orientdb\Orientdb_3.2.0\distributed\src\test\java\com\orientechnologies\orient\setup\OrientDBIT.java,com.orientechnologies.orient.setup.OrientDBIT,class,7,12,2,5,6,4,0,4,0,0,0,0,0,0,4,4,0,4,0,0,4,0,5,59,1,2,0,4,0,3,8,6,2,6,3,0,0,0,38,1,c08b76230798b477a8abbf2312b30ecddad842ad,a313005fbfc1d9144ff99233b31b3a77c03b4cf7,40.0,50,5
E:\SoftwareRemodularization\raw_sourcecode\Orientdb\Orientdb_3.2.0\distributed\src\test\java\com\orientechnologies\orient\setup\ServerRun.java,com.orientechnologies.orient.setup.ServerRun,class,21,41,1,45,88,25,4,25,0,0,0,0,0,0,3,0,1,2,0,0,1,0,14,181,15,2,2,4,9,20,0,16,7,14,4,0,0,0,86,1,c08b76230798b477a8abbf2312b30ecddad842ad,a313005fbfc1d9144ff99233b31b3a77c03b4cf7,195.0,210,6
E:\SoftwareRemodularization\raw_sourcecode\Orientdb\Orientdb_3.2.0\distributed\src\test\java\com\orientechnologies\orient\setup\TestSetup.java,com.orientechnologies.orient.setup.TestSetup,interface,8,11,1,5,36,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,1,0,0,0,0,0,2,0,2,2,0,0,0,43,1,c08b76230798b477a8abbf2312b30ecddad842ad,a313005fbfc1d9144ff99233b31b3a77c03b4cf7,196.0,20,8
