file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers,latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched
E:\SoftwareRemodularization\raw_sourcecode\Rest-assured\Rest-assured_rest-assured-4.3.2\examples\spring-mvc-webapp\src\test\java\io\restassured\examples\springmvc\controller\MultiPartFileUploadITest.java,io.restassured.examples.springmvc.controller.MultiPartFileUploadITest,class,30,19,1,54,0,19,1,19,0,0,0,0,0,0,5,1,3,1,1,0,3,0,55,291,1,0,0,0,0,197,39,17,0,16,0,0,0,0,101,1,096525eb1f024b5e4a72c8b4cfc327f9e9ceb483,85c736d905a343a7aa96a0b20f0d6c8861f942f7,383.0,301,2
E:\SoftwareRemodularization\raw_sourcecode\Rest-assured\Rest-assured_rest-assured-4.4.0\examples\spring-mvc-webapp\src\test\java\io\restassured\examples\springmvc\controller\MultiPartFileUploadITest.java,io.restassured.examples.springmvc.controller.MultiPartFileUploadITest,class,30,19,1,54,0,19,1,19,0,0,0,0,0,0,5,1,3,1,1,0,3,0,55,291,1,0,0,0,0,197,39,17,0,16,0,0,0,0,101,1,275df07b674d716893c62582a33f51b47f2c027d,85c736d905a343a7aa96a0b20f0d6c8861f942f7,34.0,301,2
E:\SoftwareRemodularization\raw_sourcecode\Rest-assured\Rest-assured_rest-assured-4.3.3\examples\spring-mvc-webapp\src\test\java\io\restassured\examples\springmvc\controller\MultiPartFileUploadITest.java,io.restassured.examples.springmvc.controller.MultiPartFileUploadITest,class,30,19,1,54,0,19,1,19,0,0,0,0,0,0,5,1,3,1,1,0,3,0,55,291,1,0,0,0,0,197,39,17,0,16,0,0,0,0,101,1,6244bb1374707802d9d15629c82fa021fd427bf3,85c736d905a343a7aa96a0b20f0d6c8861f942f7,384.0,301,2
E:\SoftwareRemodularization\raw_sourcecode\Rest-assured\Rest-assured_rest-assured-4.2.1\json-path\src\main\java\io\restassured\path\json\mapper\factory\DefaultGsonObjectMapperFactory.java,io.restassured.path.json.mapper.factory.DefaultGsonObjectMapperFactory,class,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,fcab041fbf32112969e0ffb4fbb9e794b9e6c518,e79d5319776e733d7edadde3ba5694845ec576bf,11.0,-24,1
E:\SoftwareRemodularization\raw_sourcecode\Rest-assured\Rest-assured_rest-assured-4.2.1\json-path\src\main\java\io\restassured\path\json\mapper\factory\DefaultJackson1ObjectMapperFactory.java,io.restassured.path.json.mapper.factory.DefaultJackson1ObjectMapperFactory,class,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,fcab041fbf32112969e0ffb4fbb9e794b9e6c518,e79d5319776e733d7edadde3ba5694845ec576bf,41.0,-24,2
E:\SoftwareRemodularization\raw_sourcecode\Rest-assured\Rest-assured_rest-assured-4.2.1\json-path\src\main\java\io\restassured\path\json\mapper\factory\DefaultJackson2ObjectMapperFactory.java,io.restassured.path.json.mapper.factory.DefaultJackson2ObjectMapperFactory,class,3,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,fcab041fbf32112969e0ffb4fbb9e794b9e6c518,e79d5319776e733d7edadde3ba5694845ec576bf,97.0,-25,3
E:\SoftwareRemodularization\raw_sourcecode\Rest-assured\Rest-assured_rest-assured-4.2.1\json-path\src\main\java\io\restassured\path\json\mapper\factory\GsonObjectMapperFactory.java,io.restassured.path.json.mapper.factory.GsonObjectMapperFactory,interface,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,17,1,fcab041fbf32112969e0ffb4fbb9e794b9e6c518,e79d5319776e733d7edadde3ba5694845ec576bf,41.0,5,4
E:\SoftwareRemodularization\raw_sourcecode\Rest-assured\Rest-assured_rest-assured-4.2.1\json-path\src\main\java\io\restassured\path\json\mapper\factory\Jackson1ObjectMapperFactory.java,io.restassured.path.json.mapper.factory.Jackson1ObjectMapperFactory,interface,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,19,1,fcab041fbf32112969e0ffb4fbb9e794b9e6c518,e79d5319776e733d7edadde3ba5694845ec576bf,215.0,5,5
E:\SoftwareRemodularization\raw_sourcecode\Rest-assured\Rest-assured_rest-assured-4.2.1\json-path\src\main\java\io\restassured\path\json\mapper\factory\Jackson2ObjectMapperFactory.java,io.restassured.path.json.mapper.factory.Jackson2ObjectMapperFactory,interface,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,19,1,fcab041fbf32112969e0ffb4fbb9e794b9e6c518,e79d5319776e733d7edadde3ba5694845ec576bf,35.0,5,6
E:\SoftwareRemodularization\raw_sourcecode\Rest-assured\Rest-assured_rest-assured-4.2.1\rest-assured-common\src\main\java\io\restassured\common\exception\PathException.java,io.restassured.common.exception.PathException,class,0,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1025,fcab041fbf32112969e0ffb4fbb9e794b9e6c518,e79d5319776e733d7edadde3ba5694845ec576bf,8.0,5,7
