file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers,latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched
E:\SoftwareRemodularization\raw_sourcecode\Storm\Storm_v1.1.4\external\storm-kafka-client\src\main\java\org\apache\storm\kafka\spout\ManualPartitionSubscription.java,org.apache.storm.kafka.spout.ManualPartitionSubscription,class,10,5,2,10,0,4,0,4,0,0,0,0,0,0,6,1,0,6,0,0,3,0,1,45,1,0,0,0,0,0,1,12,0,9,1,0,0,0,35,1,babab9648a6deb3d444c45bdd6d0ec30804e91f1,aac570f92194e76448c097cd1bf73afab7cc9213,58.0,-31,1
E:\SoftwareRemodularization\raw_sourcecode\Storm\Storm_v1.1.4\external\storm-hdfs\src\test\java\org\apache\storm\hdfs\bolt\AvroGenericRecordBoltTest.java,org.apache.storm.hdfs.bolt.AvroGenericRecordBoltTest,class,40,19,1,30,0,13,2,8,5,0,0,0,0,0,12,7,1,11,0,0,3,0,2,217,3,4,0,2,1,21,25,36,3,36,2,2,0,0,120,1,babab9648a6deb3d444c45bdd6d0ec30804e91f1,a0308efd6c934416206183561194f3470e415edb,49.0,215,18
E:\SoftwareRemodularization\raw_sourcecode\Storm\Storm_v1.1.4\external\storm-hdfs\src\test\java\org\apache\storm\hdfs\bolt\TestHdfsBolt.java,org.apache.storm.hdfs.bolt.TestHdfsBolt,class,35,20,1,30,0,13,0,9,4,0,0,0,0,0,9,1,2,5,0,0,1,0,1,205,4,2,1,3,0,14,27,25,3,27,2,3,0,0,108,1,babab9648a6deb3d444c45bdd6d0ec30804e91f1,a0308efd6c934416206183561194f3470e415edb,8.0,216,24
E:\SoftwareRemodularization\raw_sourcecode\Storm\Storm_v1.1.4\external\storm-hdfs\src\test\java\org\apache\storm\hdfs\bolt\TestSequenceFileBolt.java,org.apache.storm.hdfs.bolt.TestSequenceFileBolt,class,33,10,1,26,0,8,0,5,3,0,0,0,0,0,10,2,2,6,0,0,2,0,0,139,3,1,0,0,0,9,13,19,1,21,2,2,0,0,96,1,babab9648a6deb3d444c45bdd6d0ec30804e91f1,a0308efd6c934416206183561194f3470e415edb,150.0,130,26
E:\SoftwareRemodularization\raw_sourcecode\Storm\Storm_v1.1.4\external\storm-hdfs\src\test\java\org\apache\storm\hdfs\testing\MiniDFSClusterRule.java,org.apache.storm.hdfs.testing.MiniDFSClusterRule,class,8,5,1,0,10,5,0,5,0,0,0,0,0,0,4,1,0,4,0,0,2,0,0,51,3,0,0,0,0,1,0,2,0,4,0,2,1,0,31,1,babab9648a6deb3d444c45bdd6d0ec30804e91f1,a0308efd6c934416206183561194f3470e415edb,38.0,53,82
E:\SoftwareRemodularization\raw_sourcecode\Storm\Storm_v1.1.4\external\storm-hdfs\src\test\java\org\apache\storm\hdfs\testing\MiniDFSClusterRule.java,org.apache.storm.hdfs.testing.MiniDFSClusterRule,class,8,5,1,0,10,5,0,5,0,0,0,0,0,0,4,1,0,4,0,0,2,0,0,51,3,0,0,0,0,1,0,2,0,4,0,2,1,0,31,1,babab9648a6deb3d444c45bdd6d0ec30804e91f1,a0308efd6c934416206183561194f3470e415edb,38.0,53,85
E:\SoftwareRemodularization\raw_sourcecode\Storm\Storm_v1.1.4\storm-core\src\jvm\org\apache\storm\utils\WorkerBackpressureThread.java,org.apache.storm.utils.WorkerBackpressureThread,class,4,7,2,9,0,4,1,4,0,0,0,0,0,0,5,1,0,5,0,0,1,0,0,51,0,1,0,2,0,1,1,6,0,5,3,0,1,0,38,17,babab9648a6deb3d444c45bdd6d0ec30804e91f1,7418bc7db9ffc783ed50d98ecd8c644be16bd860,9.0,57,2
E:\SoftwareRemodularization\raw_sourcecode\Storm\Storm_v1.1.4\external\flux\flux-core\src\test\java\org\apache\storm\flux\multilang\MultilangEnvironmentTest.java,org.apache.storm.flux.multilang.MultilangEnvironmentTest,class,4,3,1,10,3,3,0,2,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,56,1,0,0,0,0,8,2,10,0,10,0,0,1,0,54,1,babab9648a6deb3d444c45bdd6d0ec30804e91f1,f7b8bb259e95e23940baaaea077d30a7089ee1b1,160.0,58,1
E:\SoftwareRemodularization\raw_sourcecode\Storm\Storm_v1.1.4\external\storm-kafka-client\src\test\java\org\apache\storm\kafka\spout\KafkaSpoutAbstractTest.java,org.apache.storm.kafka.spout.KafkaSpoutAbstractTest,class,24,11,1,32,31,11,0,2,1,1,0,1,0,0,10,0,1,2,0,0,4,0,5,102,4,0,0,0,0,2,1,13,1,14,0,1,0,0,95,1025,babab9648a6deb3d444c45bdd6d0ec30804e91f1,324bc95b18ce3a477096842a364728cbf932831d,22.0,129,1
E:\SoftwareRemodularization\raw_sourcecode\Storm\Storm_v1.1.4\external\storm-kafka-client\src\main\java\org\apache\storm\kafka\spout\NamedSubscription.java,org.apache.storm.kafka.spout.NamedSubscription,class,7,4,2,7,0,4,0,4,0,0,0,0,0,0,3,2,0,2,1,0,3,0,2,33,1,0,0,0,0,2,2,3,0,3,0,0,0,0,42,1,babab9648a6deb3d444c45bdd6d0ec30804e91f1,324bc95b18ce3a477096842a364728cbf932831d,48.0,32,93
