file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers,latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched
E:\SoftwareRemodularization\raw_sourcecode\Testcontainers-java\Testcontainers-java_testcontainers-1.2.1\core\src\main\java\org\testcontainers\containers\wait\HostPortWaitStrategy.java,org.testcontainers.containers.wait.HostPortWaitStrategy,class,9,9,2,18,1,2,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,3,85,5,0,2,1,0,16,0,7,3,6,2,0,0,5,78,1,7f7fe80771ae0979f4951cfea3847446779f15cc,ef5c972e01bd13eb7d1a98e7d479c1ad4921ae15,9.0,83,2
E:\SoftwareRemodularization\raw_sourcecode\Testcontainers-java\Testcontainers-java_testcontainers-1.2.1\modules\jdbc-test\src\test\java\org\testcontainers\junit\SimpleMySQLTest.java,org.testcontainers.junit.SimpleMySQLTest,class,9,4,1,23,4,4,0,3,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,74,1,0,0,3,0,13,4,14,0,14,1,0,0,0,73,1,7f7fe80771ae0979f4951cfea3847446779f15cc,6b084547dccd3ccf39a6fb648d9dbbe41838a8a3,50.0,90,1
E:\SoftwareRemodularization\raw_sourcecode\Testcontainers-java\Testcontainers-java_testcontainers-1.2.1\core\src\main\java\org\testcontainers\dockerclient\LogToStringContainerCallback.java,org.testcontainers.dockerclient.LogToStringContainerCallback,class,2,3,2,5,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,20,1,0,0,1,0,0,0,1,0,1,1,0,0,0,19,1,7f7fe80771ae0979f4951cfea3847446779f15cc,398a6164efeb4d5605a703bb92c09840251b8034,15.0,18,1
E:\SoftwareRemodularization\raw_sourcecode\Testcontainers-java\Testcontainers-java_testcontainers-1.2.1\core\src\main\java\org\testcontainers\DockerClientFactory.java,org.testcontainers.DockerClientFactory,class,21,30,4,53,73,14,1,7,7,0,0,0,0,1,7,3,0,7,0,0,2,0,9,167,10,1,2,3,1,27,10,22,7,19,2,0,2,5,176,1,7f7fe80771ae0979f4951cfea3847446779f15cc,398a6164efeb4d5605a703bb92c09840251b8034,11.0,221,3
E:\SoftwareRemodularization\raw_sourcecode\Testcontainers-java\Testcontainers-java_testcontainers-1.2.1\core\src\main\java\org\testcontainers\dockerclient\DockerClientConfigUtils.java,org.testcontainers.dockerclient.DockerClientConfigUtils,class,3,1,1,8,0,1,1,1,0,0,0,0,0,0,2,2,1,1,0,0,2,0,1,46,1,0,0,0,0,1,0,2,0,2,0,0,0,5,41,1,7f7fe80771ae0979f4951cfea3847446779f15cc,398a6164efeb4d5605a703bb92c09840251b8034,22.0,41,21
E:\SoftwareRemodularization\raw_sourcecode\Testcontainers-java\Testcontainers-java_testcontainers-1.2.1\core\src\main\java\org\testcontainers\dockerclient\LogToStringContainerCallback.java,org.testcontainers.dockerclient.LogToStringContainerCallback,class,2,3,2,5,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,20,1,0,0,1,0,0,0,1,0,1,1,0,0,0,19,1,7f7fe80771ae0979f4951cfea3847446779f15cc,398a6164efeb4d5605a703bb92c09840251b8034,15.0,18,24
E:\SoftwareRemodularization\raw_sourcecode\Testcontainers-java\Testcontainers-java_testcontainers-1.2.1\core\src\main\java\org\testcontainers\dockerclient\WindowsClientProviderStrategy.java,org.testcontainers.dockerclient.WindowsClientProviderStrategy,class,4,3,2,8,3,3,0,2,0,1,0,0,0,0,2,2,0,2,0,0,2,0,1,27,2,0,0,0,0,3,1,6,0,3,0,0,0,0,40,1,7f7fe80771ae0979f4951cfea3847446779f15cc,aaa1fda5f12a7100bfae68329c74d6d4dbb6c316,9.0,28,1
E:\SoftwareRemodularization\raw_sourcecode\Testcontainers-java\Testcontainers-java_testcontainers-1.2.1\core\src\main\java\org\testcontainers\utility\PathUtils.java,org.testcontainers.utility.PathUtils,class,2,6,1,9,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,46,1,0,0,1,0,5,3,6,3,3,1,1,0,0,62,1,7f7fe80771ae0979f4951cfea3847446779f15cc,19905c0f0d79fe05692ea440c5c0d543e1794255,21.0,61,2
E:\SoftwareRemodularization\raw_sourcecode\Testcontainers-java\Testcontainers-java_testcontainers-1.2.1\core\src\main\java\org\testcontainers\utility\MountableFile.java,org.testcontainers.utility.MountableFile,class,7,21,1,41,22,8,4,2,6,0,0,0,0,0,2,0,0,2,0,0,2,0,9,130,7,2,0,4,0,23,1,18,5,16,3,0,0,1,144,1,7f7fe80771ae0979f4951cfea3847446779f15cc,19905c0f0d79fe05692ea440c5c0d543e1794255,10.0,172,3
E:\SoftwareRemodularization\raw_sourcecode\Testcontainers-java\Testcontainers-java_testcontainers-1.2.1\core\src\main\java\org\testcontainers\utility\MountableFile.java,org.testcontainers.utility.MountableFile,class,7,21,1,41,22,8,4,2,6,0,0,0,0,0,2,0,0,2,0,0,2,0,9,130,7,2,0,4,0,23,1,18,5,16,3,0,0,1,144,1,7f7fe80771ae0979f4951cfea3847446779f15cc,4caddcc2b51d05aaf5689a189caf535001273da8,10.0,167,2
