file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers,latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched
E:\SoftwareRemodularization\raw_sourcecode\Tika\Tika_1.27\tika-parsers\src\main\java\org\apache\tika\parser\pdf\ImageGraphicsEngine.java,org.apache.tika.parser.pdf.ImageGraphicsEngine,class,37,80,2,75,284,25,3,13,7,2,0,0,0,0,14,4,0,13,0,0,13,0,15,387,12,3,6,8,4,36,9,57,4,50,5,0,0,0,181,0,ccf94425e1cd6136ab3c06046580704393039294,da79e3105223fe897c36d6f5d30000fc602ae3a1,18.0,358,2
E:\SoftwareRemodularization\raw_sourcecode\Tika\Tika_1.27\tika-parsers\src\test\java\org\apache\tika\TestCorruptedFiles.java,org.apache.tika.TestCorruptedFiles,class,17,38,3,35,12,12,3,9,3,0,0,0,0,0,10,10,0,10,0,0,6,0,17,281,7,9,5,6,2,32,37,70,17,55,4,0,3,0,176,1,ccf94425e1cd6136ab3c06046580704393039294,cd9a8911e60a957eb1eebba7528fdbade7dec226,11.0,317,1
E:\SoftwareRemodularization\raw_sourcecode\Tika\Tika_1.27\tika-parsers\src\test\java\org\apache\tika\TestCorruptedFiles.java,org.apache.tika.TestCorruptedFiles,class,17,38,3,35,12,12,3,9,3,0,0,0,0,0,10,10,0,10,0,0,6,0,17,281,7,9,5,6,2,32,37,70,17,55,4,0,3,0,176,1,ccf94425e1cd6136ab3c06046580704393039294,4cec35f00a007d72b9546749540eee29f61f8dd3,11.0,317,2
E:\SoftwareRemodularization\raw_sourcecode\Tika\Tika_1.27\tika-parsers\src\main\java\org\apache\tika\parser\apple\PListParser.java,org.apache.tika.parser.apple.PListParser,class,26,25,2,40,13,6,0,2,4,0,0,0,0,0,11,11,0,11,0,0,11,0,5,179,2,3,1,2,8,14,0,27,1,24,3,0,1,0,115,1,ccf94425e1cd6136ab3c06046580704393039294,9b42784b4bde8cf6538e96958461c4080a37b6dc,19.0,170,1
E:\SoftwareRemodularization\raw_sourcecode\Tika\Tika_1.27\tika-parsers\src\test\java\org\apache\tika\parser\apple\PListParserTest.java,org.apache.tika.parser.apple.PListParserTest,class,3,2,2,7,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0,0,7,5,7,0,7,0,0,0,0,27,1,ccf94425e1cd6136ab3c06046580704393039294,9b42784b4bde8cf6538e96958461c4080a37b6dc,17.0,30,2
E:\SoftwareRemodularization\raw_sourcecode\Tika\Tika_1.27\tika-parsers\src\main\java\org\apache\tika\parser\odf\OpenDocumentBodyHandler.java,org.apache.tika.parser.odf.OpenDocumentBodyHandler,class,17,123,4,50,17,19,1,5,13,0,0,0,0,0,40,18,9,28,1,0,21,0,8,492,15,0,9,2,2,160,24,92,3,61,2,0,3,0,154,0,ccf94425e1cd6136ab3c06046580704393039294,8adb7fad3225cc1e529d705bafbdfd0169a2c4b3,26.0,578,4
E:\SoftwareRemodularization\raw_sourcecode\Tika\Tika_1.27\tika-parsers\src\main\java\org\apache\tika\parser\odf\OpenDocumentBodyHandler.java,org.apache.tika.parser.odf.OpenDocumentBodyHandler,class,17,123,4,50,17,19,1,5,13,0,0,0,0,0,40,18,9,28,1,0,21,0,8,492,15,0,9,2,2,160,24,92,3,61,2,0,3,0,154,0,ccf94425e1cd6136ab3c06046580704393039294,8adb7fad3225cc1e529d705bafbdfd0169a2c4b3,26.0,578,48
E:\SoftwareRemodularization\raw_sourcecode\Tika\Tika_1.27\tika-parsers\src\main\java\org\apache\tika\parser\odf\OpenDocumentBodyHandler.java,org.apache.tika.parser.odf.OpenDocumentBodyHandler,class,17,123,4,50,17,19,1,5,13,0,0,0,0,0,40,18,9,28,1,0,21,0,8,492,15,0,9,2,2,160,24,92,3,61,2,0,3,0,154,0,ccf94425e1cd6136ab3c06046580704393039294,8adb7fad3225cc1e529d705bafbdfd0169a2c4b3,26.0,578,49
E:\SoftwareRemodularization\raw_sourcecode\Tika\Tika_1.27\tika-parsers\src\main\java\org\apache\tika\parser\odf\OpenDocumentBodyHandler.java,org.apache.tika.parser.odf.OpenDocumentBodyHandler,class,17,123,4,50,17,19,1,5,13,0,0,0,0,0,40,18,9,28,1,0,21,0,8,492,15,0,9,2,2,160,24,92,3,61,2,0,3,0,154,0,ccf94425e1cd6136ab3c06046580704393039294,8adb7fad3225cc1e529d705bafbdfd0169a2c4b3,26.0,578,50
E:\SoftwareRemodularization\raw_sourcecode\Tika\Tika_1.27\tika-parsers\src\main\java\org\apache\tika\parser\odf\FlatOpenDocumentMacroHandler.java,org.apache.tika.parser.odf.FlatOpenDocumentMacroHandler,class,13,14,3,16,0,6,0,3,0,2,0,0,0,0,9,3,0,5,0,0,3,0,3,86,0,0,1,2,0,3,1,16,0,12,2,0,0,0,60,0,ccf94425e1cd6136ab3c06046580704393039294,bae92639a2f85d182c68469de070f00e2127cf94,2.0,77,3
