file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers,latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched
E:\SoftwareRemodularization\raw_sourcecode\Traccar\Traccar_v4.9\src\main\java\org\traccar\notification\JsonTypeEventForwarder.java,org.traccar.notification.JsonTypeEventForwarder,class,4,1,2,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,df9061e1db8195ca37c9106dbf53ad02dd818165,59416923dcb3a756eaf532cc4259f2f6625c0762,26.0,7,1
E:\SoftwareRemodularization\raw_sourcecode\Traccar\Traccar_v4.9\src\main\java\org\traccar\protocol\AplicomFrameDecoder.java,org.traccar.protocol.AplicomFrameDecoder,class,4,8,3,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,32,3,1,0,0,2,0,12,7,3,3,1,0,0,0,19,1,df9061e1db8195ca37c9106dbf53ad02dd818165,59416923dcb3a756eaf532cc4259f2f6625c0762,238.0,39,2
E:\SoftwareRemodularization\raw_sourcecode\Traccar\Traccar_v4.9\src\main\java\org\traccar\protocol\JpKorjarProtocolDecoder.java,org.traccar.protocol.JpKorjarProtocolDecoder,class,11,4,4,23,0,2,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,57,3,0,2,0,0,14,9,4,0,4,1,0,0,0,35,1,df9061e1db8195ca37c9106dbf53ad02dd818165,59416923dcb3a756eaf532cc4259f2f6625c0762,66.0,57,3
E:\SoftwareRemodularization\raw_sourcecode\Traccar\Traccar_v4.9\src\main\java\org\traccar\protocol\Pt502ProtocolDecoder.java,org.traccar.protocol.Pt502ProtocolDecoder,class,18,25,4,59,6,5,0,1,3,1,0,0,0,0,3,2,0,3,0,0,2,0,5,152,16,1,1,0,2,37,26,21,8,20,3,0,0,0,70,1,df9061e1db8195ca37c9106dbf53ad02dd818165,59416923dcb3a756eaf532cc4259f2f6625c0762,88.0,176,4
E:\SoftwareRemodularization\raw_sourcecode\Traccar\Traccar_v4.9\src\main\java\org\traccar\protocol\SviasProtocol.java,org.traccar.protocol.SviasProtocol,class,2,1,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,1,df9061e1db8195ca37c9106dbf53ad02dd818165,59416923dcb3a756eaf532cc4259f2f6625c0762,16.0,24,5
E:\SoftwareRemodularization\raw_sourcecode\Traccar\Traccar_v4.9\src\main\java\org\traccar\protocol\SviasProtocolDecoder.java,org.traccar.protocol.SviasProtocolDecoder,class,12,6,4,27,0,2,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,4,73,3,0,1,0,0,21,7,6,4,6,1,0,0,0,37,1,df9061e1db8195ca37c9106dbf53ad02dd818165,59416923dcb3a756eaf532cc4259f2f6625c0762,22.0,73,6
E:\SoftwareRemodularization\raw_sourcecode\Traccar\Traccar_v4.9\src\main\java\org\traccar\protocol\SviasProtocolEncoder.java,org.traccar.protocol.SviasProtocolEncoder,class,4,10,4,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,9,0,0,0,0,8,0,0,0,0,0,0,0,0,20,1,df9061e1db8195ca37c9106dbf53ad02dd818165,59416923dcb3a756eaf532cc4259f2f6625c0762,29.0,26,7
E:\SoftwareRemodularization\raw_sourcecode\Traccar\Traccar_v4.9\src\main\java\org\traccar\sms\SmsManager.java,org.traccar.sms.SmsManager,interface,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,8,1,df9061e1db8195ca37c9106dbf53ad02dd818165,59416923dcb3a756eaf532cc4259f2f6625c0762,14.0,8,8
E:\SoftwareRemodularization\raw_sourcecode\Traccar\Traccar_v4.9\src\test\java\org\traccar\protocol\AutoFonProtocolDecoderTest.java,org.traccar.protocol.AutoFonProtocolDecoderTest,class,3,1,3,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,8,2,1,0,1,0,0,0,0,13,1,df9061e1db8195ca37c9106dbf53ad02dd818165,59416923dcb3a756eaf532cc4259f2f6625c0762,33.0,34,9
E:\SoftwareRemodularization\raw_sourcecode\Traccar\Traccar_v4.9\src\test\java\org\traccar\protocol\WondexProtocolEncoderTest.java,org.traccar.protocol.WondexProtocolEncoderTest,class,6,1,3,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,2,1,2,0,2,0,0,0,0,22,1,df9061e1db8195ca37c9106dbf53ad02dd818165,59416923dcb3a756eaf532cc4259f2f6625c0762,10.0,15,10
