file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers,latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched
E:\SoftwareRemodularization\raw_sourcecode\karaf\karaf_karaf-4.2.11\shell\console\src\main\java\org\apache\karaf\shell\console\ExitAction.java,org.apache.karaf.shell.console.ExitAction,class,2,3,2,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,12,2,4,1,4,2,0,0,0,23,1,863b43f098a2522f9f3690227792dcd7b50b274c,a40f9b5b43af91deadb52eab6bf583594b99b7b2,10.0,24,2
E:\SoftwareRemodularization\raw_sourcecode\karaf\karaf_karaf-4.2.11\itests\test\src\test\java\org\apache\karaf\itests\BaseTest.java,org.apache.karaf.itests.BaseTest,class,4,1,2,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,29,1,0,0,0,0,47,0,1,0,1,0,0,0,0,7,1,863b43f098a2522f9f3690227792dcd7b50b274c,da1590fa8a4568d33dd2a368ecfa7ca93e91828d,106.0,22,1
E:\SoftwareRemodularization\raw_sourcecode\karaf\karaf_karaf-4.2.11\examples\karaf-rest-example\karaf-rest-example-scr\src\main\java\org\apache\karaf\examples\rest\scr\BookingServiceRest.java,org.apache.karaf.examples.rest.scr.BookingServiceRest,class,10,5,1,5,0,5,0,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,46,2,0,0,0,0,12,0,1,0,1,0,0,0,0,12,1,863b43f098a2522f9f3690227792dcd7b50b274c,a68e1635496bedc51e4ae2b72dcaee407d326112,214.0,44,1
E:\SoftwareRemodularization\raw_sourcecode\karaf\karaf_karaf-4.2.11\examples\karaf-rest-example\karaf-rest-example-scr\src\main\java\org\apache\karaf\examples\rest\scr\BookingServiceRest.java,org.apache.karaf.examples.rest.scr.BookingServiceRest,class,10,5,1,5,0,5,0,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,46,2,0,0,0,0,12,0,1,0,1,0,0,0,0,12,1,863b43f098a2522f9f3690227792dcd7b50b274c,a68e1635496bedc51e4ae2b72dcaee407d326112,214.0,44,2
E:\SoftwareRemodularization\raw_sourcecode\karaf\karaf_karaf-4.2.11\examples\karaf-soap-example\karaf-soap-example-scr\src\main\java\org\apache\karaf\examples\soap\scr\BookingServiceSoap.java,org.apache.karaf.examples.soap.scr.BookingServiceSoap,interface,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,3,1,863b43f098a2522f9f3690227792dcd7b50b274c,a68e1635496bedc51e4ae2b72dcaee407d326112,62.0,3,3
E:\SoftwareRemodularization\raw_sourcecode\karaf\karaf_karaf-4.2.11\examples\karaf-soap-example\karaf-soap-example-scr\src\main\java\org\apache\karaf\examples\soap\scr\BookingServiceSoapImpl.java,org.apache.karaf.examples.soap.scr.BookingServiceSoapImpl,class,3,4,1,5,0,4,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,26,2,0,0,0,0,2,0,1,0,1,0,0,0,0,14,1,863b43f098a2522f9f3690227792dcd7b50b274c,a68e1635496bedc51e4ae2b72dcaee407d326112,14.0,24,4
E:\SoftwareRemodularization\raw_sourcecode\karaf\karaf_karaf-4.2.11\examples\karaf-soap-example\karaf-soap-example-scr\src\main\java\org\apache\karaf\examples\soap\scr\BookingServiceSoap.java,org.apache.karaf.examples.soap.scr.BookingServiceSoap,interface,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,3,1,863b43f098a2522f9f3690227792dcd7b50b274c,a68e1635496bedc51e4ae2b72dcaee407d326112,62.0,3,5
E:\SoftwareRemodularization\raw_sourcecode\karaf\karaf_karaf-4.2.11\examples\karaf-soap-example\karaf-soap-example-scr\src\main\java\org\apache\karaf\examples\soap\scr\BookingServiceSoapImpl.java,org.apache.karaf.examples.soap.scr.BookingServiceSoapImpl,class,3,4,1,5,0,4,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,26,2,0,0,0,0,2,0,1,0,1,0,0,0,0,14,1,863b43f098a2522f9f3690227792dcd7b50b274c,a68e1635496bedc51e4ae2b72dcaee407d326112,14.0,24,6
E:\SoftwareRemodularization\raw_sourcecode\karaf\karaf_karaf-4.2.11\itests\test\src\test\java\org\apache\karaf\itests\examples\SoapExampleTest.java,org.apache.karaf.itests.examples.SoapExampleTest,class,7,3,3,12,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,0,1,0,1,1,19,0,7,6,7,2,0,0,0,45,1,863b43f098a2522f9f3690227792dcd7b50b274c,a68e1635496bedc51e4ae2b72dcaee407d326112,38.0,38,10
E:\SoftwareRemodularization\raw_sourcecode\karaf\karaf_karaf-4.2.11\examples\karaf-soap-example\karaf-soap-example-scr\src\main\java\org\apache\karaf\examples\soap\scr\BookingServiceSoapImpl.java,org.apache.karaf.examples.soap.scr.BookingServiceSoapImpl,class,3,4,1,5,0,4,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,26,2,0,0,0,0,2,0,1,0,1,0,0,0,0,14,1,863b43f098a2522f9f3690227792dcd7b50b274c,a68e1635496bedc51e4ae2b72dcaee407d326112,14.0,24,13
