latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched,latest_commit_date,commit_compared_with_date
f9d613cd7c0551993c0090f0da629610e47ad7ee,6101f4b8c7aa83413d0427c5a4b8ac42062d646b,1290.0,220,10,2021-03-30 11:34:22,2020-10-16 11:22:22
f9d613cd7c0551993c0090f0da629610e47ad7ee,204a1b37596e471c5f30c6c4150778be63a84b88,96.0,214,3,2021-03-30 11:34:22,2020-10-21 12:33:00
f9d613cd7c0551993c0090f0da629610e47ad7ee,64b00fd50f3aac8de0261bfc718c44e919abcd43,264.0,26,6,2021-03-30 11:34:22,2020-10-21 17:21:23
f9d613cd7c0551993c0090f0da629610e47ad7ee,d52a16b66fe31753fb1df36889b728bf186b6adb,264.0,25,6,2021-03-30 11:34:22,2020-10-21 19:03:53
f9d613cd7c0551993c0090f0da629610e47ad7ee,94e328f18312957f534c3c82c7f92bd590e2ca44,186.0,78,3,2021-03-30 11:34:22,2020-11-13 09:36:12
f9d613cd7c0551993c0090f0da629610e47ad7ee,1e16f95a23a120a0816d5ce3655ce6043c451fc5,2334.0,554,26,2021-03-30 11:34:22,2020-11-23 09:29:05
f9d613cd7c0551993c0090f0da629610e47ad7ee,b76db79c7471b8eb9a2b545cd5896056de3fa10a,2652.0,491,49,2021-03-30 11:34:22,2020-12-01 13:18:49
f9d613cd7c0551993c0090f0da629610e47ad7ee,6c7f4adb9e936f872e3e54b6b729e86359c4f6ed,496.0,163,11,2021-03-30 11:34:22,2020-12-01 14:07:08
f9d613cd7c0551993c0090f0da629610e47ad7ee,3a6fe0eb2e2d13a762ad92507e1ae089b590c6e0,2793.0,1213,81,2021-03-30 11:34:22,2020-12-03 11:42:48
f9d613cd7c0551993c0090f0da629610e47ad7ee,8cb4be23c73e60eaae720c7a4f0cd228d530c846,6748.0,241,33,2021-03-30 11:34:22,2020-12-10 13:36:24
f9d613cd7c0551993c0090f0da629610e47ad7ee,f23a6b4dacd99d346cd1a8a215dfe61d0d1b640a,1155.0,90,7,2021-03-30 11:34:22,2020-12-14 10:35:37
f9d613cd7c0551993c0090f0da629610e47ad7ee,30770aba7dd89df5150889e1b844259e7d770649,2365.0,44,15,2021-03-30 11:34:22,2020-12-14 14:30:22
f9d613cd7c0551993c0090f0da629610e47ad7ee,fd0ddde6e858927aa9e0ab1e4f88315976b827b2,448.0,381,21,2021-03-30 11:34:22,2020-12-15 10:01:54
f9d613cd7c0551993c0090f0da629610e47ad7ee,d4795b3bbb42cf68eab85cdf0e325fff90b7e146,1533.0,357,26,2021-03-30 11:34:22,2020-12-15 15:08:32
f9d613cd7c0551993c0090f0da629610e47ad7ee,cfa8700affb448b715d4f84d408d384681794271,570.0,60,2,2021-03-30 11:34:22,2020-12-18 11:34:25
f9d613cd7c0551993c0090f0da629610e47ad7ee,78ce09faf2551915dc86e209fb12dc55a28efb43,248.0,18,1,2021-03-30 11:34:22,2020-12-21 09:46:11
f9d613cd7c0551993c0090f0da629610e47ad7ee,cde7e78650dc7ffcdd9b7d57c081dce7b6c2f071,1296.0,330,13,2021-03-30 11:34:22,2020-12-21 12:38:24
f9d613cd7c0551993c0090f0da629610e47ad7ee,6e6aa96620d2b48db8f985f01970207ce1b8f19f,162.0,436,8,2021-03-30 11:34:22,2020-12-21 13:18:42
f9d613cd7c0551993c0090f0da629610e47ad7ee,1bcb25a762f172182ea3d9b1d2ead0933dc6c9be,51.0,27,1,2021-03-30 11:34:22,2020-12-22 15:05:09
f9d613cd7c0551993c0090f0da629610e47ad7ee,0276949973877024eba894a5096d0dde9a258047,243.0,50,6,2021-03-30 11:34:22,2020-12-22 16:32:20
f9d613cd7c0551993c0090f0da629610e47ad7ee,2cc7ce8532eea2c537edd2f7985584ae2bdee916,230.0,172,12,2021-03-30 11:34:22,2020-12-29 15:55:49
f9d613cd7c0551993c0090f0da629610e47ad7ee,1f32420e1b866331ad63265593662e443801d146,9360.0,72,12,2021-03-30 11:34:22,2020-12-30 13:29:05
f9d613cd7c0551993c0090f0da629610e47ad7ee,28655240497a30bbe42b9c7b440d82e2970b4496,246.0,30,3,2021-03-30 11:34:22,2020-12-31 10:02:41
f9d613cd7c0551993c0090f0da629610e47ad7ee,67d26bdd614967071f0638518317f8f849c4a34a,1257.0,390,17,2021-03-30 11:34:22,2020-12-31 14:14:34
f9d613cd7c0551993c0090f0da629610e47ad7ee,d2b8c353fc046191d4e719a4630e96f07eb355d2,24.0,35,4,2021-03-30 11:34:22,2020-12-31 14:15:23
f9d613cd7c0551993c0090f0da629610e47ad7ee,009401e22a69bfaf93f4a5ae9d72bc2c6d3885bc,3572.0,1243,65,2021-03-30 11:34:22,2021-01-05 09:13:45
f9d613cd7c0551993c0090f0da629610e47ad7ee,b68dbf2c92b81a6ad365ab30358c07a1a35f75e0,503.0,101,11,2021-03-30 11:34:22,2021-01-05 10:05:56
f9d613cd7c0551993c0090f0da629610e47ad7ee,1e23105f251ab329616a82700d5a0dd0715b6a2b,2576.0,132,7,2021-03-30 11:34:22,2021-01-05 11:51:37
f9d613cd7c0551993c0090f0da629610e47ad7ee,34972b2a28b7a14466d2f54bc2fcd26d35cc6553,691.0,94,6,2021-03-30 11:34:22,2021-01-15 12:27:57
f9d613cd7c0551993c0090f0da629610e47ad7ee,c093ad9f7b0923816656c4a79707e4eb58d3d836,171.0,29,2,2021-03-30 11:34:22,2021-01-19 16:35:05
f9d613cd7c0551993c0090f0da629610e47ad7ee,299285f87c58986c5dd97277fe5518171a9c307a,201.0,670,3,2021-03-30 11:34:22,2021-01-18 15:38:37
f9d613cd7c0551993c0090f0da629610e47ad7ee,7a8810c5ae0917aaf955c66fa515d0d528b2b5f2,171.0,45,1,2021-03-30 11:34:22,2021-01-20 09:08:00
f9d613cd7c0551993c0090f0da629610e47ad7ee,2e36b36b382c58e79b407754e6dbd33df8c31940,3036.0,3438,62,2021-03-30 11:34:22,2021-01-22 12:45:11
f9d613cd7c0551993c0090f0da629610e47ad7ee,39b08f98811c80338513a6c13e2ae21eabef73c5,2745.0,614,24,2021-03-30 11:34:22,2021-01-22 14:17:47
f9d613cd7c0551993c0090f0da629610e47ad7ee,38235a539ade3e075330c46472f353764f607d7d,1266.0,2,1,2021-03-30 11:34:22,2021-01-25 10:06:04
f9d613cd7c0551993c0090f0da629610e47ad7ee,b398eeba93632c845d67b1785f47dd73328bf980,1809.0,115,18,2021-03-30 11:34:22,2021-01-25 10:40:25
f9d613cd7c0551993c0090f0da629610e47ad7ee,8b4ca1bfdb13371931b501adaa2cb4479fa71141,31.0,209,3,2021-03-30 11:34:22,2021-01-27 10:53:30
f9d613cd7c0551993c0090f0da629610e47ad7ee,5cd0735e3c428de18fb11868ca22b73d3d3fbbcb,10530.0,1214,24,2021-03-30 11:34:22,2021-01-28 12:07:31
f9d613cd7c0551993c0090f0da629610e47ad7ee,3135fe2ec9f7777cebe26821b5fe8e81aa084397,702.0,65,2,2021-03-30 11:34:22,2021-01-28 13:17:00
f9d613cd7c0551993c0090f0da629610e47ad7ee,625cec20671886e42317c15830c24f9c9b617307,1872.0,113,4,2021-03-30 11:34:22,2021-01-28 14:06:56
f9d613cd7c0551993c0090f0da629610e47ad7ee,d0c53a5f16d33edf63d7e6744a155f73a056b43e,702.0,65,1,2021-03-30 11:34:22,2021-01-29 15:39:59
f9d613cd7c0551993c0090f0da629610e47ad7ee,539801ca9d03c566491f6372be8ac365c73dc81c,176.0,493,22,2021-03-30 11:34:22,2021-01-29 15:44:41
f9d613cd7c0551993c0090f0da629610e47ad7ee,f292c071e577870761d025360a45f0e7d0717040,120.0,315,15,2021-03-30 11:34:22,2021-02-01 12:10:25
f9d613cd7c0551993c0090f0da629610e47ad7ee,5d98155a4b58b67e3a0180874cd5fa63fb2a9503,12.0,81,2,2021-03-30 11:34:22,2021-02-01 12:31:59
f9d613cd7c0551993c0090f0da629610e47ad7ee,a9a2cd709c9baf862e9a2073a3423e323737a197,120.0,150,29,2021-03-30 11:34:22,2021-02-02 12:34:26
f9d613cd7c0551993c0090f0da629610e47ad7ee,199d4e75d85fc08f75550c51ef00e483848edfa0,3510.0,83,17,2021-03-30 11:34:22,2021-02-03 09:52:13
f9d613cd7c0551993c0090f0da629610e47ad7ee,1cf0a0d4f3274956e0fe7cbe2a9b2953c64cd70c,1888.0,42,8,2021-03-30 11:34:22,2021-02-03 10:14:13
f9d613cd7c0551993c0090f0da629610e47ad7ee,e256a975d9ec2f337bddb1e8e973ca9cccfa374c,1170.0,606,5,2021-03-30 11:34:22,2021-02-03 12:14:02
f9d613cd7c0551993c0090f0da629610e47ad7ee,2e753e17ea69039f63f7d5678291d5b41dbb82fd,468.0,488,1,2021-03-30 11:34:22,2021-02-05 15:14:54
f9d613cd7c0551993c0090f0da629610e47ad7ee,8cfeaf657978513c83e7a490743a8368db1a0f8c,2065.0,790,19,2021-03-30 11:34:22,2021-02-05 15:19:07
