latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched,latest_commit_date,commit_compared_with_date
be716b46f2cb3b2d1f01dc225396c6284d5a35de,419099c92b1cecb7d22fba99ae8ac2cce4f39638,1980.0,37,2,2020-10-29 12:00:34,2020-08-28 10:44:48
be716b46f2cb3b2d1f01dc225396c6284d5a35de,2dbba13fdb555b3a297a7677896091cc880b5da5,11312.0,2108,42,2020-10-29 12:00:34,2020-08-21 18:01:30
be716b46f2cb3b2d1f01dc225396c6284d5a35de,5ec3bae22b6e252d629daae8549036c1a547d21a,150.0,86,3,2020-10-29 12:00:34,2020-09-03 07:32:21
be716b46f2cb3b2d1f01dc225396c6284d5a35de,7f258f1ef6d79c908c4d846d8616d8f5554282ea,36.0,35,2,2020-10-29 12:00:34,2020-09-08 21:41:47
be716b46f2cb3b2d1f01dc225396c6284d5a35de,bd1b84dc3b5667c969e6d0277eb40a8e475e149a,125.0,39,3,2020-10-29 12:00:34,2020-09-08 23:52:14
be716b46f2cb3b2d1f01dc225396c6284d5a35de,b0b8ab2ea2f185d1f433b071d196f40dc2a2968e,26463.0,206,45,2020-10-29 12:00:34,2020-09-09 17:53:28
be716b46f2cb3b2d1f01dc225396c6284d5a35de,f3bf0775a5a8bce228289c22b96d0c922cf2cb0d,65951.0,3812,156,2020-10-29 12:00:34,2020-09-09 23:36:57
be716b46f2cb3b2d1f01dc225396c6284d5a35de,54d297a192ca452dab5640f33fd6c22fd31e2f9c,375.0,98,2,2020-10-29 12:00:34,2020-09-09 21:35:38
be716b46f2cb3b2d1f01dc225396c6284d5a35de,8ba163f25a56cb507e621b89b6928c2aef0ecc57,1980.0,37,7,2020-10-29 12:00:34,2020-03-26 16:01:27
be716b46f2cb3b2d1f01dc225396c6284d5a35de,ccab496d2d37c86341d364dea6c27513fda27331,1247617.0,56041,2785,2020-10-29 12:00:34,2019-10-15 20:04:26
be716b46f2cb3b2d1f01dc225396c6284d5a35de,91bcbb28733437a7a5fedb16984d4de2fa70b049,721.0,441,37,2020-10-29 12:00:34,2020-09-15 22:16:39
be716b46f2cb3b2d1f01dc225396c6284d5a35de,f41ea9fb14936bca4aeea0ab2bf6d55c51f37f6a,26753.0,1253,53,2020-10-29 12:00:34,2020-09-09 10:49:42
be716b46f2cb3b2d1f01dc225396c6284d5a35de,f670db4a0ec6c2d76b52fa1510f585c49b4f731e,10104.0,464,28,2020-10-29 12:00:34,2020-09-16 16:52:42
be716b46f2cb3b2d1f01dc225396c6284d5a35de,b936d3e95db3180a2f1f32ed7c80543e81971fde,495.0,1017,16,2020-10-29 12:00:34,2020-09-18 18:40:19
be716b46f2cb3b2d1f01dc225396c6284d5a35de,0dc5bd51f5ff36434bf7b5244242977ecbb47e39,1464.0,86,3,2020-10-29 12:00:34,2020-09-03 14:00:31
be716b46f2cb3b2d1f01dc225396c6284d5a35de,fb49ab2b12bf813697971b41fe47ac11f4a240c0,1220.0,26,3,2020-10-29 12:00:34,2020-09-20 10:24:22
be716b46f2cb3b2d1f01dc225396c6284d5a35de,8a4c1d7a485bbd2c12864d27e2705133ebbaabc0,24.0,37,2,2020-10-29 12:00:34,2020-09-25 02:31:48
be716b46f2cb3b2d1f01dc225396c6284d5a35de,8b25cd58bfa646db9e6c24c51896950da02945db,4052.0,354,11,2020-10-29 12:00:34,2020-09-07 08:11:53
be716b46f2cb3b2d1f01dc225396c6284d5a35de,d4eba9faa1b57fed205813a639fe53bbbdc06ef1,2566.0,145,15,2020-10-29 12:00:34,2020-06-11 07:37:03
be716b46f2cb3b2d1f01dc225396c6284d5a35de,cf27558b1442e75e17e47071ecf92d1b3e5a0e36,138.0,10,2,2020-10-29 12:00:34,2020-06-11 08:45:09
be716b46f2cb3b2d1f01dc225396c6284d5a35de,8be1cbe9ab14155773bfab765a3567df9ff9833f,14100.0,712,188,2020-10-29 12:00:34,2020-09-29 21:20:05
be716b46f2cb3b2d1f01dc225396c6284d5a35de,9802a70f68cdcd239a9128f90f5d8f9a941168de,7838.0,3295,117,2020-10-29 12:00:34,2020-09-30 19:13:15
be716b46f2cb3b2d1f01dc225396c6284d5a35de,3f73c16d50a80c574dd004c59bfaa6042dcd5781,706.0,135,11,2020-10-29 12:00:34,2020-10-02 09:38:35
be716b46f2cb3b2d1f01dc225396c6284d5a35de,31b9078a691a6f93b104cc6b3f72fe2fbf6557f6,2259.0,49,2,2020-10-29 12:00:34,2020-10-05 21:17:38
