latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched,latest_commit_date,commit_compared_with_date
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,2122d9fddbbc6973952842df47ce5996fd697eb1,155.0,57,18,2021-06-04 18:30:48,2019-08-15 12:34:58
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,1525974f5b6de5dc9a6c9a8ca81daa91317e19c3,1086.0,1430,15,2021-06-04 18:30:48,2019-08-22 10:44:01
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,c3adee999d4464d740f0740e2d5bd497b2b24af2,6961.0,216,49,2021-06-04 18:30:48,2019-08-24 12:14:28
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,c2ebc2870ebd11a021277c450876bb79d0e78b6f,48.0,10,2,2021-06-04 18:30:48,2019-08-27 16:27:05
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,d011972b2bc776380d74739e5cccd73aa322a9b8,60.0,44,2,2021-06-04 18:30:48,2019-08-28 13:47:09
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,fd85803a73ad46f36816bcb55ed1c4f4b4c4312d,27.0,7,2,2021-06-04 18:30:48,2019-09-03 14:45:20
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,02f657ddf0c2c4fa08ed4f987647f8acf1b3ecc6,60.0,94,3,2021-06-04 18:30:48,2019-09-18 09:33:27
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,1a4505c09fa403262a54e0fa745edf78a8c3ba0c,3544.0,247,26,2021-06-04 18:30:48,2019-09-22 16:26:32
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,1e6b958074f59f1e77662d79c788685f4f432679,90.0,25,5,2021-06-04 18:30:48,2019-10-18 16:02:06
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,03513f739fcdebfa614ebe9f569e912e4fdc58c0,456.0,136,4,2021-06-04 18:30:48,2019-04-01 12:34:37
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,2e6a14e5ea087eb599415980d21861313f333583,1425.0,195,14,2021-06-04 18:30:48,2019-04-01 15:45:12
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,3aa9f8011b54b9a1540a61abc24dac75c0b68381,120.0,72,8,2021-06-04 18:30:48,2019-11-05 16:20:07
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,6bd1b921ef1742c69e487a313a4980fabcede5c3,22.0,54,2,2021-06-04 18:30:48,2019-11-06 13:08:26
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,4e027fc06ad325787c59dae7330afb01e1199686,6201.0,2173,13,2021-06-04 18:30:48,2019-11-09 22:12:09
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,402f771fa81e4c94d63f53dbc5ea77eef7b4fcb7,42.0,861,1,2021-06-04 18:30:48,2019-11-10 03:20:05
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,a31fcda77805f124af64043871d5b8b08e8a4735,78.0,171,14,2021-06-04 18:30:48,2019-11-01 14:23:26
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,58a0c9ba8afe47b78d181e5d0eb3f98179cdc8cb,252.0,4,6,2021-06-04 18:30:48,2019-11-14 08:27:28
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,84c6ad4b818a116c20d25484309e56daae47a7ff,105.0,149,3,2021-06-04 18:30:48,2019-11-14 13:12:41
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,95b148441611fe337150f5dab1672086f78c0e8a,630.0,403,16,2021-06-04 18:30:48,2019-11-14 15:18:35
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,2de7e14eb95626fffef6f61365186de9a1c9de3d,6769.0,242,54,2021-06-04 18:30:48,2019-11-14 15:24:32
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,2fad69a02a19773bdb6ca1261bc7bc3f1864e685,3244.0,350,15,2021-06-04 18:30:48,2019-11-28 12:19:17
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,dbc1093a035a81e9381356eb5ca079a5149eea01,1050.0,48,6,2021-06-04 18:30:48,2019-11-28 12:22:36
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,9ad4ecac3c5444fc08e9d48cc5a1c60e4bb02b4c,296.0,8,4,2021-06-04 18:30:48,2019-12-01 22:16:38
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,7cd4288b0876f0ab5303aee87adba6ece0cc3a45,75.0,22,2,2021-06-04 18:30:48,2019-12-02 13:04:20
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,5c1270a27b6b2547ed614b17f7956b1e55712a93,48.0,68,7,2021-06-04 18:30:48,2019-12-04 19:59:35
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,8bb64836e76077572349a19829adcbbe9c58689d,32.0,19,1,2021-06-04 18:30:48,2019-12-10 15:18:57
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,ddc60b9a8fdb6bba939c30c8d3635c6ae26175d7,834.0,73,4,2021-06-04 18:30:48,2019-12-10 02:47:22
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,28c4265fb0e9fcc2396b0e79c94772f57151c53d,256.0,27,4,2021-06-04 18:30:48,2019-12-12 15:13:05
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,db0c8377d5783aa5175ed091d9ed26a0df42fe21,256.0,27,4,2021-06-04 18:30:48,2019-12-12 15:15:46
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,5a4fd020bc87a552345425541bb62a35b0e5d8b7,24.0,46,1,2021-06-04 18:30:48,2019-12-14 01:13:46
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,f16c5b27e4c4668ae54c66881e4a3a9bb6841994,2628.0,98,3,2021-06-04 18:30:48,2019-12-18 00:21:54
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,5021ff0fd5bbb1f5a9258745780e8863db7ad3a9,3066.0,198,4,2021-06-04 18:30:48,2019-12-18 00:27:05
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,4af5cf5cc3a066c976bb99126eb38b9a797248f4,475.0,247,10,2021-06-04 18:30:48,2019-12-20 10:58:50
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,28924caee27ef6601398725ebcb198fe363157d5,114.0,253,8,2021-06-04 18:30:48,2019-12-24 21:37:16
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,34f719e75775fff5353f73a661a5d5c1b461b446,160.0,84,4,2021-06-04 18:30:48,2019-12-29 19:11:12
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,8cb13aa10a2f6426548cb942c893d00fba8cb606,320.0,52,4,2021-06-04 18:30:48,2020-01-02 08:06:16
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,c616e1cfe0f1f132e1c0edac95d62ba88c27b089,52.0,164,6,2021-06-04 18:30:48,2020-01-03 15:36:01
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,23f9204b9d0e01738e8100f0152baf53320d98f8,36.0,102,5,2021-06-04 18:30:48,2020-01-04 18:31:56
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,cb88fc51f5002551726054af6cd0b5046a4da152,12.0,132,3,2021-06-04 18:30:48,2020-01-04 18:57:02
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,4eac03478a0a934bb1bb43ac7d32b9047d5aa8d6,1245.0,203,3,2021-06-04 18:30:48,2020-01-06 15:36:49
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,02a2df2dca1d5c19d682beb33d90d01cbb036433,84.0,19,2,2021-06-04 18:30:48,2020-01-10 16:10:49
ebd2fa22dba0864c07f58cc43c5bfb1284e04259,41c834aea9bc6a537f7b336e626d07036e40b5c6,120.0,46,4,2021-06-04 18:30:48,2020-01-14 12:35:05
