latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched,latest_commit_date,commit_compared_with_date
69d78b7fe2a715e44407043613a5eac77b30abd1,c0415f68b67182e038e89cfbfc01c2f129c2dbb9,561.0,275,3,2021-02-09 11:53:03,2020-10-05 13:37:50
69d78b7fe2a715e44407043613a5eac77b30abd1,06c6a8dd2966fc9807e9901f8d56a569a02c41cf,900.0,1533,18,2021-02-09 11:53:03,2020-10-06 11:19:42
69d78b7fe2a715e44407043613a5eac77b30abd1,86b2e85d456647ae8f216bd1fa7f44cf8d6d4826,3657.0,341,13,2021-02-09 11:53:03,2020-10-06 14:11:53
69d78b7fe2a715e44407043613a5eac77b30abd1,6265642427def0a8c474c66e1619fe7b658c8815,260.0,51,6,2021-02-09 11:53:03,2020-10-09 12:12:57
69d78b7fe2a715e44407043613a5eac77b30abd1,ae2e700d9548718fff0a35d0c680c0783cd542f4,6.0,4,1,2021-02-09 11:53:03,2020-10-12 08:06:32
69d78b7fe2a715e44407043613a5eac77b30abd1,9800c58d518a3497f42e57dfe65f8db5efd7497e,800.0,57,3,2021-02-09 11:53:03,2020-10-12 11:20:43
69d78b7fe2a715e44407043613a5eac77b30abd1,4ec5ed004d1d18cb0277a3547b1f49ec82d7554e,417.0,2,2,2021-02-09 11:53:03,2020-11-02 10:57:24
69d78b7fe2a715e44407043613a5eac77b30abd1,31f9744c45cc9689d17813e922f15d6091d9ec0e,2808.0,145,8,2021-02-09 11:53:03,2020-11-02 11:37:51
69d78b7fe2a715e44407043613a5eac77b30abd1,9bea038a6da9f3d04d9fdea3989d97a793c29133,2340.0,80,17,2021-02-09 11:53:03,2020-11-04 14:42:22
69d78b7fe2a715e44407043613a5eac77b30abd1,d7e42731a2563dfe6af13dd208764dbca3bb2497,3634.0,255,28,2021-02-09 11:53:03,2020-11-05 11:13:15
69d78b7fe2a715e44407043613a5eac77b30abd1,a4ee765f0773f61687e9cf6db4c730f151ccfc26,96.0,40,2,2021-02-09 11:53:03,2020-11-09 11:20:00
69d78b7fe2a715e44407043613a5eac77b30abd1,555042fa6de2b99cb78da881a2686da0d092c8a1,3836.0,2311,54,2021-02-09 11:53:03,2020-11-11 07:45:41
69d78b7fe2a715e44407043613a5eac77b30abd1,2f1c9c8021c45fec41ff7e3cfa9ef15495772e31,48.0,16,1,2021-02-09 11:53:03,2020-11-13 10:27:21
69d78b7fe2a715e44407043613a5eac77b30abd1,5928073a8412f41049d8849789d68a2e7866f449,66.0,10,2,2021-02-09 11:53:03,2020-11-16 08:45:51
69d78b7fe2a715e44407043613a5eac77b30abd1,b7b3372718e828ccaa05b206b031ce1cd94b6441,75.0,5,1,2021-02-09 11:53:03,2020-11-16 10:33:00
69d78b7fe2a715e44407043613a5eac77b30abd1,319e637099ae6a11b0315a6f257d7aad3d1a179f,400.0,34,2,2021-02-09 11:53:03,2020-11-19 10:09:42
69d78b7fe2a715e44407043613a5eac77b30abd1,11d03331217e9f295792dc7d39b2f909e5b95615,2450.0,138,20,2021-02-09 11:53:03,2020-11-12 04:01:56
69d78b7fe2a715e44407043613a5eac77b30abd1,5a65935b8c9491e5e9c812225ac052b2a1fccc21,19084.0,12755,221,2021-02-09 11:53:03,2020-11-23 14:56:38
69d78b7fe2a715e44407043613a5eac77b30abd1,7687b0b1586f73d3ad3c1ca9d12fe5e4cf3d158e,11476.0,365,56,2021-02-09 11:53:03,2020-11-24 12:53:54
69d78b7fe2a715e44407043613a5eac77b30abd1,ac9673077a630192e99483c3421a2da3b53f047b,7581.0,1569,65,2021-02-09 11:53:03,2020-11-25 14:08:01
69d78b7fe2a715e44407043613a5eac77b30abd1,80cdd761af36e6ad9aeede28102dc7f7f0f289fc,225.0,60,3,2021-02-09 11:53:03,2020-12-04 14:48:12
69d78b7fe2a715e44407043613a5eac77b30abd1,de0d5e8a7ce0e5316f81ef53e330f1bfc56c630d,25324.0,67,5,2021-02-09 11:53:03,2020-12-04 15:52:09
69d78b7fe2a715e44407043613a5eac77b30abd1,19683b9747ba9e23368c7017667fd9e3e7480b00,1230.0,95,3,2021-02-09 11:53:03,2020-12-07 12:51:00
69d78b7fe2a715e44407043613a5eac77b30abd1,88e6802d7670ceb01bb27880de39ac74156c19fd,325.0,149,3,2021-02-09 11:53:03,2020-12-03 16:03:33
69d78b7fe2a715e44407043613a5eac77b30abd1,846427ae485432f74fb40a15b46e60ea2cb2ade0,2968.0,876,26,2021-02-09 11:53:03,2020-12-09 08:57:28
69d78b7fe2a715e44407043613a5eac77b30abd1,0752b722f774fc57a84be2657b81f907ea8dd96e,5320.0,1151,37,2021-02-09 11:53:03,2020-12-09 12:12:37
69d78b7fe2a715e44407043613a5eac77b30abd1,d86d6ffed192746211d0b2cc2832441d0572c2f1,344.0,16,2,2021-02-09 11:53:03,2020-12-22 11:29:04
69d78b7fe2a715e44407043613a5eac77b30abd1,7fed16bac7e82c03ec5fc88b2c5827c10ce95428,141.0,20,2,2021-02-09 11:53:03,2020-12-23 14:19:58
69d78b7fe2a715e44407043613a5eac77b30abd1,985e4ccc65e29802ae63bb04c9db16642566830f,108.0,5,1,2021-02-09 11:53:03,2020-12-23 17:43:50
69d78b7fe2a715e44407043613a5eac77b30abd1,caaf8f73f209b424c27b1346c1eb285bbb4de9df,5101.0,696,16,2021-02-09 11:53:03,2021-01-05 11:38:20
69d78b7fe2a715e44407043613a5eac77b30abd1,fa9f31034ad8b296e233217c073609e844228f5f,7453.0,532,23,2021-02-09 11:53:03,2021-01-06 10:14:17
69d78b7fe2a715e44407043613a5eac77b30abd1,45782a40635cda35466b42e9dacf55a9f63ae574,200.0,313,3,2021-02-09 11:53:03,2021-01-06 10:45:17
