latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched,latest_commit_date,commit_compared_with_date
d51d8aeaf61852de49a68a761f01cffdfafebef3,17e6cf1cc1b57bd65bfae8da8cddc8314a89408d,8.0,70,2,2021-06-09 07:38:20,2020-12-12 02:33:11
d51d8aeaf61852de49a68a761f01cffdfafebef3,bcfbde984894ea198124ac60a3558ca341cfc495,534.0,53,3,2021-06-09 07:38:20,2020-12-14 21:13:01
d51d8aeaf61852de49a68a761f01cffdfafebef3,a11d1c8510c34cdb0889a13af969c3cf424464f3,3432.0,89,4,2021-06-09 07:38:20,2020-12-15 21:33:50
d51d8aeaf61852de49a68a761f01cffdfafebef3,ef6a582c78b1e5a11dae64cc9e9c9b9572646bc8,7540.0,1053,24,2021-06-09 07:38:20,2020-12-15 21:46:02
d51d8aeaf61852de49a68a761f01cffdfafebef3,1292947f7837c2716d6e0335698af450d4f12732,448.0,46,5,2021-06-09 07:38:20,2020-12-15 21:40:23
d51d8aeaf61852de49a68a761f01cffdfafebef3,b3a47c76f8776d9abfdc70aa83c84c252da4426d,1068.0,24,4,2021-06-09 07:38:20,2020-12-08 14:07:58
d51d8aeaf61852de49a68a761f01cffdfafebef3,fbd2ffdd2343174bb119c2c996f8755957bad8c8,735.0,14,8,2021-06-09 07:38:20,2020-12-16 21:27:33
d51d8aeaf61852de49a68a761f01cffdfafebef3,00b56c026ac2ce955c6107099f9cf2daf63d37e0,960.0,1026,21,2021-06-09 07:38:20,2020-12-16 21:27:41
d51d8aeaf61852de49a68a761f01cffdfafebef3,1565f4b83e7c48eeec9dc74f7eb042dce4dbb49a,2700.0,1298,8,2021-06-09 07:38:20,2020-08-19 20:16:34
d51d8aeaf61852de49a68a761f01cffdfafebef3,ee41ebc1ab77f5e0b8d956b4891e219dd6cfecf6,205.0,1074,20,2021-06-09 07:38:20,2020-12-28 15:03:16
d51d8aeaf61852de49a68a761f01cffdfafebef3,5c1176786c9f0d02aa3db00ba9c5dba19a526ac2,28.0,237,1,2021-06-09 07:38:20,2020-12-30 13:38:58
d51d8aeaf61852de49a68a761f01cffdfafebef3,c8ad762b40643927952dedd242a606b06202428d,10790.0,1525,41,2021-06-09 07:38:20,2021-01-02 15:04:53
d51d8aeaf61852de49a68a761f01cffdfafebef3,e1385090e4b008236219bbbf6f5e4d635b4a130b,34.0,64,1,2021-06-09 07:38:20,2021-01-05 16:46:44
d51d8aeaf61852de49a68a761f01cffdfafebef3,c040cd7b052c1dd0a0382e9214595e2477e7423b,1326.0,247,10,2021-06-09 07:38:20,2021-01-06 18:32:26
d51d8aeaf61852de49a68a761f01cffdfafebef3,d387d9ae1e8c7569c92f8e5d8571ebb901a6cfb9,6814.0,66,10,2021-06-09 07:38:20,2021-01-07 13:22:14
d51d8aeaf61852de49a68a761f01cffdfafebef3,e36d4162c254826d8cde048bd17691e312b4fcaa,1408.0,28,8,2021-06-09 07:38:20,2021-01-07 17:25:07
d51d8aeaf61852de49a68a761f01cffdfafebef3,689b5566bfc0f9765a6b52257e033e10bfd8128c,66.0,35,1,2021-06-09 07:38:20,2021-01-08 18:04:22
d51d8aeaf61852de49a68a761f01cffdfafebef3,4ac27e4dab1cab0d983505c5d1696a33b030ee54,60.0,44,2,2021-06-09 07:38:20,2021-01-11 08:44:38
d51d8aeaf61852de49a68a761f01cffdfafebef3,b587a16d460ad10a98874796c389b933ff85e457,441.0,320,9,2021-06-09 07:38:20,2021-01-11 10:10:07
d51d8aeaf61852de49a68a761f01cffdfafebef3,2fd6e6e87c675c9c450affb87221be31d251abce,1290.0,18,4,2021-06-09 07:38:20,2021-01-11 11:40:50
d51d8aeaf61852de49a68a761f01cffdfafebef3,e5ab67bd71d4261c07a6f23c59aca089b37cb512,828.0,73,4,2021-06-09 07:38:20,2021-01-11 18:39:24
d51d8aeaf61852de49a68a761f01cffdfafebef3,35225e5794d9a144eae544b64ebad58120766815,162.0,101,16,2021-06-09 07:38:20,2021-01-13 17:50:01
d51d8aeaf61852de49a68a761f01cffdfafebef3,67112b211ab86a03dc9a18dd1072ae4fb58573dd,656.0,489,27,2021-06-09 07:38:20,2021-01-19 12:58:45
d51d8aeaf61852de49a68a761f01cffdfafebef3,aa7584d2522face93a387d24c3fde24c23da3a77,1052.0,166,7,2021-06-09 07:38:20,2021-01-21 20:16:21
d51d8aeaf61852de49a68a761f01cffdfafebef3,4a7a2258f9ad8771e9a8225f5a18db156372162a,72.0,34,1,2021-06-09 07:38:20,2021-01-22 17:22:00
d51d8aeaf61852de49a68a761f01cffdfafebef3,ec5f99f981b33e28cbc96f78b1fb560166fd9c1a,733.0,183,11,2021-06-09 07:38:20,2021-01-26 11:43:53
d51d8aeaf61852de49a68a761f01cffdfafebef3,8aeae49f40575d9933a9110d18fb7019ff4e46b4,576.0,37,3,2021-06-09 07:38:20,2021-01-26 17:29:39
d51d8aeaf61852de49a68a761f01cffdfafebef3,e80a23d6ad93eaab11a1869ef1407e729138e672,346.0,156,1,2021-06-09 07:38:20,2021-01-26 17:51:52
d51d8aeaf61852de49a68a761f01cffdfafebef3,5e5d8e4a2314b06e7318865016758774f36f2a1d,648.0,24,2,2021-06-09 07:38:20,2021-01-28 17:03:08
d51d8aeaf61852de49a68a761f01cffdfafebef3,95752ef1c924e38eab5c370b8cee81898c7e83e3,532.0,55,4,2021-06-09 07:38:20,2021-01-29 22:10:03
d51d8aeaf61852de49a68a761f01cffdfafebef3,3b4a3431d4cda6049f70a5f7e95a4b994bb59c7e,7880.0,84,24,2021-06-09 07:38:20,2021-02-02 10:05:06
d51d8aeaf61852de49a68a761f01cffdfafebef3,1a3ff83157d12755c967d5a8162212f0aa4922e1,2544.0,100,16,2021-06-09 07:38:20,2021-02-02 10:28:32
d51d8aeaf61852de49a68a761f01cffdfafebef3,99bd8115dd304d6a8b2c4b487f2073218815d0e3,459.0,2908,22,2021-06-09 07:38:20,2021-02-02 10:37:30
d51d8aeaf61852de49a68a761f01cffdfafebef3,996c86f448fcdb20473fbedeeb5b1ba39e44cf5c,374.0,164,24,2021-06-09 07:38:20,2021-02-03 10:43:08
d51d8aeaf61852de49a68a761f01cffdfafebef3,91d542e406922379bb2b579b7cb23a26affe92e6,3310.0,1361,42,2021-06-09 07:38:20,2021-02-03 15:27:28
d51d8aeaf61852de49a68a761f01cffdfafebef3,7cdaaa22bd3f3dc49390604932fb8fb7875f24fa,178.0,52,5,2021-06-09 07:38:20,2021-02-03 17:07:11
d51d8aeaf61852de49a68a761f01cffdfafebef3,0d16c9100afc492a6f2258dfc2dfc9c9515438c2,28.0,4,1,2021-06-09 07:38:20,2021-02-04 15:25:43
d51d8aeaf61852de49a68a761f01cffdfafebef3,164b48e25f658b21242a2e8ae4414022bf594712,1610.0,280,26,2021-06-09 07:38:20,2021-02-05 08:06:03
d51d8aeaf61852de49a68a761f01cffdfafebef3,cd80b6b4ac9394ee321cf1db8b3d9067616ea542,215.0,32,5,2021-06-09 07:38:20,2021-02-05 11:45:56
d51d8aeaf61852de49a68a761f01cffdfafebef3,8fb9796d1d48eb909b3384b4dcf5968d308ab343,426.0,530,7,2021-06-09 07:38:20,2021-02-05 12:15:50
d51d8aeaf61852de49a68a761f01cffdfafebef3,26000ee29f22f3969e7f6ad60cf58e0bf5af1193,34.0,6,1,2021-06-09 07:38:20,2021-02-08 17:35:59
d51d8aeaf61852de49a68a761f01cffdfafebef3,9b0c2cca9562400f43e002e4ec86366696aeeb99,150.0,74,3,2021-06-09 07:38:20,2021-02-08 14:40:47
