latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched,latest_commit_date,commit_compared_with_date
7f7fe80771ae0979f4951cfea3847446779f15cc,362b1ec37203bb1f38bedda2c2be3ca5ee5d9e40,168.0,84,16,2017-04-06 19:30:17,2016-07-06 06:21:28
7f7fe80771ae0979f4951cfea3847446779f15cc,712f413e5a137d14a1ea89df4f26c8d302f2c4cf,195.0,140,2,2017-04-06 19:30:17,2016-07-21 12:25:16
7f7fe80771ae0979f4951cfea3847446779f15cc,e2b61d45c702af93375c32ff4132d07c84f179d0,117.0,10,2,2017-04-06 19:30:17,2016-07-26 19:51:48
7f7fe80771ae0979f4951cfea3847446779f15cc,c99952d6fa5fa4b4a333ed26108f016c6d2c23d0,2220.0,89,9,2017-04-06 19:30:17,2016-07-29 15:45:30
7f7fe80771ae0979f4951cfea3847446779f15cc,fb7ec040fba49ba2870cd5362f879b8aaf555e5f,693.0,301,20,2017-04-06 19:30:17,2016-07-31 21:47:30
7f7fe80771ae0979f4951cfea3847446779f15cc,a8b63c7b816ef600e9945c434c9a3d178378cb9a,252.0,94,2,2017-04-06 19:30:17,2016-08-07 20:42:45
7f7fe80771ae0979f4951cfea3847446779f15cc,2a58f75ff3821210926c824df5d3ea26b05f5e1f,120.0,7,3,2017-04-06 19:30:17,2016-09-09 15:16:24
7f7fe80771ae0979f4951cfea3847446779f15cc,c01b13c9f8f92f919bea9d1b5b343c0b9d9bb7b7,2080.0,38,3,2017-04-06 19:30:17,2016-09-15 18:27:46
7f7fe80771ae0979f4951cfea3847446779f15cc,7ece0d4b8364d93556027fe59421befda43eca4f,286.0,217,16,2017-04-06 19:30:17,2016-09-19 07:59:45
7f7fe80771ae0979f4951cfea3847446779f15cc,31d1c558d6892dae5d227a9ff19173873c5b327d,10816.0,242,13,2017-04-06 19:30:17,2016-09-22 21:26:29
7f7fe80771ae0979f4951cfea3847446779f15cc,6fabe41e2c9fa8fdd5079490ff85d966cb6872ea,2080.0,39,2,2017-04-06 19:30:17,2016-08-10 22:50:10
7f7fe80771ae0979f4951cfea3847446779f15cc,7e5b8dc75109ce65ad1572204fcbffeaeba22a08,1664.0,58,2,2017-04-06 19:30:17,2016-10-21 19:07:09
7f7fe80771ae0979f4951cfea3847446779f15cc,ef5c972e01bd13eb7d1a98e7d479c1ad4921ae15,171.0,502,10,2017-04-06 19:30:17,2016-10-25 13:25:10
7f7fe80771ae0979f4951cfea3847446779f15cc,eb15c0945c38da54f55ba3e0aa0fffe40b14da89,45.0,145,2,2017-04-06 19:30:17,2016-10-25 13:35:14
7f7fe80771ae0979f4951cfea3847446779f15cc,a6f6d82f40d1748a63220c846e67bc9c556b2ac9,16.0,14,1,2017-04-06 19:30:17,2016-10-25 13:55:23
7f7fe80771ae0979f4951cfea3847446779f15cc,6b084547dccd3ccf39a6fb648d9dbbe41838a8a3,260.0,232,18,2017-04-06 19:30:17,2016-10-16 19:20:23
7f7fe80771ae0979f4951cfea3847446779f15cc,65811f8f9874f1ed44fe0ef9bb0cc7344b28f877,615.0,43,14,2017-04-06 19:30:17,2016-11-18 22:01:30
7f7fe80771ae0979f4951cfea3847446779f15cc,da7975f208cee181f95c26d0e2cc81d6dcd7cc7a,14.0,4,1,2017-04-06 19:30:17,2017-01-15 12:40:47
7f7fe80771ae0979f4951cfea3847446779f15cc,dc1b260085680be1cb09dc2b04b9e30f14531f4c,50.0,256,6,2017-04-06 19:30:17,2017-01-14 20:46:23
7f7fe80771ae0979f4951cfea3847446779f15cc,398a6164efeb4d5605a703bb92c09840251b8034,502.0,260,24,2017-04-06 19:30:17,2017-01-15 14:07:05
7f7fe80771ae0979f4951cfea3847446779f15cc,55d93aba9a141253005a7f1cea5887b05d7edc3b,76.0,32,2,2017-04-06 19:30:17,2017-01-15 14:28:27
7f7fe80771ae0979f4951cfea3847446779f15cc,d8d6df80307a7f296a847cbe69154df7c8a365d1,20.0,40,3,2017-04-06 19:30:17,2017-01-22 19:28:22
7f7fe80771ae0979f4951cfea3847446779f15cc,9cefeb7d41553048ff6fbc49189ee15934fa6843,664.0,64,12,2017-04-06 19:30:17,2017-02-07 12:45:28
7f7fe80771ae0979f4951cfea3847446779f15cc,25e4be1aef63161c6a2a1b2a9e5e7ba30f79d996,272.0,109,7,2017-04-06 19:30:17,2017-02-11 15:44:01
7f7fe80771ae0979f4951cfea3847446779f15cc,9c4eab9b41e57714862abfc30ed3a3e8405b17de,54.0,138,4,2017-04-06 19:30:17,2017-02-11 18:39:47
7f7fe80771ae0979f4951cfea3847446779f15cc,aaa1fda5f12a7100bfae68329c74d6d4dbb6c316,9.0,28,1,2017-04-06 19:30:17,2017-02-22 09:48:08
7f7fe80771ae0979f4951cfea3847446779f15cc,634401d519b273ebf94ed267e0b9daf104854239,75.0,20,10,2017-04-06 19:30:17,2017-03-01 12:05:58
7f7fe80771ae0979f4951cfea3847446779f15cc,7d6d200872c3bae21f98ac7a9060dcce9169aa9a,312.0,28,4,2017-04-06 19:30:17,2017-03-03 09:01:57
7f7fe80771ae0979f4951cfea3847446779f15cc,68d292d8c99acc74f5a8dec7490b96fad5d6a733,18.0,26,1,2017-04-06 19:30:17,2017-03-10 18:15:13
7f7fe80771ae0979f4951cfea3847446779f15cc,19905c0f0d79fe05692ea440c5c0d543e1794255,405.0,890,14,2017-04-06 19:30:17,2017-01-15 13:11:09
7f7fe80771ae0979f4951cfea3847446779f15cc,4caddcc2b51d05aaf5689a189caf535001273da8,210.0,523,12,2017-04-06 19:30:17,2017-02-05 20:11:30
dc0db43a1bd278d1f04a2e16dad0ecf4f563e4f6,2a58f75ff3821210926c824df5d3ea26b05f5e1f,150.0,7,3,2016-09-25 19:14:35,2016-09-09 15:16:24
dc0db43a1bd278d1f04a2e16dad0ecf4f563e4f6,c01b13c9f8f92f919bea9d1b5b343c0b9d9bb7b7,145.0,38,3,2016-09-25 19:14:35,2016-09-15 18:27:46
dc0db43a1bd278d1f04a2e16dad0ecf4f563e4f6,7ece0d4b8364d93556027fe59421befda43eca4f,208.0,217,16,2016-09-25 19:14:35,2016-09-19 07:59:45
dc0db43a1bd278d1f04a2e16dad0ecf4f563e4f6,31d1c558d6892dae5d227a9ff19173873c5b327d,754.0,242,13,2016-09-25 19:14:35,2016-09-22 21:26:29
5571e8d7ab57541af75294ba49c4f18fdcf018b9,712f413e5a137d14a1ea89df4f26c8d302f2c4cf,150.0,140,2,2017-01-22 21:05:59,2016-07-21 12:25:16
5571e8d7ab57541af75294ba49c4f18fdcf018b9,e2b61d45c702af93375c32ff4132d07c84f179d0,90.0,10,2,2017-01-22 21:05:59,2016-07-26 19:51:48
5571e8d7ab57541af75294ba49c4f18fdcf018b9,c99952d6fa5fa4b4a333ed26108f016c6d2c23d0,280.0,89,9,2017-01-22 21:05:59,2016-07-29 15:45:30
5571e8d7ab57541af75294ba49c4f18fdcf018b9,fb7ec040fba49ba2870cd5362f879b8aaf555e5f,567.0,301,20,2017-01-22 21:05:59,2016-07-31 21:47:30
5571e8d7ab57541af75294ba49c4f18fdcf018b9,a8b63c7b816ef600e9945c434c9a3d178378cb9a,24.0,94,2,2017-01-22 21:05:59,2016-08-07 20:42:45
5571e8d7ab57541af75294ba49c4f18fdcf018b9,2a58f75ff3821210926c824df5d3ea26b05f5e1f,12.0,7,3,2017-01-22 21:05:59,2016-09-09 15:16:24
5571e8d7ab57541af75294ba49c4f18fdcf018b9,c01b13c9f8f92f919bea9d1b5b343c0b9d9bb7b7,40.0,38,3,2017-01-22 21:05:59,2016-09-15 18:27:46
5571e8d7ab57541af75294ba49c4f18fdcf018b9,7ece0d4b8364d93556027fe59421befda43eca4f,234.0,217,16,2017-01-22 21:05:59,2016-09-19 07:59:45
5571e8d7ab57541af75294ba49c4f18fdcf018b9,31d1c558d6892dae5d227a9ff19173873c5b327d,208.0,242,13,2017-01-22 21:05:59,2016-09-22 21:26:29
5571e8d7ab57541af75294ba49c4f18fdcf018b9,6fabe41e2c9fa8fdd5079490ff85d966cb6872ea,40.0,39,2,2017-01-22 21:05:59,2016-08-10 22:50:10
5571e8d7ab57541af75294ba49c4f18fdcf018b9,7e5b8dc75109ce65ad1572204fcbffeaeba22a08,32.0,58,2,2017-01-22 21:05:59,2016-10-21 19:07:09
5571e8d7ab57541af75294ba49c4f18fdcf018b9,ef5c972e01bd13eb7d1a98e7d479c1ad4921ae15,532.0,502,10,2017-01-22 21:05:59,2016-10-25 13:25:10
5571e8d7ab57541af75294ba49c4f18fdcf018b9,eb15c0945c38da54f55ba3e0aa0fffe40b14da89,140.0,145,2,2017-01-22 21:05:59,2016-10-25 13:35:14
5571e8d7ab57541af75294ba49c4f18fdcf018b9,a6f6d82f40d1748a63220c846e67bc9c556b2ac9,16.0,14,1,2017-01-22 21:05:59,2016-10-25 13:55:23
5571e8d7ab57541af75294ba49c4f18fdcf018b9,6b084547dccd3ccf39a6fb648d9dbbe41838a8a3,194.0,232,18,2017-01-22 21:05:59,2016-10-16 19:20:23
5571e8d7ab57541af75294ba49c4f18fdcf018b9,65811f8f9874f1ed44fe0ef9bb0cc7344b28f877,465.0,43,14,2017-01-22 21:05:59,2016-11-18 22:01:30
5571e8d7ab57541af75294ba49c4f18fdcf018b9,da7975f208cee181f95c26d0e2cc81d6dcd7cc7a,16.0,4,1,2017-01-22 21:05:59,2017-01-15 12:40:47
5571e8d7ab57541af75294ba49c4f18fdcf018b9,dc1b260085680be1cb09dc2b04b9e30f14531f4c,320.0,256,6,2017-01-22 21:05:59,2017-01-14 20:46:23
5571e8d7ab57541af75294ba49c4f18fdcf018b9,398a6164efeb4d5605a703bb92c09840251b8034,404.0,260,24,2017-01-22 21:05:59,2017-01-15 14:07:05
5571e8d7ab57541af75294ba49c4f18fdcf018b9,55d93aba9a141253005a7f1cea5887b05d7edc3b,28.0,32,2,2017-01-22 21:05:59,2017-01-15 14:28:27
c421ae12a5b18afeed5f62ace4c02f46e7dbf4c6,712f413e5a137d14a1ea89df4f26c8d302f2c4cf,40.0,140,2,2016-11-19 22:12:43,2016-07-21 12:25:16
c421ae12a5b18afeed5f62ace4c02f46e7dbf4c6,e2b61d45c702af93375c32ff4132d07c84f179d0,24.0,10,2,2016-11-19 22:12:43,2016-07-26 19:51:48
c421ae12a5b18afeed5f62ace4c02f46e7dbf4c6,c99952d6fa5fa4b4a333ed26108f016c6d2c23d0,375.0,89,9,2016-11-19 22:12:43,2016-07-29 15:45:30
c421ae12a5b18afeed5f62ace4c02f46e7dbf4c6,fb7ec040fba49ba2870cd5362f879b8aaf555e5f,504.0,301,20,2016-11-19 22:12:43,2016-07-31 21:47:30
c421ae12a5b18afeed5f62ace4c02f46e7dbf4c6,a8b63c7b816ef600e9945c434c9a3d178378cb9a,120.0,94,2,2016-11-19 22:12:43,2016-08-07 20:42:45
c421ae12a5b18afeed5f62ace4c02f46e7dbf4c6,2a58f75ff3821210926c824df5d3ea26b05f5e1f,36.0,7,3,2016-11-19 22:12:43,2016-09-09 15:16:24
c421ae12a5b18afeed5f62ace4c02f46e7dbf4c6,c01b13c9f8f92f919bea9d1b5b343c0b9d9bb7b7,135.0,38,3,2016-11-19 22:12:43,2016-09-15 18:27:46
c421ae12a5b18afeed5f62ace4c02f46e7dbf4c6,7ece0d4b8364d93556027fe59421befda43eca4f,208.0,217,16,2016-11-19 22:12:43,2016-09-19 07:59:45
