file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers,latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched
E:\SoftwareRemodularization\raw_sourcecode\Alluxio\Alluxio_v2.6.1\shell\src\main\java\alluxio\cli\fs\command\LeaderCommand.java,alluxio.cli.fs.command.LeaderCommand,class,11,8,2,9,15,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,63,4,0,0,3,0,6,2,4,0,4,3,0,0,1,58,17,4f1d962767c5f4c37d572b4ce3f1e07cc357474a,a4dc54f7dc0333da096aa779dbaa79060c90d1ad,85.0,61,2
E:\SoftwareRemodularization\raw_sourcecode\Alluxio\Alluxio_v2.6.1\core\common\src\main\java\alluxio\client\file\CacheContext.java,alluxio.client.file.CacheContext,class,4,15,1,6,18,12,1,11,0,1,0,0,0,0,3,0,0,3,0,0,0,0,4,64,12,0,2,0,0,3,0,7,0,4,1,0,0,0,108,1,4f1d962767c5f4c37d572b4ce3f1e07cc357474a,3ce52983e6f50bfb7880b5a2cb13a18e4272170b,371.0,115,3
E:\SoftwareRemodularization\raw_sourcecode\Alluxio\Alluxio_v2.6.1\core\common\src\main\java\alluxio\client\file\CacheContext.java,alluxio.client.file.CacheContext,class,4,15,1,6,18,12,1,11,0,1,0,0,0,0,3,0,0,3,0,0,0,0,4,64,12,0,2,0,0,3,0,7,0,4,1,0,0,0,108,1,4f1d962767c5f4c37d572b4ce3f1e07cc357474a,3ce52983e6f50bfb7880b5a2cb13a18e4272170b,371.0,115,6
E:\SoftwareRemodularization\raw_sourcecode\Alluxio\Alluxio_v2.6.1\core\server\proxy\src\main\java\alluxio\proxy\s3\ListBucketResult.java,alluxio.proxy.s3.ListBucketResult,class,12,17,1,30,56,13,0,13,0,0,0,0,0,0,12,1,0,12,0,0,1,0,6,157,11,2,1,0,0,12,3,19,5,18,1,0,3,1,115,1,4f1d962767c5f4c37d572b4ce3f1e07cc357474a,8647c6162423b851dda8d10edf4686473d2e95cc,15.0,275,6
E:\SoftwareRemodularization\raw_sourcecode\Alluxio\Alluxio_v2.6.1\core\client\fs\src\test\java\alluxio\client\file\AlluxioFileInStreamTest.java,alluxio.client.file.AlluxioFileInStreamTest,class,38,57,1,81,0,45,1,42,3,0,0,0,0,0,12,1,0,12,0,0,5,0,32,576,2,6,1,5,26,13,159,100,85,90,1,2,0,2,279,17,4f1d962767c5f4c37d572b4ce3f1e07cc357474a,6ad1e4fe77445e8689f6d3975b26e52165c9c3e6,322.0,764,9
E:\SoftwareRemodularization\raw_sourcecode\Alluxio\Alluxio_v2.6.0-RC0\integration\jnifuse\fs\src\main\java\alluxio\jnifuse\AbstractFuseFileSystem.java,alluxio.jnifuse.AbstractFuseFileSystem,class,11,63,1,54,3,26,0,24,2,0,0,0,0,0,5,2,0,5,0,0,5,0,36,273,39,0,0,22,0,37,13,21,4,13,3,0,0,1,106,1025,906afe49e4f73eb685ecd37c9c80ae84393cbd2d,b09e8a96092388c741065bd429624d66f72bbd63,89.0,286,1
E:\SoftwareRemodularization\raw_sourcecode\Alluxio\Alluxio_v2.6.0-RC0\integration\jnifuse\fs\src\main\java\alluxio\jnifuse\FuseFileSystem.java,alluxio.jnifuse.FuseFileSystem,interface,4,23,1,4,253,23,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,3,78,2,0,0,0,0,22,1,0,1,0,0,0,0,0,46,1,906afe49e4f73eb685ecd37c9c80ae84393cbd2d,b09e8a96092388c741065bd429624d66f72bbd63,32.0,90,2
E:\SoftwareRemodularization\raw_sourcecode\Alluxio\Alluxio_v2.6.0-RC0\integration\fuse\src\main\java\alluxio\fuse\OpenFileEntry.java,alluxio.fuse.OpenFileEntry,class,4,11,1,4,8,9,0,9,0,0,0,0,0,0,5,0,0,5,0,0,3,0,0,59,5,0,0,0,0,0,3,8,0,5,1,0,0,0,97,17,906afe49e4f73eb685ecd37c9c80ae84393cbd2d,b09e8a96092388c741065bd429624d66f72bbd63,22.0,119,7
E:\SoftwareRemodularization\raw_sourcecode\Alluxio\Alluxio_v2.6.0-RC0\core\client\fs\src\main\java\alluxio\client\file\cache\evictor\CacheEvictor.java,alluxio.client.file.cache.evictor.CacheEvictor,interface,8,8,1,4,15,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,2,0,0,0,0,0,0,2,0,2,1,0,0,0,50,1,906afe49e4f73eb685ecd37c9c80ae84393cbd2d,53b9398676efd139e12563a11ba8e6f43420d243,642.0,48,1
E:\SoftwareRemodularization\raw_sourcecode\Alluxio\Alluxio_v2.6.0-RC0\core\server\master\src\main\java\alluxio\master\metastore\caching\StatsCounter.java,alluxio.master.metastore.caching.StatsCounter,class,3,5,1,5,2,5,0,5,0,0,0,0,0,0,4,0,0,4,0,0,4,0,5,33,0,0,0,0,0,0,0,4,0,4,0,0,0,1,38,16,906afe49e4f73eb685ecd37c9c80ae84393cbd2d,aab7849b31a17c405bee986ddd4f032fafe49859,23.0,47,1
