file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers,latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched
E:\SoftwareRemodularization\raw_sourcecode\Atmosphere\Atmosphere_atmosphere-project-2.6.0\modules\cpr\src\main\java\org\atmosphere\container\AbstractJetty9AsyncSupportWithWebSocket.java,org.atmosphere.container.AbstractJetty9AsyncSupportWithWebSocket,class,20,25,3,27,21,7,1,3,0,0,0,1,0,0,2,1,0,2,0,0,2,0,7,141,8,0,6,1,0,9,4,18,1,12,3,1,0,0,70,1024,576713fba120e60c256928835ac6d108d5432e60,9fd3d45c01b0c52d57ddfb6664eb6bb67c072410,56.0,148,5
E:\SoftwareRemodularization\raw_sourcecode\Atmosphere\Atmosphere_atmosphere-project-3.0.0-alpha1\modules\runtime\src\main\java\org\atmosphere\runtime\Action.java,org.atmosphere.runtime.Action,class,2,19,1,4,0,11,0,11,0,0,0,0,0,0,10,7,7,3,0,0,7,0,0,80,11,0,2,0,3,5,5,15,5,12,1,0,0,0,99,17,8858ee986ddef69cdc6768dadbd3af257d301fa3,e0cdc9fc90fc4a9be5ecba8910790906fd126e38,13.0,134,1
E:\SoftwareRemodularization\raw_sourcecode\Atmosphere\Atmosphere_atmosphere-project-3.0.0-alpha1\modules\runtime\src\main\java\org\atmosphere\runtime\AnnotationHandler.java,org.atmosphere.runtime.AnnotationHandler,class,5,15,1,31,0,6,0,6,0,0,0,0,0,0,3,1,0,3,0,0,3,0,0,71,5,2,1,1,0,6,1,9,0,8,3,0,0,0,53,1,8858ee986ddef69cdc6768dadbd3af257d301fa3,e0cdc9fc90fc4a9be5ecba8910790906fd126e38,110.0,75,2
E:\SoftwareRemodularization\raw_sourcecode\Atmosphere\Atmosphere_atmosphere-project-3.0.0-alpha1\modules\runtime\src\main\java\org\atmosphere\runtime\AnnotationProcessor.java,org.atmosphere.runtime.AnnotationProcessor,interface,2,4,1,0,6,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,48,1,8858ee986ddef69cdc6768dadbd3af257d301fa3,e0cdc9fc90fc4a9be5ecba8910790906fd126e38,79.0,35,3
E:\SoftwareRemodularization\raw_sourcecode\Atmosphere\Atmosphere_atmosphere-project-3.0.0-alpha1\modules\runtime\src\main\java\org\atmosphere\runtime\AnnotationScanningServletContainerInitializer.java,org.atmosphere.runtime.AnnotationScanningServletContainerInitializer,class,27,5,1,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,2,1,0,0,0,0,3,0,2,4,0,0,0,36,1,8858ee986ddef69cdc6768dadbd3af257d301fa3,e0cdc9fc90fc4a9be5ecba8910790906fd126e38,27.0,52,4
E:\SoftwareRemodularization\raw_sourcecode\Atmosphere\Atmosphere_atmosphere-project-3.0.0-alpha1\modules\runtime\src\main\java\org\atmosphere\runtime\AsyncIOInterceptor.java,org.atmosphere.runtime.AsyncIOInterceptor,interface,2,5,1,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,54,1,8858ee986ddef69cdc6768dadbd3af257d301fa3,e0cdc9fc90fc4a9be5ecba8910790906fd126e38,57.0,20,5
E:\SoftwareRemodularization\raw_sourcecode\Atmosphere\Atmosphere_atmosphere-project-3.0.0-alpha1\modules\runtime\src\main\java\org\atmosphere\runtime\AsyncIOInterceptorAdapter.java,org.atmosphere.runtime.AsyncIOInterceptorAdapter,class,3,5,1,1,10,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,0,0,1,2,0,0,1,0,0,0,0,0,26,1,8858ee986ddef69cdc6768dadbd3af257d301fa3,e0cdc9fc90fc4a9be5ecba8910790906fd126e38,97.0,28,6
E:\SoftwareRemodularization\raw_sourcecode\Atmosphere\Atmosphere_atmosphere-project-3.0.0-alpha1\modules\runtime\src\main\java\org\atmosphere\runtime\AsyncIOWriter.java,org.atmosphere.runtime.AsyncIOWriter,interface,3,7,1,0,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,45,1,8858ee986ddef69cdc6768dadbd3af257d301fa3,e0cdc9fc90fc4a9be5ecba8910790906fd126e38,55.0,59,7
E:\SoftwareRemodularization\raw_sourcecode\Atmosphere\Atmosphere_atmosphere-project-3.0.0-alpha1\modules\runtime\src\main\java\org\atmosphere\runtime\AsyncIOWriterAdapter.java,org.atmosphere.runtime.AsyncIOWriterAdapter,class,4,8,1,0,28,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,6,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,8858ee986ddef69cdc6768dadbd3af257d301fa3,e0cdc9fc90fc4a9be5ecba8910790906fd126e38,94.0,43,8
E:\SoftwareRemodularization\raw_sourcecode\Atmosphere\Atmosphere_atmosphere-project-3.0.0-alpha1\modules\runtime\src\main\java\org\atmosphere\runtime\AsyncSupport.java,org.atmosphere.runtime.AsyncSupport,interface,6,6,1,0,15,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,63,1,8858ee986ddef69cdc6768dadbd3af257d301fa3,e0cdc9fc90fc4a9be5ecba8910790906fd126e38,277.0,49,9
