file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers,latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched
E:\SoftwareRemodularization\raw_sourcecode\AxonFramework\AxonFramework_axon-4.5\messaging\src\test\java\org\axonframework\serialization\upcasting\event\IntermediateRepresentationTest.java,org.axonframework.serialization.upcasting.event.IntermediateRepresentationTest,class,13,1,3,19,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,2,54,0,0,0,0,0,3,3,7,0,7,0,0,1,0,37,0,f9d613cd7c0551993c0090f0da629610e47ad7ee,204a1b37596e471c5f30c6c4150778be63a84b88,16.0,70,1
E:\SoftwareRemodularization\raw_sourcecode\AxonFramework\AxonFramework_axon-4.5\spring-boot-autoconfigure\src\test\java\org\axonframework\springboot\autoconfig\AxonServerAutoConfigurationLoadFactorTest.java,org.axonframework.springboot.autoconfig.AxonServerAutoConfigurationLoadFactorTest,class,9,1,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,26,0,0,0,0,0,2,1,1,0,2,0,0,0,0,22,1,f9d613cd7c0551993c0090f0da629610e47ad7ee,94e328f18312957f534c3c82c7f92bd590e2ca44,31.0,20,2
E:\SoftwareRemodularization\raw_sourcecode\AxonFramework\AxonFramework_axon-4.5\spring-boot-autoconfigure\src\test\java\org\axonframework\springboot\autoconfig\AxonServerAutoConfigurationLoadFactorTest.java,org.axonframework.springboot.autoconfig.AxonServerAutoConfigurationLoadFactorTest,class,9,1,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,26,0,0,0,0,0,2,1,1,0,2,0,0,0,0,22,1,f9d613cd7c0551993c0090f0da629610e47ad7ee,94e328f18312957f534c3c82c7f92bd590e2ca44,31.0,20,3
E:\SoftwareRemodularization\raw_sourcecode\AxonFramework\AxonFramework_axon-4.5\messaging\src\main\java\org\axonframework\queryhandling\SubscriptionQueryBackpressure.java,org.axonframework.queryhandling.SubscriptionQueryBackpressure,class,2,3,1,0,1,3,1,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,15,2,0,0,0,0,0,0,1,0,1,0,0,0,0,45,1,f9d613cd7c0551993c0090f0da629610e47ad7ee,3a6fe0eb2e2d13a762ad92507e1ae089b590c6e0,14.0,38,81
E:\SoftwareRemodularization\raw_sourcecode\AxonFramework\AxonFramework_axon-4.5\messaging\src\main\java\org\axonframework\queryhandling\FluxSinkWrapper.java,org.axonframework.queryhandling.FluxSinkWrapper,class,5,5,1,4,0,5,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,25,0,0,0,0,0,0,0,1,0,1,0,0,0,0,56,0,f9d613cd7c0551993c0090f0da629610e47ad7ee,fd0ddde6e858927aa9e0ab1e4f88315976b827b2,6.0,59,2
E:\SoftwareRemodularization\raw_sourcecode\AxonFramework\AxonFramework_axon-4.5\messaging\src\main\java\org\axonframework\queryhandling\SinkWrapper.java,org.axonframework.queryhandling.SinkWrapper,interface,1,3,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,29,1,f9d613cd7c0551993c0090f0da629610e47ad7ee,fd0ddde6e858927aa9e0ab1e4f88315976b827b2,28.0,25,21
E:\SoftwareRemodularization\raw_sourcecode\AxonFramework\AxonFramework_axon-4.5\eventsourcing\src\test\java\org\axonframework\eventsourcing\eventstore\jdbc\MysqlJdbcEventStorageEngineTest.java,org.axonframework.eventsourcing.eventstore.jdbc.MysqlJdbcEventStorageEngineTest,class,14,4,1,28,1,3,0,0,1,0,0,0,0,0,2,1,0,2,0,0,1,0,4,55,1,0,0,1,0,9,4,6,0,6,1,0,0,0,83,0,f9d613cd7c0551993c0090f0da629610e47ad7ee,cde7e78650dc7ffcdd9b7d57c081dce7b6c2f071,54.0,61,2
E:\SoftwareRemodularization\raw_sourcecode\AxonFramework\AxonFramework_axon-4.5\integrationtests\src\test\java\org\axonframework\integrationtests\eventsourcing\eventstore\jdbc\Oracle11EventTableFactoryTest.java,org.axonframework.integrationtests.eventsourcing.eventstore.jdbc.Oracle11EventTableFactoryTest,class,10,4,1,11,0,4,0,0,0,0,0,0,0,0,6,3,0,6,0,0,3,0,2,57,0,0,0,0,0,15,0,7,5,7,0,0,0,0,51,0,f9d613cd7c0551993c0090f0da629610e47ad7ee,6e6aa96620d2b48db8f985f01970207ce1b8f19f,7.0,62,2
E:\SoftwareRemodularization\raw_sourcecode\AxonFramework\AxonFramework_axon-4.5\integrationtests\src\test\java\org\axonframework\integrationtests\eventsourcing\eventstore\jdbc\Oracle11EventTableFactoryTest.java,org.axonframework.integrationtests.eventsourcing.eventstore.jdbc.Oracle11EventTableFactoryTest,class,10,4,1,11,0,4,0,0,0,0,0,0,0,0,6,3,0,6,0,0,3,0,2,57,0,0,0,0,0,15,0,7,5,7,0,0,0,0,51,0,f9d613cd7c0551993c0090f0da629610e47ad7ee,6e6aa96620d2b48db8f985f01970207ce1b8f19f,7.0,62,4
E:\SoftwareRemodularization\raw_sourcecode\AxonFramework\AxonFramework_axon-4.5\integrationtests\src\test\java\org\axonframework\integrationtests\modelling\saga\repository\jdbc\Oracle11SagaSqlSchemaTest.java,org.axonframework.integrationtests.modelling.saga.repository.jdbc.Oracle11SagaSqlSchemaTest,class,10,4,1,11,0,4,0,0,0,0,0,0,0,0,6,3,0,6,0,0,3,0,2,57,0,0,0,0,0,15,0,7,5,7,0,0,0,0,52,0,f9d613cd7c0551993c0090f0da629610e47ad7ee,6e6aa96620d2b48db8f985f01970207ce1b8f19f,20.0,62,6
