file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers,latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched
E:\SoftwareRemodularization\raw_sourcecode\Beam\Beam_v2.30.0-RC1\sdks\java\core\src\main\java\org\apache\beam\sdk\options\FileStagingOptions.java,org.apache.beam.sdk.options.FileStagingOptions,interface,3,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,1,0,-1,0,0,0,34,1,c026c9fa00239a6f3650a6fa69f3aa864f692afe,37db190880285266e96e5950d6e23ef2e0a18b84,177.0,16,1
E:\SoftwareRemodularization\raw_sourcecode\Beam\Beam_v2.30.0-RC1\sdks\java\io\google-cloud-platform\src\main\java\org\apache\beam\sdk\io\gcp\pubsub\PubSubPayloadTranslation.java,org.apache.beam.sdk.io.gcp.pubsub.PubSubPayloadTranslation,class,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,2,0,0,0,0,-1,0,4,0,30,1,c026c9fa00239a6f3650a6fa69f3aa864f692afe,c4725301da8f1fbc3982bca986f4d9a1b9a4ce19,33.0,118,1
E:\SoftwareRemodularization\raw_sourcecode\Beam\Beam_v2.30.0-RC1\sdks\java\io\google-cloud-platform\src\test\java\org\apache\beam\sdk\io\gcp\pubsub\PubSubWritePayloadTranslationTest.java,org.apache.beam.sdk.io.gcp.pubsub.PubSubWritePayloadTranslationTest,class,26,2,1,28,0,2,0,2,0,0,0,0,0,0,5,3,1,4,0,0,4,0,17,98,0,0,0,0,1,8,8,22,0,22,0,0,0,0,53,1,c026c9fa00239a6f3650a6fa69f3aa864f692afe,c4725301da8f1fbc3982bca986f4d9a1b9a4ce19,88.0,67,6
E:\SoftwareRemodularization\raw_sourcecode\Beam\Beam_v2.30.0-RC1\sdks\java\io\google-cloud-platform\src\test\java\org\apache\beam\sdk\io\gcp\pubsub\PubSubReadPayloadTranslationTest.java,org.apache.beam.sdk.io.gcp.pubsub.PubSubReadPayloadTranslationTest,class,31,2,1,39,0,2,1,2,0,0,0,0,0,0,11,8,3,8,0,0,8,0,46,214,1,0,0,0,4,7,2,14,0,16,0,0,0,0,59,1,c026c9fa00239a6f3650a6fa69f3aa864f692afe,c4725301da8f1fbc3982bca986f4d9a1b9a4ce19,11.0,202,7
E:\SoftwareRemodularization\raw_sourcecode\Beam\Beam_v2.30.0-RC1\sdks\java\harness\src\main\java\org\apache\beam\fn\harness\data\QueueingBeamFnDataClient.java,org.apache.beam.fn.harness.data.QueueingBeamFnDataClient,class,20,15,1,22,0,6,0,5,1,0,0,0,0,0,7,1,0,7,0,0,5,0,0,203,3,2,1,1,0,6,0,15,0,11,3,0,3,2,177,1,c026c9fa00239a6f3650a6fa69f3aa864f692afe,43fba5f1d304ef79a2600fbbab87a017ff584dbe,50.0,173,1
E:\SoftwareRemodularization\raw_sourcecode\Beam\Beam_v2.30.0-RC1\sdks\java\extensions\sql\src\main\java\org\apache\beam\sdk\extensions\sql\impl\rel\CalcRelSplitter.java,org.apache.beam.sdk.extensions.sql.impl.rel.CalcRelSplitter,class,33,78,8,62,73,15,6,2,10,3,0,0,0,0,8,1,0,6,2,0,8,0,13,571,17,26,14,0,12,16,41,115,9,87,7,1,6,0,358,1,c026c9fa00239a6f3650a6fa69f3aa864f692afe,2c9f7443cb7eb17028433e6a6399baf568c005fe,54.0,840,1
E:\SoftwareRemodularization\raw_sourcecode\Beam\Beam_v2.30.0-RC1\sdks\java\extensions\sql\src\main\java\org\apache\beam\sdk\extensions\sql\impl\rel\CalcRelSplitter.java,org.apache.beam.sdk.extensions.sql.impl.rel.CalcRelSplitter,class,33,78,8,62,73,15,6,2,10,3,0,0,0,0,8,1,0,6,2,0,8,0,13,571,17,26,14,0,12,16,41,115,9,87,7,1,6,0,358,1,c026c9fa00239a6f3650a6fa69f3aa864f692afe,387d898e89bafee6b28ac332aa5d430834f66313,54.0,840,1
E:\SoftwareRemodularization\raw_sourcecode\Beam\Beam_v2.30.0-RC1\sdks\java\extensions\sql\src\main\java\org\apache\beam\sdk\extensions\sql\impl\rule\BeamCalcSplittingRule.java,org.apache.beam.sdk.extensions.sql.impl.rule.BeamCalcSplittingRule,class,10,9,2,13,6,4,0,2,0,2,0,1,0,0,1,1,0,1,0,0,1,0,0,43,2,2,0,0,0,1,3,6,0,6,4,0,0,0,44,1025,c026c9fa00239a6f3650a6fa69f3aa864f692afe,387d898e89bafee6b28ac332aa5d430834f66313,35.0,25,2
E:\SoftwareRemodularization\raw_sourcecode\Beam\Beam_v2.30.0-RC1\runners\samza\src\main\java\org\apache\beam\runners\samza\SamzaJobServerDriver.java,org.apache.beam.runners.samza.SamzaJobServerDriver,class,12,8,3,18,21,7,6,2,5,0,0,0,0,0,1,1,0,1,0,0,1,0,9,62,4,0,0,1,0,3,0,4,0,4,1,0,1,1,47,1,c026c9fa00239a6f3650a6fa69f3aa864f692afe,9ab200ca616b131c31d8a7955d3a380b2e1feed7,13.0,64,1
E:\SoftwareRemodularization\raw_sourcecode\Beam\Beam_v2.30.0-RC1\runners\spark\src\main\java\org\apache\beam\runners\spark\SparkPipelineRunner.java,org.apache.beam.runners.spark.SparkPipelineRunner,class,52,13,1,74,0,4,2,3,1,0,0,0,0,0,2,1,0,2,0,0,2,0,27,227,2,1,2,2,1,10,0,31,1,29,2,0,1,3,141,1,c026c9fa00239a6f3650a6fa69f3aa864f692afe,4e3decbb4e2384409b44572bd1e76658d1d33c90,137.0,219,2
