project_name,project_version,cluster_division,affinity,linkage,MoJo_results
bkromhout-realm-java,v0.89.0,5,euclidean,complete,91
bkromhout-realm-java,v0.89.0,5,euclidean,average,147
bkromhout-realm-java,v0.89.0,5,euclidean,single,87
bkromhout-realm-java,v0.89.0,5,l1,complete,76
bkromhout-realm-java,v0.89.0,5,l1,average,66
bkromhout-realm-java,v0.89.0,5,l1,single,65
bkromhout-realm-java,v0.89.0,5,l2,complete,91
bkromhout-realm-java,v0.89.0,5,l2,average,147
bkromhout-realm-java,v0.89.0,5,l2,single,87
bkromhout-realm-java,v0.89.0,5,manhattan,complete,76
bkromhout-realm-java,v0.89.0,5,manhattan,average,66
bkromhout-realm-java,v0.89.0,5,manhattan,single,65
bkromhout-realm-java,v0.89.0,5,cosine,complete,183
bkromhout-realm-java,v0.89.0,5,cosine,average,144
bkromhout-realm-java,v0.89.0,5,cosine,single,84
bkromhout-realm-java,v0.89.0,7,euclidean,complete,78
bkromhout-realm-java,v0.89.0,7,euclidean,average,113
bkromhout-realm-java,v0.89.0,7,euclidean,single,68
bkromhout-realm-java,v0.89.0,7,l1,complete,68
bkromhout-realm-java,v0.89.0,7,l1,average,59
bkromhout-realm-java,v0.89.0,7,l1,single,56
bkromhout-realm-java,v0.89.0,7,l2,complete,78
bkromhout-realm-java,v0.89.0,7,l2,average,113
bkromhout-realm-java,v0.89.0,7,l2,single,68
bkromhout-realm-java,v0.89.0,7,manhattan,complete,68
bkromhout-realm-java,v0.89.0,7,manhattan,average,59
bkromhout-realm-java,v0.89.0,7,manhattan,single,56
bkromhout-realm-java,v0.89.0,7,cosine,complete,170
bkromhout-realm-java,v0.89.0,7,cosine,average,119
bkromhout-realm-java,v0.89.0,7,cosine,single,70
bkromhout-realm-java,v0.89.0,10,euclidean,complete,66
bkromhout-realm-java,v0.89.0,10,euclidean,average,88
bkromhout-realm-java,v0.89.0,10,euclidean,single,61
bkromhout-realm-java,v0.89.0,10,l1,complete,65
bkromhout-realm-java,v0.89.0,10,l1,average,51
bkromhout-realm-java,v0.89.0,10,l1,single,52
bkromhout-realm-java,v0.89.0,10,l2,complete,66
bkromhout-realm-java,v0.89.0,10,l2,average,88
bkromhout-realm-java,v0.89.0,10,l2,single,61
bkromhout-realm-java,v0.89.0,10,manhattan,complete,65
bkromhout-realm-java,v0.89.0,10,manhattan,average,51
bkromhout-realm-java,v0.89.0,10,manhattan,single,52
bkromhout-realm-java,v0.89.0,10,cosine,complete,129
bkromhout-realm-java,v0.89.0,10,cosine,average,95
bkromhout-realm-java,v0.89.0,10,cosine,single,62
bkromhout-realm-java,v0.89.0,15,euclidean,complete,58
bkromhout-realm-java,v0.89.0,15,euclidean,average,71
bkromhout-realm-java,v0.89.0,15,euclidean,single,52
bkromhout-realm-java,v0.89.0,15,l1,complete,61
