file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers,latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched
E:\SoftwareRemodularization\raw_sourcecode\Cassandra\Cassandra_cassandra-4.0-beta3\src\java\org\apache\cassandra\service\reads\ReplicaFilteringProtection.java,org.apache.cassandra.service.reads.ReplicaFilteringProtection,class,38,15,1,28,13,7,1,0,4,0,0,0,0,0,15,3,0,15,0,0,12,0,8,404,4,2,4,0,0,5,8,29,4,23,1,4,1,1,271,1,be716b46f2cb3b2d1f01dc225396c6284d5a35de,b0b8ab2ea2f185d1f433b071d196f40dc2a2968e,41.0,-78,45
E:\SoftwareRemodularization\raw_sourcecode\Cassandra\Cassandra_cassandra-4.0-beta3\src\java\org\apache\cassandra\db\streaming\CompressionInfo.java,org.apache.cassandra.db.streaming.CompressionInfo,class,8,11,1,5,21,7,2,6,0,0,0,2,0,0,1,1,1,0,0,0,1,0,3,131,8,1,2,0,1,0,2,4,1,3,1,2,1,0,92,1025,be716b46f2cb3b2d1f01dc225396c6284d5a35de,f3bf0775a5a8bce228289c22b96d0c922cf2cb0d,96.0,183,34
E:\SoftwareRemodularization\raw_sourcecode\Cassandra\Cassandra_cassandra-4.0-beta3\src\java\org\apache\cassandra\net\BufferPoolAllocator.java,org.apache.cassandra.net.BufferPoolAllocator,class,8,9,3,8,24,9,0,1,0,2,0,0,0,0,1,1,0,1,0,0,1,0,1,77,5,0,0,0,0,0,0,2,0,2,0,0,1,0,73,1025,be716b46f2cb3b2d1f01dc225396c6284d5a35de,f3bf0775a5a8bce228289c22b96d0c922cf2cb0d,55.0,87,69
E:\SoftwareRemodularization\raw_sourcecode\Cassandra\Cassandra_cassandra-4.0-beta3\src\java\org\apache\cassandra\db\AbstractOnHeapClusteringPrefix.java,org.apache.cassandra.db.AbstractOnHeapClusteringPrefix,class,5,8,1,2,14,8,0,8,0,0,0,0,0,0,2,0,0,0,2,0,2,0,2,41,7,0,0,0,0,0,0,2,0,2,0,0,0,0,20,1025,be716b46f2cb3b2d1f01dc225396c6284d5a35de,ccab496d2d37c86341d364dea6c27513fda27331,771.0,47,2542
E:\SoftwareRemodularization\raw_sourcecode\Cassandra\Cassandra_cassandra-4.0-beta3\src\java\org\apache\cassandra\db\ArrayClustering.java,org.apache.cassandra.db.ArrayClustering,class,5,4,3,2,4,4,1,4,0,0,0,0,0,0,1,1,0,1,0,0,1,0,3,22,3,0,0,0,0,0,0,1,2,1,0,0,0,0,25,1,be716b46f2cb3b2d1f01dc225396c6284d5a35de,ccab496d2d37c86341d364dea6c27513fda27331,299.0,23,2543
E:\SoftwareRemodularization\raw_sourcecode\Cassandra\Cassandra_cassandra-4.0-beta3\src\java\org\apache\cassandra\db\ArrayClusteringBound.java,org.apache.cassandra.db.ArrayClusteringBound,class,9,5,4,8,10,5,1,5,0,0,0,0,0,0,1,1,0,1,0,0,1,0,3,31,4,0,0,0,0,1,0,1,1,1,0,0,0,0,29,1,be716b46f2cb3b2d1f01dc225396c6284d5a35de,ccab496d2d37c86341d364dea6c27513fda27331,220.0,30,2546
E:\SoftwareRemodularization\raw_sourcecode\Cassandra\Cassandra_cassandra-4.0-beta3\src\java\org\apache\cassandra\db\ArrayClusteringBound.java,org.apache.cassandra.db.ArrayClusteringBound,class,9,5,4,8,10,5,1,5,0,0,0,0,0,0,1,1,0,1,0,0,1,0,3,31,4,0,0,0,0,1,0,1,1,1,0,0,0,0,29,1,be716b46f2cb3b2d1f01dc225396c6284d5a35de,ccab496d2d37c86341d364dea6c27513fda27331,220.0,30,2549
E:\SoftwareRemodularization\raw_sourcecode\Cassandra\Cassandra_cassandra-4.0-beta3\src\java\org\apache\cassandra\db\ArrayClusteringBoundary.java,org.apache.cassandra.db.ArrayClusteringBoundary,class,9,6,4,10,15,6,1,6,0,0,0,0,0,0,1,1,0,1,0,0,1,0,5,33,5,0,0,0,0,1,0,1,1,1,0,0,0,0,28,1,be716b46f2cb3b2d1f01dc225396c6284d5a35de,ccab496d2d37c86341d364dea6c27513fda27331,158.0,35,2552
E:\SoftwareRemodularization\raw_sourcecode\Cassandra\Cassandra_cassandra-4.0-beta3\src\java\org\apache\cassandra\db\BufferClusteringBound.java,org.apache.cassandra.db.BufferClusteringBound,class,7,9,4,8,36,9,5,9,0,0,0,0,0,0,1,1,0,1,0,0,1,0,7,48,8,0,0,0,0,1,0,1,1,1,0,0,0,0,33,1,be716b46f2cb3b2d1f01dc225396c6284d5a35de,ccab496d2d37c86341d364dea6c27513fda27331,51.0,50,2556
E:\SoftwareRemodularization\raw_sourcecode\Cassandra\Cassandra_cassandra-4.0-beta3\src\java\org\apache\cassandra\db\BufferClusteringBound.java,org.apache.cassandra.db.BufferClusteringBound,class,7,9,4,8,36,9,5,9,0,0,0,0,0,0,1,1,0,1,0,0,1,0,7,48,8,0,0,0,0,1,0,1,1,1,0,0,0,0,33,1,be716b46f2cb3b2d1f01dc225396c6284d5a35de,ccab496d2d37c86341d364dea6c27513fda27331,51.0,50,2563
E:\SoftwareRemodularization\raw_sourcecode\Cassandra\Cassandra_cassandra-4.0-beta3\src\java\org\apache\cassandra\db\BufferClusteringBoundary.java,org.apache.cassandra.db.BufferClusteringBoundary,class,9,7,4,11,21,7,1,7,0,0,0,0,0,0,1,1,0,1,0,0,1,0,5,41,6,0,0,0,0,1,0,1,1,1,0,0,0,0,32,1,be716b46f2cb3b2d1f01dc225396c6284d5a35de,ccab496d2d37c86341d364dea6c27513fda27331,497.0,41,2566
E:\SoftwareRemodularization\raw_sourcecode\Cassandra\Cassandra_cassandra-4.0-beta3\src\java\org\apache\cassandra\db\BufferClusteringBoundary.java,org.apache.cassandra.db.BufferClusteringBoundary,class,9,7,4,11,21,7,1,7,0,0,0,0,0,0,1,1,0,1,0,0,1,0,5,41,6,0,0,0,0,1,0,1,1,1,0,0,0,0,32,1,be716b46f2cb3b2d1f01dc225396c6284d5a35de,ccab496d2d37c86341d364dea6c27513fda27331,497.0,41,2569
E:\SoftwareRemodularization\raw_sourcecode\Cassandra\Cassandra_cassandra-4.0-beta3\src\java\org\apache\cassandra\db\marshal\ByteArrayAccessor.java,org.apache.cassandra.db.marshal.ByteArrayAccessor,class,14,54,1,37,1176,49,0,48,1,0,0,0,0,0,3,3,2,1,0,0,3,0,25,277,48,0,4,0,0,0,12,4,2,4,0,0,0,0,62,1,be716b46f2cb3b2d1f01dc225396c6284d5a35de,ccab496d2d37c86341d364dea6c27513fda27331,39.0,256,2574
E:\SoftwareRemodularization\raw_sourcecode\Cassandra\Cassandra_cassandra-4.0-beta3\src\java\org\apache\cassandra\schema\SchemaProvider.java,org.apache.cassandra.schema.SchemaProvider,interface,9,10,1,3,36,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,37,2,0,0,0,0,2,0,2,1,2,0,0,0,0,40,1,be716b46f2cb3b2d1f01dc225396c6284d5a35de,f670db4a0ec6c2d76b52fa1510f585c49b4f731e,199.0,40,28
E:\SoftwareRemodularization\raw_sourcecode\Cassandra\Cassandra_cassandra-4.0-beta3\src\java\org\apache\cassandra\io\util\SimpleCachedBufferPool.java,org.apache.cassandra.io.util.SimpleCachedBufferPool,class,4,10,1,13,0,7,0,7,0,0,0,0,0,0,6,0,0,6,0,0,5,0,3,69,5,1,1,0,0,4,1,9,0,8,1,0,0,0,91,1,be716b46f2cb3b2d1f01dc225396c6284d5a35de,3f73c16d50a80c574dd004c59bfaa6042dcd5781,35.0,104,1
E:\SoftwareRemodularization\raw_sourcecode\Cassandra\Cassandra_cassandra-4.0-beta3\test\unit\org\apache\cassandra\repair\NeighborsAndRangesTest.java,org.apache.cassandra.repair.NeighborsAndRangesTest,class,5,2,2,9,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,37,0,0,0,0,0,0,0,12,0,12,0,0,0,0,47,1,be716b46f2cb3b2d1f01dc225396c6284d5a35de,1728da30e4e7858d30178ef74350af3e690adf0c,4.0,33,1
E:\SoftwareRemodularization\raw_sourcecode\Cassandra\Cassandra_cassandra-4.0-beta3\test\unit\org\apache\cassandra\metrics\ClientRequestSizeMetricsTest.java,org.apache.cassandra.metrics.ClientRequestSizeMetricsTest,class,11,8,2,18,28,8,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75,0,0,0,0,3,2,4,8,2,7,0,0,0,0,63,1,be716b46f2cb3b2d1f01dc225396c6284d5a35de,c87bc233c901d3f81649a0172cbc6b078b287ad0,9.0,87,1
E:\SoftwareRemodularization\raw_sourcecode\Cassandra\Cassandra_cassandra-4.0-beta3\test\distributed\org\apache\cassandra\distributed\test\ring\BootstrapTest.java,org.apache.cassandra.distributed.test.ring.BootstrapTest,class,9,8,3,40,10,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,94,1,3,0,2,0,19,14,11,7,11,1,0,0,6,70,1,be716b46f2cb3b2d1f01dc225396c6284d5a35de,41952a2f73ba5198250f64beba8f7ff1203204ab,25.0,-46,1
