file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers,latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched
E:\SoftwareRemodularization\raw_sourcecode\Eclim\Eclim_2.18.0\org.eclim.jdt\java\org\eclim\plugin\jdt\command\src\NewCommand.java,org.eclim.plugin.jdt.command.src.NewCommand,class,13,26,2,37,3,3,0,1,2,0,0,0,0,0,1,1,0,0,0,0,1,0,3,137,5,5,7,0,0,15,13,23,7,20,5,0,0,0,66,1,c5f05be7360fc98b924a19fa8247f14f95cc3ee3,41f85f94a02018350df17682a6f5a01b15b8c5e0,19.0,155,2
E:\SoftwareRemodularization\raw_sourcecode\Eclim\Eclim_2.18.0\org.eclim.jdt\java\org\eclim\plugin\jdt\command\hierarchy\CallHierarchyCommand.java,org.eclim.plugin.jdt.command.hierarchy.CallHierarchyCommand,class,20,15,3,34,3,3,0,1,2,0,0,0,0,0,2,2,0,2,0,0,2,0,4,133,4,1,2,0,0,14,5,31,2,28,2,1,0,0,84,1,c5f05be7360fc98b924a19fa8247f14f95cc3ee3,72e320bb6ea967c7bacd97648cb2bab27278d290,4.0,142,2
E:\SoftwareRemodularization\raw_sourcecode\Eclim\Eclim_2.18.0\org.eclim.jdt\java\org\eclim\plugin\jdt\command\doc\GetElementDocCommand.java,org.eclim.plugin.jdt.command.doc.GetElementDocCommand,class,14,9,2,25,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,3,106,4,1,3,0,1,20,4,25,2,21,2,0,0,0,81,1,c5f05be7360fc98b924a19fa8247f14f95cc3ee3,18c09ebb030140d191e52402a8b0131012747b92,30.0,100,2
E:\SoftwareRemodularization\raw_sourcecode\Eclim\Eclim_2.18.0\org.eclim.jdt\java\org\eclim\plugin\jdt\command\doc\GetElementDocCommand.java,org.eclim.plugin.jdt.command.doc.GetElementDocCommand,class,14,9,2,25,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,3,106,4,1,3,0,1,20,4,25,2,21,2,0,0,0,81,1,c5f05be7360fc98b924a19fa8247f14f95cc3ee3,9b98450c8974df3c9cc4394e72c3571581ac7ce1,30.0,94,2
E:\SoftwareRemodularization\raw_sourcecode\Eclim\Eclim_2.18.0\org.eclim.jdt\java\org\eclim\plugin\jdt\command\outline\OutlineCommand.java,org.eclim.plugin.jdt.command.outline.OutlineCommand,class,9,5,2,9,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,49,2,1,0,0,1,3,0,1,1,1,3,0,0,0,31,1,c5f05be7360fc98b924a19fa8247f14f95cc3ee3,f38f738d8ad28adba548170bc45d9070ac8be960,6.0,44,2
E:\SoftwareRemodularization\raw_sourcecode\Eclim\Eclim_2.18.0\ant\ext\checkstyle\org\eclim\checkstyle\ThrowsClauseCheck.java,org.eclim.checkstyle.ThrowsClauseCheck,class,5,8,2,9,15,6,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51,4,0,0,0,0,3,1,1,1,1,1,0,0,0,29,1,c5f05be7360fc98b924a19fa8247f14f95cc3ee3,92227dccea091359f904dc4f0f307d931a2d14c0,206.0,52,44
E:\SoftwareRemodularization\raw_sourcecode\Eclim\Eclim_2.8.0\org.eclim.jdt\java\org\eclim\plugin\jdt\command\hierarchy\CallHierarchyCommand.java,org.eclim.plugin.jdt.command.hierarchy.CallHierarchyCommand,class,20,15,3,34,3,3,0,1,2,0,0,0,0,0,2,2,0,2,0,0,2,0,4,133,4,1,2,0,0,14,5,31,2,28,2,1,0,0,84,1,16d9a7d65a43721732ee7da8466052e169ff7cbe,72e320bb6ea967c7bacd97648cb2bab27278d290,8.0,142,2
E:\SoftwareRemodularization\raw_sourcecode\Eclim\Eclim_2.8.0\org.eclim.jdt\java\org\eclim\plugin\jdt\command\doc\GetElementDocCommand.java,org.eclim.plugin.jdt.command.doc.GetElementDocCommand,class,14,9,2,25,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,3,106,4,1,3,0,1,20,4,25,2,21,2,0,0,0,81,1,16d9a7d65a43721732ee7da8466052e169ff7cbe,18c09ebb030140d191e52402a8b0131012747b92,6.0,100,2
E:\SoftwareRemodularization\raw_sourcecode\Eclim\Eclim_2.8.0\org.eclim.groovy\java\org\eclim\plugin\groovy\command\complete\CodeCompleteCommand.java,org.eclim.plugin.groovy.command.complete.CodeCompleteCommand,class,16,7,4,14,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,85,2,1,1,2,0,7,0,11,1,9,2,0,0,0,84,17,16d9a7d65a43721732ee7da8466052e169ff7cbe,18569f264771f72d9938fdf01dd221e6f4365928,5.0,73,2
E:\SoftwareRemodularization\raw_sourcecode\Eclim\Eclim_2.8.0\org.eclim.groovy\java\org\eclim\plugin\groovy\command\complete\CodeCompleteCommand.java,org.eclim.plugin.groovy.command.complete.CodeCompleteCommand,class,16,7,4,14,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,85,2,1,1,2,0,7,0,11,1,9,2,0,0,0,84,17,16d9a7d65a43721732ee7da8466052e169ff7cbe,4230cf70e5cf02032d3ef8df5dedda11368849fa,5.0,72,2
E:\SoftwareRemodularization\raw_sourcecode\Eclim\Eclim_2.8.0\org.eclim.jdt\java\org\eclim\plugin\jdt\command\doc\GetElementDocCommand.java,org.eclim.plugin.jdt.command.doc.GetElementDocCommand,class,14,9,2,25,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,3,106,4,1,3,0,1,20,4,25,2,21,2,0,0,0,81,1,16d9a7d65a43721732ee7da8466052e169ff7cbe,9b98450c8974df3c9cc4394e72c3571581ac7ce1,6.0,94,2
E:\SoftwareRemodularization\raw_sourcecode\Eclim\Eclim_2.8.0\org.eclim.groovy\java\org\eclim\plugin\groovy\command\complete\CodeCompleteCommand.java,org.eclim.plugin.groovy.command.complete.CodeCompleteCommand,class,16,7,4,14,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,85,2,1,1,2,0,7,0,11,1,9,2,0,0,0,84,17,16d9a7d65a43721732ee7da8466052e169ff7cbe,7723c1b7d5c0685b704fe5043981b68dfe2fbf23,5.0,69,2
E:\SoftwareRemodularization\raw_sourcecode\Eclim\Eclim_2.8.0\org.eclim.jdt\java\org\eclim\plugin\jdt\command\outline\OutlineCommand.java,org.eclim.plugin.jdt.command.outline.OutlineCommand,class,9,5,2,9,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,49,2,1,0,0,1,3,0,1,1,1,3,0,0,0,31,1,16d9a7d65a43721732ee7da8466052e169ff7cbe,f38f738d8ad28adba548170bc45d9070ac8be960,27.0,44,2
E:\SoftwareRemodularization\raw_sourcecode\Eclim\Eclim_2.5.0\org.eclim.jdt\java\org\eclim\plugin\jdt\command\debug\DebugStartCommand.java,org.eclim.plugin.jdt.command.debug.DebugStartCommand,class,7,1,2,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35,1,0,0,0,0,6,0,5,1,5,0,0,0,0,29,1,80642b72db65a2be44c2e546a0cbb88bc4cfa2d0,e736aa74051eb12cbbdcfe91de28933002c5fff4,6.0,27,2
