file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers,latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched
E:\SoftwareRemodularization\raw_sourcecode\Spring-framework\Spring-framework_v5.3.8\spring-webflux\src\test\java\org\springframework\web\reactive\config\ResourceHandlerRegistryTests.java,org.springframework.web.reactive.config.ResourceHandlerRegistryTests,class,29,13,1,60,0,13,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,9,180,1,0,0,0,0,22,37,32,1,31,0,0,0,1,86,0,d51d8aeaf61852de49a68a761f01cffdfafebef3,ef6a582c78b1e5a11dae64cc9e9c9b9572646bc8,145.0,188,1
E:\SoftwareRemodularization\raw_sourcecode\Spring-framework\Spring-framework_v5.3.8\spring-test\src\main\java\org\springframework\test\context\junit4\AbstractJUnit4SpringContextTests.java,org.springframework.test.context.junit4.AbstractJUnit4SpringContextTests,class,14,1,1,2,0,1,0,1,0,0,0,0,1,0,2,0,0,0,2,0,1,0,1,30,0,0,0,0,0,0,0,2,0,2,0,0,0,0,122,1025,d51d8aeaf61852de49a68a761f01cffdfafebef3,1565f4b83e7c48eeec9dc74f7eb042dce4dbb49a,59.0,86,2
E:\SoftwareRemodularization\raw_sourcecode\Spring-framework\Spring-framework_v5.3.8\spring-test\src\main\java\org\springframework\test\context\junit4\AbstractTransactionalJUnit4SpringContextTests.java,org.springframework.test.context.junit4.AbstractTransactionalJUnit4SpringContextTests,class,20,8,2,10,0,8,0,2,0,6,0,0,0,0,2,0,0,1,1,0,1,0,7,62,4,0,0,0,0,2,0,4,0,4,0,0,0,0,222,1025,d51d8aeaf61852de49a68a761f01cffdfafebef3,1565f4b83e7c48eeec9dc74f7eb042dce4dbb49a,456.0,183,4
E:\SoftwareRemodularization\raw_sourcecode\Spring-framework\Spring-framework_v5.3.8\spring-test\src\main\java\org\springframework\test\context\testng\AbstractTestNGSpringContextTests.java,org.springframework.test.context.testng.AbstractTestNGSpringContextTests,class,22,17,1,17,13,11,0,3,3,5,0,0,1,0,4,0,0,2,2,0,2,0,1,110,1,0,1,3,1,2,0,12,0,7,2,0,0,0,180,1025,d51d8aeaf61852de49a68a761f01cffdfafebef3,1565f4b83e7c48eeec9dc74f7eb042dce4dbb49a,83.0,205,6
E:\SoftwareRemodularization\raw_sourcecode\Spring-framework\Spring-framework_v5.3.8\spring-test\src\main\java\org\springframework\test\context\testng\AbstractTransactionalTestNGSpringContextTests.java,org.springframework.test.context.testng.AbstractTransactionalTestNGSpringContextTests,class,20,8,2,10,0,8,0,2,0,6,0,0,0,0,2,0,0,1,1,0,1,0,7,61,4,0,0,0,0,2,0,4,0,4,0,0,0,0,195,1025,d51d8aeaf61852de49a68a761f01cffdfafebef3,1565f4b83e7c48eeec9dc74f7eb042dce4dbb49a,77.0,168,8
E:\SoftwareRemodularization\raw_sourcecode\Spring-framework\Spring-framework_v5.3.8\spring-test\src\test\java\org\springframework\test\web\servlet\MockMvcReuseTests.java,org.springframework.test.web.servlet.MockMvcReuseTests,class,13,3,1,12,0,3,0,0,0,0,0,0,0,0,5,4,0,5,0,0,5,0,16,68,0,0,0,0,0,11,0,5,0,5,0,0,2,0,71,0,d51d8aeaf61852de49a68a761f01cffdfafebef3,ee41ebc1ab77f5e0b8d956b4891e219dd6cfecf6,5.0,80,1
E:\SoftwareRemodularization\raw_sourcecode\Spring-framework\Spring-framework_v5.3.8\spring-test\src\test\java\org\springframework\test\web\servlet\MockMvcReuseTests.java,org.springframework.test.web.servlet.MockMvcReuseTests,class,13,3,1,12,0,3,0,0,0,0,0,0,0,0,5,4,0,5,0,0,5,0,16,68,0,0,0,0,0,11,0,5,0,5,0,0,2,0,71,0,d51d8aeaf61852de49a68a761f01cffdfafebef3,ee41ebc1ab77f5e0b8d956b4891e219dd6cfecf6,5.0,80,3
E:\SoftwareRemodularization\raw_sourcecode\Spring-framework\Spring-framework_v5.3.8\spring-test\src\test\java\org\springframework\test\web\servlet\MockMvcReuseTests.java,org.springframework.test.web.servlet.MockMvcReuseTests,class,13,3,1,12,0,3,0,0,0,0,0,0,0,0,5,4,0,5,0,0,5,0,16,68,0,0,0,0,0,11,0,5,0,5,0,0,2,0,71,0,d51d8aeaf61852de49a68a761f01cffdfafebef3,ee41ebc1ab77f5e0b8d956b4891e219dd6cfecf6,5.0,80,5
E:\SoftwareRemodularization\raw_sourcecode\Spring-framework\Spring-framework_v5.3.8\spring-test\src\test\java\org\springframework\test\web\servlet\MockMvcReuseTests.java,org.springframework.test.web.servlet.MockMvcReuseTests,class,13,3,1,12,0,3,0,0,0,0,0,0,0,0,5,4,0,5,0,0,5,0,16,68,0,0,0,0,0,11,0,5,0,5,0,0,2,0,71,0,d51d8aeaf61852de49a68a761f01cffdfafebef3,ee41ebc1ab77f5e0b8d956b4891e219dd6cfecf6,5.0,80,6
E:\SoftwareRemodularization\raw_sourcecode\Spring-framework\Spring-framework_v5.3.8\spring-test\src\test\java\org\springframework\test\web\servlet\MockMvcReuseTests.java,org.springframework.test.web.servlet.MockMvcReuseTests,class,13,3,1,12,0,3,0,0,0,0,0,0,0,0,5,4,0,5,0,0,5,0,16,68,0,0,0,0,0,11,0,5,0,5,0,0,2,0,71,0,d51d8aeaf61852de49a68a761f01cffdfafebef3,ee41ebc1ab77f5e0b8d956b4891e219dd6cfecf6,5.0,80,7
