file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers,latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched
E:\SoftwareRemodularization\raw_sourcecode\Spring-security\Spring-security_5.5.0-RC2\oauth2\oauth2-client\src\main\java\org\springframework\security\oauth2\client\endpoint\AbstractOAuth2AuthorizationGrantRequestEntityConverter.java,org.springframework.security.oauth2.client.endpoint.AbstractOAuth2AuthorizationGrantRequestEntityConverter,class,16,8,1,10,16,8,0,5,0,0,0,1,6,0,2,0,0,2,0,0,0,0,0,71,3,0,0,0,0,4,0,11,0,7,0,0,0,3,62,1024,2242bf09c48b55ef0a29f73c443da0ee8e7f270b,9c97970e26c78cec8a73a1605b7aed49d1635218,29.0,143,40
E:\SoftwareRemodularization\raw_sourcecode\Spring-security\Spring-security_5.5.0-RC2\oauth2\oauth2-client\src\test\java\org\springframework\security\oauth2\client\endpoint\JwtBearerGrantRequestEntityConverterTests.java,org.springframework.security.oauth2.client.endpoint.JwtBearerGrantRequestEntityConverterTests,class,19,8,1,36,16,8,0,8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,106,0,0,0,0,0,14,0,19,1,19,0,0,0,4,55,1,2242bf09c48b55ef0a29f73c443da0ee8e7f270b,eff4cdc9241d264376e06ce0117c5a6715f77094,178.0,106,1
E:\SoftwareRemodularization\raw_sourcecode\Spring-security\Spring-security_5.5.0-RC2\oauth2\oauth2-client\src\test\java\org\springframework\security\oauth2\client\endpoint\JwtBearerGrantRequestTests.java,org.springframework.security.oauth2.client.endpoint.JwtBearerGrantRequestTests,class,9,4,1,15,6,4,0,4,0,0,0,0,0,0,2,0,0,2,0,0,2,0,3,39,0,0,0,0,0,3,0,4,0,4,0,0,0,3,33,1,2242bf09c48b55ef0a29f73c443da0ee8e7f270b,eff4cdc9241d264376e06ce0117c5a6715f77094,91.0,41,2
E:\SoftwareRemodularization\raw_sourcecode\Spring-security\Spring-security_5.5.0-RC2\oauth2\oauth2-client\src\main\java\org\springframework\security\oauth2\client\endpoint\JwtBearerGrantRequest.java,org.springframework.security.oauth2.client.endpoint.JwtBearerGrantRequest,class,4,2,2,4,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,18,1,0,0,0,0,2,0,1,0,1,0,0,0,0,39,1,2242bf09c48b55ef0a29f73c443da0ee8e7f270b,eff4cdc9241d264376e06ce0117c5a6715f77094,173.0,36,63
E:\SoftwareRemodularization\raw_sourcecode\Spring-security\Spring-security_5.5.0-RC2\config\src\main\java\org\springframework\security\config\annotation\web\builders\FilterOrderRegistration.java,org.springframework.security.config.annotation.web.builders.FilterOrderRegistration,class,27,5,1,6,0,3,0,0,1,0,0,0,0,0,3,2,0,3,0,0,3,0,0,111,2,1,0,0,0,9,2,7,0,6,2,0,1,0,63,16,2242bf09c48b55ef0a29f73c443da0ee8e7f270b,a31a855146d7485a9e30cdb70a18be212e4d008f,291.0,107,1
E:\SoftwareRemodularization\raw_sourcecode\Spring-security\Spring-security_5.5.0-RC2\web\src\main\java\org\springframework\security\web\access\intercept\RequestMatcherDelegatingAuthorizationManager.java,org.springframework.security.web.access.intercept.RequestMatcherDelegatingAuthorizationManager,class,10,7,1,14,1,3,1,2,1,0,0,0,0,0,2,0,0,2,0,0,2,0,0,59,3,1,0,0,0,4,0,5,0,5,3,0,1,0,68,17,2242bf09c48b55ef0a29f73c443da0ee8e7f270b,df6ebc705189e8f8bd2a2101b4ae0904c2ce3459,37.0,89,1
E:\SoftwareRemodularization\raw_sourcecode\Spring-security\Spring-security_5.5.0-RC2\web\src\test\java\org\springframework\security\web\access\intercept\RequestMatcherDelegatingAuthorizationManagerTests.java,org.springframework.security.web.access.intercept.RequestMatcherDelegatingAuthorizationManagerTests,class,7,4,1,13,6,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,10,0,6,0,6,0,0,0,8,44,1,2242bf09c48b55ef0a29f73c443da0ee8e7f270b,df6ebc705189e8f8bd2a2101b4ae0904c2ce3459,16.0,54,2
E:\SoftwareRemodularization\raw_sourcecode\Spring-security\Spring-security_5.5.1\saml2\saml2-service-provider\src\main\java\org\springframework\security\saml2\provider\service\registration\OpenSamlAssertingPartyMetadataConverter.java,org.springframework.security.saml2.provider.service.registration.OpenSamlAssertingPartyMetadataConverter,class,25,29,1,35,17,7,0,0,5,0,0,0,0,0,2,0,0,2,0,0,2,0,6,152,9,6,2,3,1,5,1,21,2,19,3,0,0,6,82,0,e41360b4a364744dbbf1afe25840cee26d466b37,9a11cc84ade6bfb23de5e645dac954ff3b33364c,8.0,116,4
E:\SoftwareRemodularization\raw_sourcecode\Spring-security\Spring-security_5.5.1\oauth2\oauth2-core\src\main\java\org\springframework\security\oauth2\core\OAuth2Token.java,org.springframework.security.oauth2.core.OAuth2Token,interface,1,3,1,0,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,e41360b4a364744dbbf1afe25840cee26d466b37,c069692ab97e9a8640caf4d9dd8855c08e318548,269.0,33,13
E:\SoftwareRemodularization\raw_sourcecode\Spring-security\Spring-security_5.5.1\oauth2\oauth2-jose\src\main\java\org\springframework\security\oauth2\jose\JwaAlgorithm.java,org.springframework.security.oauth2.jose.JwaAlgorithm,interface,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,43,1,e41360b4a364744dbbf1afe25840cee26d466b37,0c25b8c1f9d38c943f6c13d73ac43026f67da59d,67.0,22,1
E:\SoftwareRemodularization\raw_sourcecode\Spring-security\Spring-security_5.5.1\oauth2\oauth2-client\src\main\java\org\springframework\security\oauth2\client\endpoint\AbstractOAuth2AuthorizationGrantRequestEntityConverter.java,org.springframework.security.oauth2.client.endpoint.AbstractOAuth2AuthorizationGrantRequestEntityConverter,class,16,8,1,10,16,8,0,5,0,0,0,1,6,0,2,0,0,2,0,0,0,0,0,71,3,0,0,0,0,4,0,11,0,7,0,0,0,3,62,1024,e41360b4a364744dbbf1afe25840cee26d466b37,9c97970e26c78cec8a73a1605b7aed49d1635218,53.0,143,40
E:\SoftwareRemodularization\raw_sourcecode\Spring-security\Spring-security_5.5.1\oauth2\oauth2-client\src\test\java\org\springframework\security\oauth2\client\endpoint\JwtBearerGrantRequestEntityConverterTests.java,org.springframework.security.oauth2.client.endpoint.JwtBearerGrantRequestEntityConverterTests,class,19,8,1,36,16,8,0,8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,106,0,0,0,0,0,14,0,19,1,19,0,0,0,4,55,1,e41360b4a364744dbbf1afe25840cee26d466b37,eff4cdc9241d264376e06ce0117c5a6715f77094,209.0,106,1
E:\SoftwareRemodularization\raw_sourcecode\Spring-security\Spring-security_5.5.1\oauth2\oauth2-client\src\test\java\org\springframework\security\oauth2\client\endpoint\JwtBearerGrantRequestTests.java,org.springframework.security.oauth2.client.endpoint.JwtBearerGrantRequestTests,class,9,4,1,15,6,4,0,4,0,0,0,0,0,0,2,0,0,2,0,0,2,0,3,39,0,0,0,0,0,3,0,4,0,4,0,0,0,3,33,1,e41360b4a364744dbbf1afe25840cee26d466b37,eff4cdc9241d264376e06ce0117c5a6715f77094,4.0,41,2
E:\SoftwareRemodularization\raw_sourcecode\Spring-security\Spring-security_5.5.1\oauth2\oauth2-client\src\main\java\org\springframework\security\oauth2\client\endpoint\JwtBearerGrantRequest.java,org.springframework.security.oauth2.client.endpoint.JwtBearerGrantRequest,class,4,2,2,4,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,18,1,0,0,0,0,2,0,1,0,1,0,0,0,0,39,1,e41360b4a364744dbbf1afe25840cee26d466b37,eff4cdc9241d264376e06ce0117c5a6715f77094,74.0,36,63
E:\SoftwareRemodularization\raw_sourcecode\Spring-security\Spring-security_5.5.1\config\src\main\java\org\springframework\security\config\annotation\web\builders\FilterOrderRegistration.java,org.springframework.security.config.annotation.web.builders.FilterOrderRegistration,class,27,6,1,7,0,3,0,0,0,0,0,0,0,0,3,2,0,3,0,0,3,0,0,114,3,1,0,0,0,9,2,7,0,6,2,0,1,0,77,16,e41360b4a364744dbbf1afe25840cee26d466b37,a31a855146d7485a9e30cdb70a18be212e4d008f,131.0,107,1
E:\SoftwareRemodularization\raw_sourcecode\Spring-security\Spring-security_5.5.1\web\src\main\java\org\springframework\security\web\access\intercept\RequestMatcherDelegatingAuthorizationManager.java,org.springframework.security.web.access.intercept.RequestMatcherDelegatingAuthorizationManager,class,10,7,1,14,1,3,1,2,1,0,0,0,0,0,2,0,0,2,0,0,2,0,0,59,3,1,0,0,0,4,0,5,0,5,3,0,1,0,68,17,e41360b4a364744dbbf1afe25840cee26d466b37,df6ebc705189e8f8bd2a2101b4ae0904c2ce3459,41.0,89,1
E:\SoftwareRemodularization\raw_sourcecode\Spring-security\Spring-security_5.5.1\web\src\test\java\org\springframework\security\web\access\intercept\RequestMatcherDelegatingAuthorizationManagerTests.java,org.springframework.security.web.access.intercept.RequestMatcherDelegatingAuthorizationManagerTests,class,7,4,1,13,6,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,10,0,6,0,6,0,0,0,8,44,1,e41360b4a364744dbbf1afe25840cee26d466b37,df6ebc705189e8f8bd2a2101b4ae0904c2ce3459,12.0,54,2
E:\SoftwareRemodularization\raw_sourcecode\Spring-security\Spring-security_5.5.1\oauth2\oauth2-client\src\test\java\org\springframework\security\oauth2\client\web\HttpSessionOAuth2AuthorizationRequestRepositoryTests.java,org.springframework.security.oauth2.client.web.HttpSessionOAuth2AuthorizationRequestRepositoryTests,class,11,17,2,21,46,17,0,16,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,185,1,0,0,0,0,6,0,38,1,39,0,0,1,6,61,1025,e41360b4a364744dbbf1afe25840cee26d466b37,35f5ebdbcf93aa380cd57ca5ef7d579ed53f2a71,24.0,202,1
E:\SoftwareRemodularization\raw_sourcecode\Spring-security\Spring-security_5.5.1\oauth2\oauth2-client\src\test\java\org\springframework\security\oauth2\client\web\server\WebSessionOAuth2ServerAuthorizationRequestRepositoryTests.java,org.springframework.security.oauth2.client.web.server.WebSessionOAuth2ServerAuthorizationRequestRepositoryTests,class,9,12,1,25,0,12,0,11,1,0,0,0,0,0,3,0,0,0,3,0,0,0,1,121,0,0,0,0,0,9,0,15,0,11,0,0,0,5,57,1025,e41360b4a364744dbbf1afe25840cee26d466b37,700bda68b7b4507899221fe6774926ce0e8d9f21,31.0,145,23
E:\SoftwareRemodularization\raw_sourcecode\Spring-security\Spring-security_5.5.1\oauth2\oauth2-client\src\test\java\org\springframework\security\oauth2\client\web\server\WebSessionOAuth2ServerAuthorizationRequestRepositoryAllowMultipleAuthorizationRequestsTests.java,org.springframework.security.oauth2.client.web.server.WebSessionOAuth2ServerAuthorizationRequestRepositoryAllowMultipleAuthorizationRequestsTests,class,15,6,2,30,15,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,193,0,0,0,0,0,37,1,41,0,37,0,0,0,3,70,1,e41360b4a364744dbbf1afe25840cee26d466b37,700bda68b7b4507899221fe6774926ce0e8d9f21,59.0,206,27
