latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched,latest_commit_date,commit_compared_with_date
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,6d501cabf03a0af22f13ca88a9c791ec21edaaeb,632.0,35,4,2021-08-04 22:21:34,2021-06-07 19:51:51
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,85724a0b2c9114d94e2b9c6ffe2112bb319f692b,25.0,44,3,2021-08-04 22:21:34,2021-06-08 15:53:29
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,a4dc54f7dc0333da096aa779dbaa79060c90d1ad,255.0,118,2,2021-08-04 22:21:34,2021-06-09 18:09:26
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,f9f22097ce44cafe15bfeb6ec56cbf1c7e8659b3,166.0,144,5,2021-08-04 22:21:34,2021-06-14 00:22:17
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,c9b564fe0e2e928b3b8583d8778b58031fe279fa,19589.0,288,37,2021-08-04 22:21:34,2021-06-14 00:23:51
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,62265d1d451e652c828c41b5f4c17dee81180fa4,1088.0,277,29,2021-08-04 22:21:34,2021-06-14 23:27:24
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,0abc4df4926166a6f179a9c1d42c3c510fad558d,9043.0,713,48,2021-08-04 22:21:34,2021-06-14 23:43:17
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,e254405ef62fb364d8d4d2f795d5d685f260a12e,16.0,19,8,2021-08-04 22:21:34,2021-06-15 03:00:36
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,62e06ed79d09aaac54ec9b1be6d2e75536e26616,32524.0,862,95,2021-08-04 22:21:34,2021-06-16 05:23:04
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,61afe3d6bb7f2249ad8f42bb42dd99984494c2f8,1192.0,14,2,2021-08-04 22:21:34,2021-06-17 20:30:20
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,439fcb1d1c0f3609fdebfc548817a67c85b4f893,94.0,2,1,2021-08-04 22:21:34,2021-06-18 16:25:36
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,499d2b5686f9113c25e0ce665bf5c65c7eef3a7d,160.0,77,4,2021-08-04 22:21:34,2021-06-18 18:21:32
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,dfaff7f9a11eadba509f3874e8c6d8261000d409,900.0,1801,26,2021-08-04 22:21:34,2021-06-18 22:27:58
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,d964cd4166ce374168c06f561eb22c4f15bdfb1b,25.0,80,3,2021-08-04 22:21:34,2021-06-23 18:12:18
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,61085eb9fac823d08fd8e3b15f863b9a59b66589,25.0,80,2,2021-08-04 22:21:34,2021-06-23 22:55:57
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,a9f8980e121dc7483daa23159525ee095c8778b0,320.0,231,8,2021-08-04 22:21:34,2021-06-24 03:23:51
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,4161cab5817b2784b8a07ca4ff19773b9958d9c5,1010.0,190,11,2021-08-04 22:21:34,2021-06-24 19:05:29
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,883630425353235cc1c13bf002d518958c664882,304.0,84,4,2021-08-04 22:21:34,2021-06-25 03:00:47
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,1d0c0890e70a1a7835cd03b081acc506557f9bce,306.0,107,4,2021-08-04 22:21:34,2021-06-27 18:02:32
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,e1f931fcbcc540c233c2c98d67228eaa0d22c727,656.0,74,4,2021-08-04 22:21:34,2021-06-28 17:15:43
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,723b4a26ece8c7458409ced194e5e30f2c42070f,280.0,972,6,2021-08-04 22:21:34,2021-06-30 18:55:11
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,11ae65457bc858b0405c25803cfcd24d2d243705,344.0,900,10,2021-08-04 22:21:34,2021-07-06 21:28:54
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,3ce52983e6f50bfb7880b5a2cb13a18e4272170b,4027.0,1383,18,2021-08-04 22:21:34,2021-07-12 06:39:42
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,af54be30dcc229e4c0903f6c6582ec67ce578331,994.0,243,5,2021-08-04 22:21:34,2021-07-12 19:05:49
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,0d8d17bf40bc357e9578ce7d66e6c43f069f3207,172.0,107,1,2021-08-04 22:21:34,2021-07-13 00:44:47
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,d8b4bd8789553eb0ff0db42734edded1b6e7a559,4092.0,426,24,2021-08-04 22:21:34,2021-07-13 01:18:44
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,8647c6162423b851dda8d10edf4686473d2e95cc,1171.0,873,19,2021-08-04 22:21:34,2021-07-15 21:54:27
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,183552b789c23cc2dce28e16da120daffb43ce7b,194.0,34,1,2021-08-04 22:21:34,2021-07-16 04:35:50
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,fceea2a7684d47914996936527fb836845281b59,1638.0,161,6,2021-08-04 22:21:34,2021-07-19 23:44:23
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,7d70714388fb723e4adfe1ebcbb723f673025d53,560.0,96,3,2021-08-04 22:21:34,2021-07-20 14:22:27
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,f851b1d065afaf278d59de661c304305d5e26ef4,2472.0,160,14,2021-08-04 22:21:34,2021-07-21 17:20:16
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,fd8ff2c6a8ebb3765aa9ef2d3fcc4727fc9cb010,160.0,76,4,2021-08-04 22:21:34,2021-07-22 06:10:26
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,3422cb6d159a25951b2a8fe6181b86a92bf7dbc7,13300.0,791,51,2021-08-04 22:21:34,2021-07-23 16:26:06
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,6469555115b91aafe2f856db24f68bdba3e2b794,865.0,130,15,2021-08-04 22:21:34,2021-07-23 21:57:42
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,c4bd02438f7593d6b65c28780a0f7520c0343a87,742.0,4,1,2021-08-04 22:21:34,2021-08-02 05:47:35
4f1d962767c5f4c37d572b4ce3f1e07cc357474a,6ad1e4fe77445e8689f6d3975b26e52165c9c3e6,9506.0,1916,20,2021-08-04 22:21:34,2021-08-04 02:49:16
dba693f9275472226f775d030285105987338101,d6e280bb5f9106d786a28d6cec8934cb40ae2253,392.0,35,4,2021-06-08 03:04:33,2021-06-07 23:08:41
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,b6e6bf79c64ed79a2aa5f2b638c576a9432fbf59,201.0,129,14,2021-05-29 01:19:19,2021-02-23 17:14:06
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,d2b6d03765343801645b01ab80078b1b3b50501b,372.0,509,50,2021-05-29 01:19:19,2021-02-24 04:46:37
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,b09e8a96092388c741065bd429624d66f72bbd63,735.0,689,13,2021-05-29 01:19:19,2021-02-24 23:28:19
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,53b9398676efd139e12563a11ba8e6f43420d243,747.0,160,6,2021-05-29 01:19:19,2021-03-03 07:30:14
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,4ac2f95b0e4274ec0abd4fd2774bd4faa1d487e8,260.0,40,3,2021-05-29 01:19:19,2021-03-03 19:23:03
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,aab7849b31a17c405bee986ddd4f032fafe49859,931.0,341,16,2021-05-29 01:19:19,2021-03-05 20:32:02
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,cbcc2dd4825153f3d1e253fc76d03dd46a05b9f2,13701.0,4097,124,2021-05-29 01:19:19,2021-03-06 18:30:16
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,91f33defcc3485f5bcf58af0b63cfb09662bdc0f,62.0,6,1,2021-05-29 01:19:19,2021-03-11 00:18:04
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,4395b546313a6144cce1ea0b18bfa082f9d80ec6,3708.0,3951,114,2021-05-29 01:19:19,2021-03-11 01:54:53
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,42729d319385ba3641e10138b342ed842149f13f,282.0,7,11,2021-05-29 01:19:19,2021-03-11 19:46:02
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,4d40d6590b1bf14aeda13f45f8a748611c99f40d,24.0,235,2,2021-05-29 01:19:19,2021-03-15 03:07:12
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,55a3b28b753c954c94618888b4fc65ae4dc7ba34,4062.0,2332,71,2021-05-29 01:19:19,2021-03-16 01:44:34
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,b47bbad9a5321a091a8dd44a8f37645ae4410faf,14832.0,136,3,2021-05-29 01:19:19,2021-03-16 02:34:58
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,3aaf75b713120561e4df50dcf7ba0937efb88295,390.0,96,3,2021-05-29 01:19:19,2021-03-17 17:32:03
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,da6d4f803ddb45f85df383a6afeb4dd052881d80,476.0,122,2,2021-05-29 01:19:19,2021-03-19 19:52:25
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,c939e33a5ca3c4decd27fe7b6080a0feb82d3b9d,4092.0,669,16,2021-05-29 01:19:19,2021-03-20 00:34:04
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,2c32656c9d831f32283ae9c053ddacb7415b600a,561.0,725,11,2021-05-29 01:19:19,2021-03-20 02:38:57
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,ab94ea279ed542f6112e07b66aaf10099b0c79cd,975.0,238,9,2021-05-29 01:19:19,2021-03-23 01:30:31
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,a369d0b6dba30c4892b1c99938b7618b27a22fba,36.0,38,2,2021-05-29 01:19:19,2021-03-23 17:15:38
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,cb4852ff0014f9646d41a17e1185dcdbbd8b38b8,96.0,126,4,2021-05-29 01:19:19,2021-03-23 20:26:48
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,09659b8248d65bfb9e4fa19115c5ff199bbd3b47,17399.0,4166,199,2021-05-29 01:19:19,2021-03-25 01:15:13
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,81145705a987e7a15f8f2bcd233788d85c4cc6f5,192.0,23,2,2021-05-29 01:19:19,2021-03-25 04:05:21
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,7f2ac1a82240be4a9a4ee9f42e752a8f267236a5,630.0,869,22,2021-05-29 01:19:19,2021-03-25 06:56:36
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,feb4aa08ea675ef1c49005c2f6c401e07bab80cf,334.0,4,1,2021-05-29 01:19:19,2021-03-25 23:10:20
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,2ad1e1e0b8a59671177a83d712754197be273667,38777.0,2404,114,2021-05-29 01:19:19,2021-03-27 06:28:36
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,498ef0f9f62a83c62a43b7d285d56a1e10fd7e88,96.0,6,4,2021-05-29 01:19:19,2021-03-30 17:20:32
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,3061a69f900f4bc37ee25392fa8bf7195c1f7f3d,47576.0,333,22,2021-05-29 01:19:19,2021-04-02 23:04:04
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,6231603c766665dbedd528107fa19d326875242c,690.0,43,3,2021-05-29 01:19:19,2021-04-05 17:44:09
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,a067b949aff5b577340095d6cc270d116301413d,1899.0,77,7,2021-05-29 01:19:19,2021-04-06 03:28:24
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,72fb5d42b48bce67da13061d429a0e5274dab9d6,99.0,5,2,2021-05-29 01:19:19,2021-04-07 18:13:53
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,647c671f31b211f26d9580f26cbd97721d1f349d,4356.0,1722,65,2021-05-29 01:19:19,2021-04-09 04:39:29
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,b5c5621ff42faaae3381a9cc9343c6763ea54b4a,243.0,64,6,2021-05-29 01:19:19,2021-04-09 05:49:34
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,abfd6e1c19aac27b2e68b9cc2c20681e0292fd0f,27085.0,1251,215,2021-05-29 01:19:19,2021-04-12 15:14:26
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,32f64b63c5c64542054725d6b28c57bb7e485451,148117.0,592,75,2021-05-29 01:19:19,2021-04-14 07:22:26
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,a906c87d7ec8f6f208839cd8d0102ae381d6a17b,498.0,132,4,2021-05-29 01:19:19,2021-04-15 19:02:05
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,f8fe02d8476702b367c0bf9256b1ba24689bcf64,398.0,299,21,2021-05-29 01:19:19,2021-04-19 16:33:37
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,ae96f3274ddd242cc1179c1a7552bd3caae2acfa,33.0,19,2,2021-05-29 01:19:19,2021-04-20 18:09:49
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,1f32bdbba286bce9902bf012076b1306da14d399,356.0,56,2,2021-05-29 01:19:19,2021-04-20 21:17:20
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,ebe719bd9b2b309f74ffc38005de2b0e1f5145a0,308.0,42,2,2021-05-29 01:19:19,2021-04-21 18:50:54
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,89f897169fb7823f24caebf0a7dc8cb97003fcca,11697.0,419,24,2021-05-29 01:19:19,2021-04-21 20:54:44
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,3618aa2cd410a052e350e05463407c4ece73bd93,95.0,113,3,2021-05-29 01:19:19,2021-04-22 15:42:44
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,6f18745157e3e8d972cc1f6451dc0c2907de7d7f,176.0,420,5,2021-05-29 01:19:19,2021-04-22 18:36:38
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,fc5a280504c73e01bd1a505a2b92391d85546afe,597.0,129,10,2021-05-29 01:19:19,2021-04-23 07:07:24
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,e2afd1e8870b4ec53171a3958b199196afb76add,81.0,87,4,2021-05-29 01:19:19,2021-04-23 07:25:21
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,5970957e176fccc93e3fd5cffe15ee59b8ba178d,498.0,132,2,2021-05-29 01:19:19,2021-04-23 23:27:36
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,97faa15b6784bcce043a6a3495c01581ec79b2b8,72.0,78,5,2021-05-29 01:19:19,2021-04-25 17:24:44
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,c668ae80eb1206994320dc993b65e142205b57b4,81000.0,103,8,2021-05-29 01:19:19,2021-04-25 22:41:36
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,bbada6ac77cdfb932e5d9916a008251420d5e5ef,12.0,43,2,2021-05-29 01:19:19,2021-04-26 15:11:28
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,f0602ecae1c568dee0320354736c73e4fbf311dd,346.0,9,1,2021-05-29 01:19:19,2021-04-27 06:49:00
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,a07403f4970c7283cb99a7d40236e9c5262c61df,2170.0,290,17,2021-05-29 01:19:19,2021-04-27 17:55:31
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,308992c0122c2d6723165e56cdf7b350087e73e5,196.0,74,2,2021-05-29 01:19:19,2021-04-29 17:51:28
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,1f2c0fd5408cd9a367dc85197c7d501de33455fe,2210.0,788,13,2021-05-29 01:19:19,2021-04-30 20:29:38
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,40af661d15104813f74eeda3790b7a366f7cb28f,1241.0,400,14,2021-05-29 01:19:19,2021-04-30 22:54:45
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,d7c94b54aa396f315abfe39ba0e108819fa9d0fc,336.0,153,6,2021-05-29 01:19:19,2021-05-03 18:25:16
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,9c1c15fb66c7f726e33bc760e67c181227728c4d,498.0,132,4,2021-05-29 01:19:19,2021-05-04 23:45:05
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,ceaaef4d2a6229a286279c6e599178c85a1a341a,375.0,59,3,2021-05-29 01:19:19,2021-05-05 18:49:22
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,b8b146064e5881302d04f1560eb229e78dcef380,411.0,43,2,2021-05-29 01:19:19,2021-05-06 18:00:32
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,6ae85e6a66602698635724d8cbe5e9c65e5d0dfa,805.0,26,3,2021-05-29 01:19:19,2021-05-06 21:51:24
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,d5f9af6fa3de3acdb2ecbd803e18ce8003a67b64,2884.0,2856,19,2021-05-29 01:19:19,2021-05-07 18:05:06
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,93aa96926ee802b116bb246168310b0fd5cefaea,4146.0,101,4,2021-05-29 01:19:19,2021-05-07 18:41:28
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,8d4f95ac430e6052ea13714f16e1f1cdf5446de2,190.0,36,1,2021-05-29 01:19:19,2021-05-08 00:36:49
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,ef8aba2e7b75fc6534bdd04de051dbffe404710e,102.0,39,4,2021-05-29 01:19:19,2021-05-12 20:16:23
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,9f5673eccf6452c13493ae3bcd38f6203714f16a,1131.0,126,7,2021-05-29 01:19:19,2021-05-14 19:25:17
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,9e3e9df4bb73b6aeb2c9ef1217d1071e65677cbb,468.0,1287,2,2021-05-29 01:19:19,2021-05-17 06:50:35
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,265c24f618a9b3190347961ff495190ab05f79f4,306.0,298,9,2021-05-29 01:19:19,2021-05-20 03:40:23
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,e3fd1275befb7b09186258ea9b4782fcfa9a8a44,2379.0,609,42,2021-05-29 01:19:19,2021-05-20 06:28:00
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,2ebe1710909eeebc24d7e298855f9464ac7eddd5,234.0,39,2,2021-05-29 01:19:19,2021-05-20 23:58:14
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,696647645c30d3a63b4a197aa0dfce9e11df3c39,600.0,252,9,2021-05-29 01:19:19,2021-05-21 02:15:21
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,f34b615626f4d564d8bad00cb1ad4646086264a8,5562.0,90,2,2021-05-29 01:19:19,2021-05-21 05:04:26
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,7b10a597002c00cade006f0b6e3e183ed855cac8,328.0,721,7,2021-05-29 01:19:19,2021-05-22 00:16:41
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,d6d7e78a3e5fe5de0e26ea129e44c12d3d9181bc,282.0,28,1,2021-05-29 01:19:19,2021-05-24 20:30:49
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,25e1882baad606a813a84a15646746a06590df49,328.0,499,10,2021-05-29 01:19:19,2021-05-25 00:59:52
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,412524c13357663f884e5206b3beb14d862491cf,291.0,348,11,2021-05-29 01:19:19,2021-05-25 01:24:32
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,23a31c0fd4d4714c38fd953c941fbb3df2381772,2691.0,243,10,2021-05-29 01:19:19,2021-05-25 02:40:36
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,ef55f4a3ee94f2f7d7df8226dc4f2e564dbc7a57,1071.0,733,12,2021-05-29 01:19:19,2021-05-25 17:41:11
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,cf6f354941a72b3da8e3b041d81878dbe8b96b61,2146.0,546,62,2021-05-29 01:19:19,2021-05-28 16:29:10
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,5c9c99f1955905f9e8e7232744fd63b7b4a9f8a9,186.0,938,18,2021-05-29 01:19:19,2021-05-28 17:52:32
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,f27f330b9e02a05a82f99c002ab405a17fd2ab33,126.0,5,2,2021-05-29 01:19:19,2021-05-28 23:06:24
906afe49e4f73eb685ecd37c9c80ae84393cbd2d,7fb84094a6075bcef5a103b40adcac4b26b724ca,12976.0,4261,71,2021-05-29 01:19:19,2021-05-29 00:37:05
76569bcd1cc06c004884e03ffe330ccba2648818,d2f663ea19094673bb01dc8549f1dce54ae269b1,2797.0,341,16,2021-03-13 00:03:02,2021-03-09 19:06:43
731e09332e8e8be1131fd00262e58a726f2d114d,4d2fd251e40de9b8f734565bf951cd238b13d4db,1209.0,509,50,2021-02-26 03:39:18,2021-02-24 18:19:54
3f5597a9e7a8c47be0ae574d291ab4388036372d,a906c87d7ec8f6f208839cd8d0102ae381d6a17b,816.0,132,4,2021-01-27 21:05:39,2021-04-15 19:02:05
3f5597a9e7a8c47be0ae574d291ab4388036372d,f8fe02d8476702b367c0bf9256b1ba24689bcf64,618.0,299,21,2021-01-27 21:05:39,2021-04-19 16:33:37
3f5597a9e7a8c47be0ae574d291ab4388036372d,ae96f3274ddd242cc1179c1a7552bd3caae2acfa,135.0,19,2,2021-01-27 21:05:39,2021-04-20 18:09:49
3f5597a9e7a8c47be0ae574d291ab4388036372d,1f32bdbba286bce9902bf012076b1306da14d399,440.0,56,2,2021-01-27 21:05:39,2021-04-20 21:17:20
3f5597a9e7a8c47be0ae574d291ab4388036372d,ebe719bd9b2b309f74ffc38005de2b0e1f5145a0,1076.0,42,2,2021-01-27 21:05:39,2021-04-21 18:50:54
3f5597a9e7a8c47be0ae574d291ab4388036372d,89f897169fb7823f24caebf0a7dc8cb97003fcca,10230.0,419,24,2021-01-27 21:05:39,2021-04-21 20:54:44
