latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched,latest_commit_date,commit_compared_with_date
ec813ad1a02b1b58154d5df9389ecaa786041d6c,eb4874b4bf26f6db61ed2040980ade9684ff06aa,1674.0,1288,18,2021-08-05 22:23:57,2021-08-05 21:54:04
ec813ad1a02b1b58154d5df9389ecaa786041d6c,623719ec6e47a1a97a0e1e0991512fda4f8f841f,25.0,31,3,2021-08-05 22:23:57,2021-08-05 22:08:03
05cd0a9c4a7da9d04eaf2773add5d17126f8e879,180c37626ebe27dde6bd80a790445f52ef648afe,138.0,19,2,2021-08-05 19:16:32,2021-08-05 18:27:06
52bfa03a9fdf85e1c051f41468872a8f2c29dcaf,9128048cdfbefcab61e5df36b923a6126ece18e8,29937.0,2754,208,2021-07-27 18:58:33,2021-07-14 18:17:16
52bfa03a9fdf85e1c051f41468872a8f2c29dcaf,1d8e130012441b6b657f0269f0404d0b882fc3ce,112.0,34,2,2021-07-27 18:58:33,2021-07-14 18:24:05
52bfa03a9fdf85e1c051f41468872a8f2c29dcaf,db1773569e8b184b35a17c67aa647b204836680a,1408.0,216,2,2021-07-27 18:58:33,2021-07-15 19:24:46
52bfa03a9fdf85e1c051f41468872a8f2c29dcaf,520339da300b290b2791ea3c668aac682dcd9e64,12.0,14,2,2021-07-27 18:58:33,2021-07-27 18:05:33
c51396ba504c0a7397d912f8e621d060bc360483,07411f0b238fbd4dffb4f8d308b76f9e06ea4334,447.0,51,2,2021-07-02 21:09:13,2021-06-23 19:31:23
c51396ba504c0a7397d912f8e621d060bc360483,c1f9548d8fff250cc9e26e8b5115506447f5e2b7,102.0,7,2,2021-07-02 21:09:13,2021-06-28 20:32:32
c51396ba504c0a7397d912f8e621d060bc360483,f0acdfc2d94b7a60edbc8abd9160e51a52358cc3,232.0,52,4,2021-07-02 21:09:13,2021-06-28 21:38:52
83848dfc9f8393177994a55bc8d4eb6ad6a29194,f662123d9cbe72be106d667f4802f286b949e4b9,3633.0,205,16,2021-06-19 21:31:07,2021-06-17 21:24:40
83848dfc9f8393177994a55bc8d4eb6ad6a29194,661560c8dc0e41773c0d411a3b5b9334d7383bf2,4356.0,275,21,2021-06-19 21:31:07,2021-06-18 07:30:47
83848dfc9f8393177994a55bc8d4eb6ad6a29194,1434b0936f64a2ef904300f2e784810f4718c64c,6011.0,109,10,2021-06-19 21:31:07,2021-06-19 17:52:55
83848dfc9f8393177994a55bc8d4eb6ad6a29194,2b8a37b90c1b33f488ba402528d0f2222fc5c820,432.0,20,1,2021-06-19 21:31:07,2021-06-19 18:31:00
ff69a57112d8ab06c18b1b2f87e8a9c714d80176,db1773569e8b184b35a17c67aa647b204836680a,1408.0,216,2,2021-07-15 20:25:30,2021-07-15 19:24:46
75e2bb83f5f797d5cedf3fbd18a3aa8e1dff1061,a039bdd16035eddd50c37c3379ac4f9719fe1888,4710.0,49,1,2021-07-14 19:32:02,2021-06-11 20:51:06
