latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched,latest_commit_date,commit_compared_with_date
1aaec6944ea6efa41b294c39748397f36b6caad0,a45d6437f5f3fc044418a969dea286de0e44d72c,300.0,272,4,2021-05-24 10:19:58,2021-05-19 13:07:47
1aaec6944ea6efa41b294c39748397f36b6caad0,baf385e77e0c998f8bcdde9d0d7f7d35449d9e4a,80732.0,3465,181,2021-05-24 10:19:58,2021-05-24 09:37:31
1aaec6944ea6efa41b294c39748397f36b6caad0,d77bbdb47dc0aa71284fe5efda0fb82bad2b8f7a,36676.0,1366,62,2021-05-24 10:19:58,2021-05-24 09:45:39
4a0b8c92f599553a93a39071d287bb2cc3d1a19d,e8b8604314a2ea894b1f24939c42e782b83335aa,228.0,6,1,2021-05-19 13:56:22,2018-10-02 17:57:20
4a0b8c92f599553a93a39071d287bb2cc3d1a19d,046b8768af8a07a9e10ce43f538d6ac16e7fa5f3,1994.0,1046,64,2021-05-19 13:56:22,2018-10-03 02:56:49
4a0b8c92f599553a93a39071d287bb2cc3d1a19d,7051bd78b17b2666c2fa0f61823920285a060a76,2416.0,76,4,2021-05-19 13:56:22,2018-10-03 11:52:53
4a0b8c92f599553a93a39071d287bb2cc3d1a19d,1dc0adfac0ee4821c67366728c70be9b59477b0f,3232.0,348,25,2021-05-19 13:56:22,2018-10-03 18:19:57
4a0b8c92f599553a93a39071d287bb2cc3d1a19d,39b35036ba47064149003046a7b59feb01575d1e,672.0,199,12,2021-05-19 13:56:22,2018-10-04 00:51:42
4a0b8c92f599553a93a39071d287bb2cc3d1a19d,b6d5d84e0761a450acee103d87afcae26ca504b6,7013.0,1688,69,2021-05-19 13:56:22,2018-10-04 19:46:46
4a0b8c92f599553a93a39071d287bb2cc3d1a19d,e60b797c88541f94cecc7fdbcaad010c4742cfdb,12.0,21,3,2021-05-19 13:56:22,2018-10-04 20:00:31
4a0b8c92f599553a93a39071d287bb2cc3d1a19d,273cc2d4e972dc7cc371761a4ab2d1bc20dd5ca0,296.0,67,2,2021-05-19 13:56:22,2018-10-05 10:29:03
4a0b8c92f599553a93a39071d287bb2cc3d1a19d,73c660b43f3d5311947d2acc9488f17c1caf4de0,7310.0,502,34,2021-05-19 13:56:22,2018-10-05 16:32:19
4a0b8c92f599553a93a39071d287bb2cc3d1a19d,c9683656508573fa8dd16287229ab5b1d5aa81ca,2384.0,576,45,2021-05-19 13:56:22,2018-10-05 16:31:48
4a0b8c92f599553a93a39071d287bb2cc3d1a19d,7c13872cbbb6f1b0b1c2dde894885b41186b3797,2040.0,1442,50,2021-05-19 13:56:22,2018-10-08 16:40:37
4a0b8c92f599553a93a39071d287bb2cc3d1a19d,745f64012a2a912d5f0a36bbda89dc638e1715cb,325.0,72,3,2021-05-19 13:56:22,2018-10-08 17:05:18
4a0b8c92f599553a93a39071d287bb2cc3d1a19d,08bb6c49a5aec32b7d9f29238560f947420405d6,33496.0,1190,56,2021-05-19 13:56:22,2018-10-09 03:30:53
4a0b8c92f599553a93a39071d287bb2cc3d1a19d,d4626b4d1825b60ef02c0da9c45cd483d1d98f49,692.0,82,2,2021-05-19 13:56:22,2018-10-09 08:11:07
4a0b8c92f599553a93a39071d287bb2cc3d1a19d,c3d22d3b4569b7f87af4ee4abfcc284deebe90de,3666.0,308,24,2021-05-19 13:56:22,2018-10-09 17:29:40
4a0b8c92f599553a93a39071d287bb2cc3d1a19d,bd50fa956b1ca25bb2136977b98a6aa6895eff8b,4260.0,28,2,2021-05-19 13:56:22,2018-10-09 19:02:12
4a0b8c92f599553a93a39071d287bb2cc3d1a19d,5ce70e1211e624d58e8bb1181aec00729ebdc085,11272.0,3131,22,2021-05-19 13:56:22,2018-10-10 14:52:19
4a0b8c92f599553a93a39071d287bb2cc3d1a19d,bf3d591f0cb0fedeab5d89cc8d2270d3b9a70313,5.0,230,3,2021-05-19 13:56:22,2018-10-10 17:23:07
4a0b8c92f599553a93a39071d287bb2cc3d1a19d,ee816f1fd78b029b9efa567e8b1b62391563de14,690.0,144,5,2021-05-19 13:56:22,2018-10-11 13:57:38
4a0b8c92f599553a93a39071d287bb2cc3d1a19d,2addebb94f592e46b261e2edd9e95a82e83bd761,728.0,380,48,2021-05-19 13:56:22,2018-10-11 19:03:56
4a0b8c92f599553a93a39071d287bb2cc3d1a19d,64f2b32d57f35864b5c47b7e80f02e9c939f592a,8532.0,1246,141,2021-05-19 13:56:22,2018-10-11 22:08:22
4a0b8c92f599553a93a39071d287bb2cc3d1a19d,8d1981806feb8278966c02a9eff42d72541bb35e,3092.0,878,45,2021-05-19 13:56:22,2018-10-11 23:26:07
4a0b8c92f599553a93a39071d287bb2cc3d1a19d,6e0e6daaf3215213c32cdffa79f3730d40e981ea,1032.0,89,2,2021-05-19 13:56:22,2018-10-12 12:04:10
4a0b8c92f599553a93a39071d287bb2cc3d1a19d,5ec86b445cc492f52c33639efb6a09a0d2f27475,79435.0,6436,155,2021-05-19 13:56:22,2018-10-12 16:32:21
4a0b8c92f599553a93a39071d287bb2cc3d1a19d,8e5365e277a184ff65f2f6bca2bf037d1a9f3fd0,6402.0,33,13,2021-05-19 13:56:22,2018-10-15 10:08:42
4a0b8c92f599553a93a39071d287bb2cc3d1a19d,b60ca37914b22550e3630fa02742d40697decb31,8609.0,687,67,2021-05-19 13:56:22,2018-10-15 10:18:26
4a0b8c92f599553a93a39071d287bb2cc3d1a19d,fa94d370b6e3cba9c7560c09b517583e6652f103,3996.0,437,10,2021-05-19 13:56:22,2018-10-15 15:51:57
4a0b8c92f599553a93a39071d287bb2cc3d1a19d,f880ff418c07965b333c750805c8de77a067b158,416.0,191,4,2021-05-19 13:56:22,2018-10-15 16:37:20
4a0b8c92f599553a93a39071d287bb2cc3d1a19d,b6fc72a0250ac3f2341ebe8a14d19b073e6224c8,1712.0,132,5,2021-05-19 13:56:22,2018-10-15 17:50:27
4a0b8c92f599553a93a39071d287bb2cc3d1a19d,d59ca43bff8a457ce7ab62a61acd89aacbe71b93,528.0,169,8,2021-05-19 13:56:22,2018-10-16 19:02:54
