latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched,latest_commit_date,commit_compared_with_date
90f7bcd909db20fe2030f2fe53e0d1229a02b9e6,808c0b03bde94579837e8df523a0a568bba751c4,1620.0,119,27,2021-07-09 09:06:55,2021-05-10 11:02:36
90f7bcd909db20fe2030f2fe53e0d1229a02b9e6,be06541b4716be16944f1da585ad61c8e4c35f65,336.0,17,2,2021-07-09 09:06:55,2021-05-12 13:16:27
90f7bcd909db20fe2030f2fe53e0d1229a02b9e6,9e4afb0fc378e39502633f18921d78ed526694b5,574.0,730,3,2021-07-09 09:06:55,2021-05-18 15:09:59
90f7bcd909db20fe2030f2fe53e0d1229a02b9e6,ab6d66147b858dca268119456e084a6540512329,22680.0,1684,64,2021-07-09 09:06:55,2021-05-21 06:40:38
90f7bcd909db20fe2030f2fe53e0d1229a02b9e6,b1cba96627e07d4b1bbe49f6926a464c90efb4aa,56872.0,170,94,2021-07-09 09:06:55,2021-05-23 14:59:51
90f7bcd909db20fe2030f2fe53e0d1229a02b9e6,ae430a8c14c727141e534c419ffea71ceebb84aa,188.0,307,1,2021-07-09 09:06:55,2021-05-25 15:55:16
90f7bcd909db20fe2030f2fe53e0d1229a02b9e6,ab11acd634c3a121b2c5e86891092ad196e503bf,1576.0,50,5,2021-07-09 09:06:55,2021-05-25 15:58:39
90f7bcd909db20fe2030f2fe53e0d1229a02b9e6,4f1d8f469904878c215f9c07027abf7048627bc0,114492.0,5856,148,2021-07-09 09:06:55,2021-05-27 02:24:38
90f7bcd909db20fe2030f2fe53e0d1229a02b9e6,763f65f2934b7d152c41c0a7a3c9e386fc09f9ad,1545.0,540,10,2021-07-09 09:06:55,2021-05-28 13:38:36
90f7bcd909db20fe2030f2fe53e0d1229a02b9e6,f7b93ebdf2063c853b6e9438e560c5a81a78bc98,68.0,22,2,2021-07-09 09:06:55,2021-05-29 02:26:01
90f7bcd909db20fe2030f2fe53e0d1229a02b9e6,7bb7c72cc53c8063c781ea0b38691cca4955a29f,940.0,125,3,2021-07-09 09:06:55,2021-06-02 16:03:45
90f7bcd909db20fe2030f2fe53e0d1229a02b9e6,c5fefa938a7c3960d7020855b74cdf75ddc31ac7,38.0,4,1,2021-07-09 09:06:55,2021-06-04 06:03:32
90f7bcd909db20fe2030f2fe53e0d1229a02b9e6,cd2ef91dc3c4cd7aeaa203efc481da15cc3f2eef,3002.0,576,50,2021-07-09 09:06:55,2021-06-09 02:03:17
