latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched,latest_commit_date,commit_compared_with_date
2242bf09c48b55ef0a29f73c443da0ee8e7f270b,2b9efccc501e563161c11500d55027d32522502a,362.0,9,5,2021-05-03 19:58:05,2020-10-26 17:48:59
2242bf09c48b55ef0a29f73c443da0ee8e7f270b,4515c86beb1b9ac7e25e0f697c18208a61e86b5b,128.0,145,8,2021-05-03 19:58:05,2020-11-06 21:11:50
2242bf09c48b55ef0a29f73c443da0ee8e7f270b,af669a216655c6cc8dc2aab9fe6a0d3d3e416da6,2044.0,996,48,2021-05-03 19:58:05,2020-11-03 00:29:24
2242bf09c48b55ef0a29f73c443da0ee8e7f270b,b0d4e500a82b2125b42382a4f0e202cc1f243cb0,1507.0,120,9,2021-05-03 19:58:05,2020-11-24 21:39:00
2242bf09c48b55ef0a29f73c443da0ee8e7f270b,c002c6f9f3794a7115e90c8993127533f536d5f5,946.0,50,7,2021-05-03 19:58:05,2020-11-24 17:47:03
2242bf09c48b55ef0a29f73c443da0ee8e7f270b,808b8c32563c9839d96927806012ee04d894989c,200.0,16,2,2021-05-03 19:58:05,2020-11-23 20:05:32
2242bf09c48b55ef0a29f73c443da0ee8e7f270b,d5d0be36f4a75122a86198f29671011bb0fd9e57,198.0,37,3,2021-05-03 19:58:05,2020-11-27 07:10:54
2242bf09c48b55ef0a29f73c443da0ee8e7f270b,54d3839f63a41f81aff43e88f1acd57e5a138838,333.0,36,2,2021-05-03 19:58:05,2020-12-04 22:00:09
2242bf09c48b55ef0a29f73c443da0ee8e7f270b,2566abec31d251d5151c4b998af634174a68d48a,863.0,247,17,2021-05-03 19:58:05,2020-12-11 16:22:04
2242bf09c48b55ef0a29f73c443da0ee8e7f270b,8cefc8a792dab5bfef7dc698cf44c7c2bb909d54,39.0,5,1,2021-05-03 19:58:05,2021-01-06 10:42:58
