latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched,latest_commit_date,commit_compared_with_date
df9061e1db8195ca37c9106dbf53ad02dd818165,59416923dcb3a756eaf532cc4259f2f6625c0762,626.0,462,16,2020-07-06 04:26:11,2019-04-01 05:35:39
df9061e1db8195ca37c9106dbf53ad02dd818165,08b950ea73ba142b5681aad4b208755db540cdb0,420.0,297,7,2020-07-06 04:26:11,2019-04-02 04:31:44
df9061e1db8195ca37c9106dbf53ad02dd818165,d701e4cd549e99c594a7ddf41359b59f34ad2cff,335.0,226,3,2020-07-06 04:26:11,2019-04-10 04:30:05
df9061e1db8195ca37c9106dbf53ad02dd818165,a21526cfa9e204715cfc41966dc95584d6e30168,3850.0,415,58,2020-07-06 04:26:11,2019-04-11 02:19:18
df9061e1db8195ca37c9106dbf53ad02dd818165,818fe3e3e85c2e19dfcd12770b7aaee5820c0099,188.0,19,2,2020-07-06 04:26:11,2019-04-12 03:29:33
df9061e1db8195ca37c9106dbf53ad02dd818165,f7ca64ef3e5828a6ff6302721499da62381539ec,340.0,144,3,2020-07-06 04:26:11,2019-04-15 04:58:23
df9061e1db8195ca37c9106dbf53ad02dd818165,8852f1176ac32a065db734079c295783811c192f,50.0,106,3,2020-07-06 04:26:11,2019-04-17 06:06:45
df9061e1db8195ca37c9106dbf53ad02dd818165,2c6dc2ea108e8f35ad8324e6a6149010b8e258ef,1330.0,150,26,2020-07-06 04:26:11,2019-04-19 05:53:27
df9061e1db8195ca37c9106dbf53ad02dd818165,60ab068beaf34b7856cf69d3ba8ddff42ed9335b,102.0,522,4,2020-07-06 04:26:11,2019-04-28 01:22:04
df9061e1db8195ca37c9106dbf53ad02dd818165,bb2c7ea76cc40c07f1985529a19d389a9d00eba6,391.0,764,10,2020-07-06 04:26:11,2019-04-29 01:41:33
df9061e1db8195ca37c9106dbf53ad02dd818165,d97b02aa53f4fd76f0209baca5a08d010e3e8c1d,435.0,52,1,2020-07-06 04:26:11,2019-04-29 02:05:49
df9061e1db8195ca37c9106dbf53ad02dd818165,707389659d7d1e08f774bf82557f0bcff4b13e37,198.0,163,5,2020-07-06 04:26:11,2019-04-30 04:52:53
df9061e1db8195ca37c9106dbf53ad02dd818165,238f5d9b8b9e4819a9909a7403dcbc7bec0dc714,1192.0,30,3,2020-07-06 04:26:11,2019-04-30 05:31:55
