latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched,latest_commit_date,commit_compared_with_date
863b43f098a2522f9f3690227792dcd7b50b274c,a408cdcd04b67b0545cff913012f5b3343090a0c,80.0,183,4,2021-03-09 07:35:03,2019-02-14 13:13:19
863b43f098a2522f9f3690227792dcd7b50b274c,23c2e0d5be2cf2585c9bd9a2a88957e7a9224b85,110.0,79,3,2021-03-09 07:35:03,2019-02-15 14:32:06
863b43f098a2522f9f3690227792dcd7b50b274c,a40f9b5b43af91deadb52eab6bf583594b99b7b2,40.0,48,2,2021-03-09 07:35:03,2019-02-28 03:12:22
863b43f098a2522f9f3690227792dcd7b50b274c,328754be2f5a650cd1eaa59cdcbc3f9f658577f3,80.0,105,6,2021-03-09 07:35:03,2019-04-13 06:08:53
863b43f098a2522f9f3690227792dcd7b50b274c,8292dd278fbc8ab064ff5c3e07fbcc13de3c064b,12.0,9,2,2021-03-09 07:35:03,2019-04-16 04:38:15
863b43f098a2522f9f3690227792dcd7b50b274c,8f18c8db85d1ee71a2b4f12df66c1cc29bc50195,284.0,56,2,2021-03-09 07:35:03,2019-04-15 13:32:07
863b43f098a2522f9f3690227792dcd7b50b274c,75f03d0410ff1c37f405c9d257e5c2024bbd13fc,2730.0,399,60,2021-03-09 07:35:03,2019-05-21 12:53:12
863b43f098a2522f9f3690227792dcd7b50b274c,f2f7fc67f31e74f58423fcba6177f3ed4fc90015,5508.0,3612,96,2021-03-09 07:35:03,2019-06-17 09:21:36
863b43f098a2522f9f3690227792dcd7b50b274c,452c299d26a6f070054003b0e5941e0be52068e0,555.0,325,23,2021-03-09 07:35:03,2019-06-20 15:59:16
863b43f098a2522f9f3690227792dcd7b50b274c,0d6ee2cbc485af4eadd353f0900f586bab4a406a,55.0,24,2,2021-03-09 07:35:03,2019-06-25 12:51:07
863b43f098a2522f9f3690227792dcd7b50b274c,9e2e1271b1ecbfa92af6fb240f52d79975f6fab9,176.0,22,4,2021-03-09 07:35:03,2019-07-17 12:07:36
863b43f098a2522f9f3690227792dcd7b50b274c,ae9e6006b9b4bff107017b395398fae4b1ce1736,30.0,8,5,2021-03-09 07:35:03,2019-07-22 19:07:17
863b43f098a2522f9f3690227792dcd7b50b274c,473925941e796752b9b98c2f37e7728de13e01ca,407.0,54,5,2021-03-09 07:35:03,2019-07-05 09:13:05
863b43f098a2522f9f3690227792dcd7b50b274c,03eb30a68e759036fa6333c4f8219da35eee517f,48.0,65,2,2021-03-09 07:35:03,2019-07-31 13:45:30
863b43f098a2522f9f3690227792dcd7b50b274c,5cb68b3fcfdf354e3ab81dc2a5ac71087d695bbd,609.0,73,12,2021-03-09 07:35:03,2019-09-05 08:00:33
863b43f098a2522f9f3690227792dcd7b50b274c,a50af15194998da4525c8a01ebc9dabbee2e8e69,221.0,133,6,2021-03-09 07:35:03,2019-09-12 11:37:52
863b43f098a2522f9f3690227792dcd7b50b274c,32f9fa2e2051418ccac64ab66854052d67484921,328.0,324,30,2021-03-09 07:35:03,2019-09-21 15:06:40
863b43f098a2522f9f3690227792dcd7b50b274c,da1590fa8a4568d33dd2a368ecfa7ca93e91828d,1642.0,3696,1,2021-03-09 07:35:03,2019-10-19 12:56:22
863b43f098a2522f9f3690227792dcd7b50b274c,a68e1635496bedc51e4ae2b72dcaee407d326112,960.0,285,13,2021-03-09 07:35:03,2019-10-30 05:01:08
863b43f098a2522f9f3690227792dcd7b50b274c,f9e4abf7b670f68b7267e932a0579eb01a259836,1351.0,656,28,2021-03-09 07:35:03,2019-11-08 07:30:49
863b43f098a2522f9f3690227792dcd7b50b274c,8b6ebe28f395d858989dd64260ec2a1024a1a86f,315.0,74,10,2021-03-09 07:35:03,2019-11-09 17:52:49
863b43f098a2522f9f3690227792dcd7b50b274c,26338712e0a891e1bea5590afcdc59fd426376d0,1104.0,64,6,2021-03-09 07:35:03,2019-11-14 13:28:14
863b43f098a2522f9f3690227792dcd7b50b274c,507e4748449d64a338df3c999fcb5de4dadb72ab,736.0,32,4,2021-03-09 07:35:03,2019-11-16 05:13:44
863b43f098a2522f9f3690227792dcd7b50b274c,956b702de5f28f30aacc4717120623bd5fd4b8e2,213.0,15,2,2021-03-09 07:35:03,2019-11-20 05:18:13
863b43f098a2522f9f3690227792dcd7b50b274c,5519525ec1cbef7929a93ba9190502c7b5505125,56.0,26,2,2021-03-09 07:35:03,2019-12-16 07:06:19
863b43f098a2522f9f3690227792dcd7b50b274c,165c1660e0738f23b14b2dc5401b296d74e9ce09,96.0,42,8,2021-03-09 07:35:03,2019-12-18 10:01:40
863b43f098a2522f9f3690227792dcd7b50b274c,44a0ade14205db04f343dd93c5265d65986a92fc,701.0,225,17,2021-03-09 07:35:03,2019-10-31 02:03:23
863b43f098a2522f9f3690227792dcd7b50b274c,0f38dfb590b033bb5655d53eae4abe5e0c2c4e7c,952.0,2,4,2021-03-09 07:35:03,2020-01-05 06:12:17
863b43f098a2522f9f3690227792dcd7b50b274c,b340e4b761bc45e729ac8b0e2bee9d6fa66bc149,823.0,560,24,2021-03-09 07:35:03,2019-11-12 18:09:59
863b43f098a2522f9f3690227792dcd7b50b274c,533b2742673b2e3f293a9a97014978a34d91cb9f,12.0,13,2,2021-03-09 07:35:03,2020-01-13 18:48:14
863b43f098a2522f9f3690227792dcd7b50b274c,fe9378e6f1bab1852589f7be4c297d0e4bfa1f1f,9.0,36,2,2021-03-09 07:35:03,2020-03-02 15:47:43
863b43f098a2522f9f3690227792dcd7b50b274c,1827400d242174bd4cd6868ebb7f9196fb3709d2,64.0,36,16,2021-03-09 07:35:03,2020-03-12 16:24:33
863b43f098a2522f9f3690227792dcd7b50b274c,ce22014831e4db84b83ff83885236fb584c56bdb,184.0,120,4,2021-03-09 07:35:03,2020-05-19 08:26:21
