project_name,project_version,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
JodaOrg-joda-time,v2.10.6,4164.0,12991.0,898.0,10878.0,160970.0,8805.0,742.0,7668.0,325.0,373.0,0.0,178.0,89.0,5.0,1740.0,1011.0,139.0,1429.0,2.0,0.0,1071.0,0.0,10445.0,86274.0,3651.0,292.0,1597.0,1481.0,1100.0,7702.0,47922.0,15520.0,4602.0,11373.0,362.0,80.0,146.0,0.0,42625.0,35990.0
JodaOrg-joda-time,v2.2,4027.0,12350.0,877.0,10497.0,149461.0,8396.0,719.0,7295.0,316.0,369.0,0.0,178.0,89.0,9.0,1722.0,1003.0,136.0,1420.0,2.0,0.0,1041.0,0.0,10675.0,81440.0,3518.0,272.0,1584.0,1402.0,1073.0,6899.0,44556.0,14714.0,4299.0,10646.0,344.0,71.0,140.0,0.0,40774.0,35968.0
JodaOrg-joda-time,v2.3,4039.0,12358.0,877.0,10477.0,151002.0,8443.0,709.0,7351.0,305.0,371.0,0.0,178.0,89.0,9.0,1692.0,979.0,136.0,1390.0,2.0,0.0,1018.0,0.0,10618.0,82158.0,3523.0,273.0,1537.0,1405.0,1075.0,7018.0,45198.0,14760.0,4279.0,10692.0,347.0,74.0,140.0,0.0,40933.0,35969.0
JodaOrg-joda-time,v2.4,4124.0,12645.0,887.0,10652.0,155243.0,8615.0,730.0,7489.0,317.0,371.0,0.0,178.0,89.0,7.0,1713.0,989.0,136.0,1409.0,2.0,0.0,1040.0,0.0,10020.0,83778.0,3597.0,283.0,1569.0,1432.0,1090.0,7175.0,46195.0,15053.0,4499.0,10951.0,359.0,77.0,141.0,0.0,41722.0,35971.0
JodaOrg-joda-time,v2.5,4130.0,12740.0,893.0,10684.0,156484.0,8672.0,734.0,7542.0,321.0,371.0,0.0,178.0,89.0,7.0,1723.0,999.0,136.0,1418.0,2.0,0.0,1050.0,0.0,10227.0,84619.0,3615.0,285.0,1574.0,1450.0,1091.0,7490.0,46552.0,15154.0,4499.0,11053.0,361.0,78.0,143.0,0.0,42007.0,35987.0
JodaOrg-joda-time,v2.6,4127.0,12761.0,893.0,10705.0,156453.0,8675.0,733.0,7545.0,321.0,371.0,0.0,178.0,89.0,5.0,1722.0,996.0,136.0,1417.0,2.0,0.0,1056.0,0.0,10256.0,84722.0,3618.0,287.0,1582.0,1450.0,1093.0,7430.0,46580.0,15189.0,4499.0,11063.0,359.0,78.0,144.0,0.0,42042.0,35987.0
JodaOrg-joda-time,v2.7,4130.0,12774.0,893.0,10720.0,156883.0,8684.0,734.0,7553.0,321.0,371.0,0.0,178.0,89.0,5.0,1722.0,996.0,136.0,1417.0,2.0,0.0,1056.0,0.0,10275.0,84855.0,3626.0,287.0,1580.0,1455.0,1093.0,7444.0,46613.0,15206.0,4500.0,11081.0,359.0,78.0,145.0,0.0,42108.0,35987.0
JodaOrg-joda-time,v2.8,4133.0,12804.0,894.0,10737.0,157993.0,8703.0,735.0,7571.0,322.0,371.0,0.0,178.0,89.0,5.0,1723.0,996.0,136.0,1418.0,2.0,0.0,1056.0,0.0,10303.0,85000.0,3626.0,288.0,1581.0,1455.0,1093.0,7459.0,46749.0,15261.0,4504.0,11141.0,359.0,78.0,145.0,0.0,42165.0,35988.0
JodaOrg-joda-time,v2.8.1,4133.0,12804.0,894.0,10737.0,157993.0,8703.0,735.0,7571.0,322.0,371.0,0.0,178.0,89.0,5.0,1723.0,996.0,136.0,1418.0,2.0,0.0,1056.0,0.0,10303.0,85000.0,3626.0,288.0,1577.0,1455.0,1093.0,7459.0,46749.0,15261.0,4504.0,11141.0,359.0,78.0,145.0,0.0,42165.0,35988.0
JodaOrg-joda-time,v2.8.2,4133.0,12804.0,894.0,10737.0,157993.0,8703.0,735.0,7571.0,322.0,371.0,0.0,178.0,89.0,5.0,1723.0,996.0,136.0,1418.0,2.0,0.0,1056.0,0.0,10303.0,85000.0,3626.0,288.0,1577.0,1455.0,1093.0,7459.0,46749.0,15261.0,4504.0,11141.0,359.0,78.0,145.0,0.0,42165.0,35988.0
JodaOrg-joda-time,v2.9,4154.0,12881.0,896.0,10798.0,158923.0,8738.0,740.0,7600.0,325.0,373.0,0.0,178.0,89.0,5.0,1730.0,1001.0,136.0,1425.0,2.0,0.0,1061.0,0.0,10362.0,85485.0,3645.0,290.0,1588.0,1465.0,1096.0,7578.0,47280.0,15354.0,4564.0,11219.0,362.0,78.0,145.0,0.0,42334.0,35989.0
JodaOrg-joda-time,v2.9.1,4154.0,12883.0,896.0,10799.0,158940.0,8739.0,740.0,7601.0,325.0,373.0,0.0,178.0,89.0,5.0,1731.0,1002.0,136.0,1426.0,2.0,0.0,1062.0,0.0,10363.0,85494.0,3645.0,291.0,1588.0,1465.0,1096.0,7578.0,47298.0,15358.0,4568.0,11223.0,362.0,78.0,145.0,0.0,42349.0,35989.0
