project_name,project_link
Hive,https://github.com/apache/hive
Dbeaver,https://github.com/dbeaver/dbeaver
Camel,https://github.com/apache/camel
Redisson,https://github.com/redisson/redisson
Cxf,https://github.com/apache/cxf
Java-tron,https://github.com/tronprotocol/java-tron
Hadoop,https://github.com/apache/hadoop
Flink,https://github.com/apache/flink
Alluxio,https://github.com/Alluxio/alluxio
Beam,https://github.com/apache/beam
Atmosphere,https://github.com/Atmosphere/atmosphere
Assertj-core,https://github.com/assertj/assertj-core
Activemq-artemis ,https://github.com/apache/activemq-artemis
AxonFramework,https://github.com/AxonFramework/AxonFramework
Byte-buddy,https://github.com/raphw/byte-buddy
Cas,https://github.com/apereo/cas
karaf,https://github.com/apache/karaf
Storm,https://github.com/apache/storm
Spring-framework,https://github.com/spring-projects/spring-framework
Spring-security,https://github.com/spring-projects/spring-security
Nifi,https://github.com/apache/nifi
Cassandra,https://github.com/apache/cassandra
Conversations,https://github.com/sanjibnarzary/Conversations
Okhttp,https://github.com/square/okhttp
Openapi-generator,https://github.com/OpenAPITools/openapi-generator
Testcontainers-java,https://github.com/testcontainers/testcontainers-java
Traccar,https://github.com/traccar/traccar
 Activemq,https://github.com/apache/activemq
Orientdb,https://github.com/orientechnologies/orientdb
Spotbugs,https://github.com/spotbugs/spotbugs
Pdfbox,https://github.com/apache/pdfbox
Tika,https://github.com/apache/tika
Rest-assured,https://github.com/rest-assured/rest-assured
Guacamole-client,https://github.com/apache/guacamole-client
Eclim,https://github.com/ervandew/eclim
Hawtio,https://github.com/hawtio/hawtio
Pmd,https://github.com/pmd/pmd
Bisq,https://github.com/bisq-network/bisq
Debezium,https://github.com/debezium/debezium
Speedment,https://github.com/speedment/speedment
Fresco,https://github.com/facebook/fresco
Maxwell,https://github.com/zendesk/maxwell
Calcite,https://github.com/apache/calcite
Atomix,https://github.com/atomix/atomix
Powermock,https://github.com/powermock/powermock
Aeron,https://github.com/real-logic/aeron
Dropwizard,https://github.com/dropwizard/dropwizard
Apktool,https://github.com/iBotPeaches/Apktool
