0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
algo_exhaustive_basicmq,feature_stringLiteralsQty_mean,feature_rfc_mean,feature_staticMethods_mean,feature_maxNestedBlocks_mean,feature_protectedMethods_mean,feature_loc_mean,feature_loopQty_mean,feature_modifiers_mean,feature_uniqueWordsQty_mean,feature_finalMethods_mean,feature_wmc_mean,feature_protectedFields_mean,feature_abstractMethods_mean,feature_synchronizedMethods_mean,feature_totalMethods_mean,feature_publicMethods_mean,feature_dit_mean,feature_assignmentsQty_mean,feature_nosi_mean,feature_rfc_std
algo_exhaustive_turbomq,feature_rfc_mean,feature_stringLiteralsQty_mean,feature_protectedMethods_mean,feature_maxNestedBlocks_mean,feature_loopQty_mean,feature_staticMethods_mean,feature_finalMethods_mean,feature_modifiers_mean,feature_loc_mean,feature_wmc_mean,feature_uniqueWordsQty_mean,feature_rfc_std,feature_totalMethods_mean,feature_protectedFields_mean,feature_publicMethods_mean,feature_abstractMethods_mean,feature_nosi_mean,feature_dit_mean,feature_loopQty_std,feature_assignmentsQty_mean
algo_exhaustive_turbomqincr,feature_rfc_mean,feature_stringLiteralsQty_mean,feature_protectedMethods_mean,feature_staticMethods_mean,feature_loopQty_mean,feature_maxNestedBlocks_mean,feature_finalMethods_mean,feature_loc_mean,feature_modifiers_mean,feature_wmc_mean,feature_uniqueWordsQty_mean,feature_rfc_std,feature_nosi_mean,feature_totalMethods_mean,feature_abstractMethods_mean,feature_protectedFields_mean,feature_publicMethods_mean,feature_loopQty_std,feature_synchronizedMethods_mean,feature_dit_mean
algo_exhaustive_turbomqincrw,feature_rfc_mean,feature_stringLiteralsQty_mean,feature_loopQty_mean,feature_staticMethods_mean,feature_maxNestedBlocks_mean,feature_protectedMethods_mean,feature_loc_mean,feature_modifiers_mean,feature_wmc_mean,feature_uniqueWordsQty_mean,feature_finalMethods_mean,feature_protectedFields_mean,feature_publicMethods_mean,feature_totalMethods_mean,feature_assignmentsQty_mean,feature_dit_mean,feature_synchronizedMethods_mean,feature_nosi_mean,feature_abstractMethods_mean,feature_loopQty_std
algo_exhaustive_turbomqw,feature_stringLiteralsQty_mean,feature_rfc_mean,feature_staticMethods_mean,feature_protectedMethods_mean,feature_maxNestedBlocks_mean,feature_loopQty_mean,feature_loc_mean,feature_finalMethods_mean,feature_wmc_mean,feature_modifiers_mean,feature_uniqueWordsQty_mean,feature_nosi_mean,feature_protectedFields_mean,feature_totalMethods_mean,feature_publicMethods_mean,feature_abstractMethods_mean,feature_rfc_std,feature_assignmentsQty_mean,feature_loopQty_std,feature_synchronizedMethods_mean
algo_ga_basicmq,feature_rfc_mean,feature_stringLiteralsQty_mean,feature_protectedMethods_mean,feature_staticMethods_mean,feature_loopQty_mean,feature_maxNestedBlocks_mean,feature_finalMethods_mean,feature_loc_mean,feature_wmc_mean,feature_uniqueWordsQty_mean,feature_modifiers_mean,feature_protectedFields_mean,feature_rfc_std,feature_totalMethods_mean,feature_loopQty_std,feature_publicMethods_mean,feature_dit_mean,feature_abstractMethods_mean,feature_synchronizedMethods_mean,feature_assignmentsQty_mean
algo_ga_turbomq,feature_stringLiteralsQty_mean,feature_rfc_mean,feature_staticMethods_mean,feature_maxNestedBlocks_mean,feature_protectedMethods_mean,feature_loopQty_mean,feature_loc_mean,feature_modifiers_mean,feature_finalMethods_mean,feature_uniqueWordsQty_mean,feature_wmc_mean,feature_protectedFields_mean,feature_synchronizedMethods_mean,feature_totalMethods_mean,feature_publicMethods_mean,feature_abstractMethods_mean,feature_assignmentsQty_mean,feature_rfc_std,feature_dit_mean,feature_nosi_mean
algo_ga_turbomqincr,feature_stringLiteralsQty_mean,feature_rfc_mean,feature_staticMethods_mean,feature_protectedMethods_mean,feature_maxNestedBlocks_mean,feature_loopQty_mean,feature_loc_mean,feature_finalMethods_mean,feature_modifiers_mean,feature_wmc_mean,feature_uniqueWordsQty_mean,feature_protectedFields_mean,feature_totalMethods_mean,feature_abstractMethods_mean,feature_publicMethods_mean,feature_nosi_mean,feature_rfc_std,feature_assignmentsQty_mean,feature_synchronizedMethods_mean,feature_loopQty_std
algo_ga_turbomqincrw,feature_stringLiteralsQty_mean,feature_rfc_mean,feature_staticMethods_mean,feature_maxNestedBlocks_mean,feature_loopQty_mean,feature_protectedMethods_mean,feature_loc_mean,feature_wmc_mean,feature_modifiers_mean,feature_uniqueWordsQty_mean,feature_finalMethods_mean,feature_abstractMethods_mean,feature_protectedFields_mean,feature_publicMethods_mean,feature_totalMethods_mean,feature_assignmentsQty_mean,feature_dit_mean,feature_rfc_std,feature_mathOperationsQty_mean,feature_nosi_mean
algo_ga_turbomqw,feature_stringLiteralsQty_mean,feature_rfc_mean,feature_protectedMethods_mean,feature_staticMethods_mean,feature_loopQty_mean,feature_maxNestedBlocks_mean,feature_modifiers_mean,feature_loc_mean,feature_wmc_mean,feature_finalMethods_mean,feature_protectedFields_mean,feature_uniqueWordsQty_mean,feature_abstractMethods_mean,feature_publicMethods_mean,feature_totalMethods_mean,feature_nosi_mean,feature_assignmentsQty_mean,feature_rfc_std,feature_loopQty_std,feature_synchronizedMethods_mean
