project_name,project_version,method,calculator,MoJo_results,len,accuracy,feature_cbo_max,feature_wmc_max,feature_dit_max,feature_rfc_max,feature_lcom_max,feature_totalMethods_max,feature_staticMethods_max,feature_publicMethods_max,feature_privateMethods_max,feature_protectedMethods_max,feature_defaultMethods_max,feature_abstractMethods_max,feature_finalMethods_max,feature_synchronizedMethods_max,feature_totalFields_max,feature_staticFields_max,feature_publicFields_max,feature_privateFields_max,feature_protectedFields_max,feature_defaultFields_max,feature_finalFields_max,feature_synchronizedFields_max,feature_nosi_max,feature_loc_max,feature_returnQty_max,feature_loopQty_max,feature_comparisonsQty_max,feature_tryCatchQty_max,feature_parenthesizedExpsQty_max,feature_stringLiteralsQty_max,feature_numbersQty_max,feature_assignmentsQty_max,feature_mathOperationsQty_max,feature_variablesQty_max,feature_maxNestedBlocks_max,feature_anonymousClassesQty_max,feature_subClassesQty_max,feature_lambdasQty_max,feature_uniqueWordsQty_max,feature_modifiers_max,feature_cbo_mean,feature_wmc_mean,feature_dit_mean,feature_rfc_mean,feature_lcom_mean,feature_totalMethods_mean,feature_staticMethods_mean,feature_publicMethods_mean,feature_privateMethods_mean,feature_protectedMethods_mean,feature_defaultMethods_mean,feature_abstractMethods_mean,feature_finalMethods_mean,feature_synchronizedMethods_mean,feature_totalFields_mean,feature_staticFields_mean,feature_publicFields_mean,feature_privateFields_mean,feature_protectedFields_mean,feature_defaultFields_mean,feature_finalFields_mean,feature_synchronizedFields_mean,feature_nosi_mean,feature_loc_mean,feature_returnQty_mean,feature_loopQty_mean,feature_comparisonsQty_mean,feature_tryCatchQty_mean,feature_parenthesizedExpsQty_mean,feature_stringLiteralsQty_mean,feature_numbersQty_mean,feature_assignmentsQty_mean,feature_mathOperationsQty_mean,feature_variablesQty_mean,feature_maxNestedBlocks_mean,feature_anonymousClassesQty_mean,feature_subClassesQty_mean,feature_lambdasQty_mean,feature_uniqueWordsQty_mean,feature_modifiers_mean,feature_cbo_std,feature_wmc_std,feature_dit_std,feature_rfc_std,feature_lcom_std,feature_totalMethods_std,feature_staticMethods_std,feature_publicMethods_std,feature_privateMethods_std,feature_protectedMethods_std,feature_defaultMethods_std,feature_abstractMethods_std,feature_finalMethods_std,feature_synchronizedMethods_std,feature_totalFields_std,feature_staticFields_std,feature_publicFields_std,feature_privateFields_std,feature_protectedFields_std,feature_defaultFields_std,feature_finalFields_std,feature_synchronizedFields_std,feature_nosi_std,feature_loc_std,feature_returnQty_std,feature_loopQty_std,feature_comparisonsQty_std,feature_tryCatchQty_std,feature_parenthesizedExpsQty_std,feature_stringLiteralsQty_std,feature_numbersQty_std,feature_assignmentsQty_std,feature_mathOperationsQty_std,feature_variablesQty_std,feature_maxNestedBlocks_std,feature_anonymousClassesQty_std,feature_subClassesQty_std,feature_lambdasQty_std,feature_uniqueWordsQty_std,feature_modifiers_std,feature_cbo_sum,feature_wmc_sum,feature_dit_sum,feature_rfc_sum,feature_lcom_sum,feature_totalMethods_sum,feature_staticMethods_sum,feature_publicMethods_sum,feature_privateMethods_sum,feature_protectedMethods_sum,feature_defaultMethods_sum,feature_abstractMethods_sum,feature_finalMethods_sum,feature_synchronizedMethods_sum,feature_totalFields_sum,feature_staticFields_sum,feature_publicFields_sum,feature_privateFields_sum,feature_protectedFields_sum,feature_defaultFields_sum,feature_finalFields_sum,feature_synchronizedFields_sum,feature_nosi_sum,feature_loc_sum,feature_returnQty_sum,feature_loopQty_sum,feature_comparisonsQty_sum,feature_tryCatchQty_sum,feature_parenthesizedExpsQty_sum,feature_stringLiteralsQty_sum,feature_numbersQty_sum,feature_assignmentsQty_sum,feature_mathOperationsQty_sum,feature_variablesQty_sum,feature_maxNestedBlocks_sum,feature_anonymousClassesQty_sum,feature_subClassesQty_sum,feature_lambdasQty_sum,feature_uniqueWordsQty_sum,feature_modifiers_sum
cryptomator-cryptomator,1.5.0-beta3,exhaustive,turbomqincr,172,222,0.22522522522522526,41.0,49.0,6.0,51.0,336.0,36.0,17.0,33.0,10.0,3.0,2.0,9.0,0.0,2.0,26.0,13.0,12.0,24.0,3.0,0.0,25.0,0.0,22.0,231.0,34.0,3.0,5.0,6.0,15.0,40.0,43.0,32.0,27.0,33.0,3.0,2.0,7.0,11.0,207.0,1025.0,10.147368421052633,7.63157894736842,1.2473684210526317,11.673684210526314,13.952631578947368,5.5,0.6789473684210526,3.1421052631578954,0.8842105263157894,0.036842105263157884,0.08421052631578947,0.24210526315789474,0.0,0.036842105263157884,3.5947368421052635,0.9052631578947368,0.43157894736842106,3.131578947368421,0.021052631578947368,0.0,3.1052631578947367,0.0,1.7578947368421052,58.978947368421046,3.131578947368421,0.1263157894736842,0.2684210526315789,0.4473684210526316,0.11052631578947368,4.0578947368421066,1.4105263157894736,5.957894736842105,0.5052631578947369,6.094736842105262,0.5263157894736842,0.036842105263157884,0.23157894736842105,0.5842105263157895,36.305263157894736,92.5842105263158,7.7861203616967165,7.620013514380587,0.664176636361518,11.355200291336265,42.13687533360085,5.087332540826517,2.028129940466421,4.137301703488208,1.723557032515329,0.25965081622424163,0.3141515118145746,1.1288969141729874,0.0,0.2596508162242425,4.786331252807145,1.7063447378076797,1.5199041433082054,4.036677431936015,0.22905129244288835,0.0,4.257514201862252,0.0,3.398461492787813,45.29444619408609,4.402807261219669,0.40478893221474416,0.7945266679032656,1.0615295050081188,1.1047730676703895,6.268407035391683,4.359493045722855,6.705309890646504,2.1620766238056643,6.547463961100969,0.9466410153372196,0.21506865229943145,0.8476875682178273,1.5671100885126856,29.34201663837323,292.82479504976084,1928.0,1450.0,237.0,2218.0,2651.0,1045.0,129.0,597.0,168.0,7.0,16.0,46.0,0.0,7.0,683.0,172.0,82.0,595.0,4.0,0.0,590.0,0.0,334.0,11206.0,595.0,24.0,51.0,85.0,21.0,771.0,268.0,1132.0,96.0,1158.0,100.0,7.0,44.0,111.0,6898.0,17591.0
cryptomator-cryptomator,1.5.0-rc1,exhaustive,turbomq,163,222,0.2657657657657657,40.0,53.0,7.0,51.0,458.0,40.0,16.0,37.0,10.0,3.0,2.0,11.0,0.0,2.0,26.0,13.0,12.0,24.0,3.0,0.0,25.0,0.0,22.0,237.0,38.0,3.0,6.0,6.0,15.0,40.0,43.0,32.0,27.0,33.0,3.0,2.0,7.0,12.0,207.0,1025.0,10.087628865979381,7.639175257731958,1.2474226804123711,11.711340206185564,13.90721649484536,5.5103092783505145,0.6443298969072165,3.1907216494845363,0.8762886597938144,0.041237113402061855,0.08762886597938144,0.2422680412371134,0.0,0.03608247422680412,3.6030927835051543,0.8969072164948454,0.4278350515463917,3.1391752577319587,0.020618556701030927,0.0,3.1030927835051547,0.0,1.7938144329896908,58.8659793814433,3.1494845360824733,0.11855670103092784,0.27319587628865977,0.4587628865979381,0.10824742268041238,4.005154639175259,1.381443298969072,5.963917525773196,0.4896907216494845,6.103092783505153,0.5257731958762887,0.03608247422680412,0.2371134020618557,0.5773195876288659,36.407216494845365,95.96907216494844,7.716314158531393,7.651320543019179,0.6983463492597233,11.516565012933825,45.49362706020237,5.121568423470147,1.863834649438812,4.291178624142288,1.7320970665208124,0.2661382154136105,0.3179460416172132,1.164263653663882,0.0,0.2569996540431559,4.791204238343716,1.7214558008407213,1.5226947933814348,4.036903771752535,0.22668512060249826,0.0,4.245044745688907,0.0,3.4353787019031965,45.234593774083,4.4817794326784215,0.3960504225257708,0.8223579725453011,1.0583252560678122,1.0933780997599931,6.278920588631954,4.318758454698822,6.671704780421608,2.1407463003597957,6.549903351076644,0.9395488224377364,0.2128930096956357,0.8730055982856616,1.5988016985942357,29.093099612480213,297.62912741213506,1957.0,1482.0,242.0,2272.0,2698.0,1069.0,125.0,619.0,170.0,8.0,17.0,47.0,0.0,7.0,699.0,174.0,83.0,609.0,4.0,0.0,602.0,0.0,348.0,11420.0,611.0,23.0,53.0,89.0,21.0,777.0,268.0,1157.0,95.0,1184.0,102.0,7.0,46.0,112.0,7063.0,18618.0
cryptomator-cryptomator,1.5.0-rc2,exhaustive,turbomqincr,162,222,0.2702702702702703,40.0,53.0,7.0,51.0,458.0,40.0,16.0,37.0,10.0,3.0,2.0,11.0,0.0,2.0,26.0,13.0,12.0,24.0,3.0,0.0,25.0,0.0,25.0,237.0,38.0,3.0,6.0,6.0,15.0,40.0,43.0,32.0,27.0,33.0,3.0,2.0,7.0,12.0,207.0,1025.0,10.09278350515464,7.6494845360824755,1.2474226804123711,11.737113402061857,13.974226804123713,5.515463917525773,0.6443298969072165,3.1958762886597936,0.8762886597938144,0.041237113402061855,0.08762886597938144,0.2422680412371134,0.0,0.03608247422680412,3.6030927835051543,0.8969072164948454,0.4278350515463917,3.1391752577319587,0.020618556701030927,0.0,3.1030927835051547,0.0,1.8092783505154642,58.922680412371136,3.154639175257732,0.11855670103092784,0.27319587628865977,0.4587628865979381,0.10824742268041238,4.030927835051546,1.381443298969072,5.969072164948454,0.4896907216494845,6.108247422680413,0.5257731958762887,0.03608247422680412,0.2371134020618557,0.5824742268041238,36.45876288659794,95.96907216494844,7.713903031797536,7.668712069874604,0.6983463492597233,11.534941910934256,45.59797690801349,5.129642397947023,1.863834649438812,4.297581378499244,1.7320970665208124,0.2661382154136105,0.3179460416172132,1.164263653663882,0.0,0.2569996540431559,4.791204238343716,1.7214558008407213,1.5226947933814348,4.036903771752535,0.22668512060249826,0.0,4.245044745688907,0.0,3.5321933908124037,45.25997672664336,4.496032116367796,0.3960504225257708,0.8223579725453011,1.0583252560678122,1.0933780997599931,6.344927570147114,4.318758454698822,6.670565781050724,2.1407463003597957,6.548633051257282,0.9395488224377364,0.2128930096956357,0.8730055982856616,1.5985427501955554,29.10977704664094,297.62912741213506,1958.0,1484.0,242.0,2277.0,2711.0,1070.0,125.0,620.0,170.0,8.0,17.0,47.0,0.0,7.0,699.0,174.0,83.0,609.0,4.0,0.0,602.0,0.0,351.0,11431.0,612.0,23.0,53.0,89.0,21.0,782.0,268.0,1158.0,95.0,1185.0,102.0,7.0,46.0,113.0,7073.0,18618.0
cryptomator-cryptomator,1.5.0-rc3,exhaustive,turbomq,166,222,0.25225225225225223,40.0,53.0,7.0,51.0,458.0,40.0,16.0,37.0,10.0,3.0,2.0,11.0,0.0,2.0,26.0,13.0,12.0,24.0,3.0,0.0,25.0,0.0,25.0,237.0,38.0,3.0,6.0,6.0,15.0,40.0,43.0,32.0,27.0,33.0,3.0,2.0,7.0,12.0,207.0,1025.0,10.09278350515464,7.6494845360824755,1.2474226804123711,11.737113402061857,13.974226804123713,5.515463917525773,0.6443298969072165,3.1958762886597936,0.8762886597938144,0.041237113402061855,0.08762886597938144,0.2422680412371134,0.0,0.03608247422680412,3.6030927835051543,0.8969072164948454,0.4278350515463917,3.1391752577319587,0.020618556701030927,0.0,3.1030927835051547,0.0,1.8092783505154642,58.922680412371136,3.154639175257732,0.11855670103092784,0.27319587628865977,0.4587628865979381,0.10824742268041238,4.030927835051546,1.381443298969072,5.969072164948454,0.4896907216494845,6.108247422680413,0.5257731958762887,0.03608247422680412,0.2371134020618557,0.5824742268041238,36.46907216494846,95.96907216494844,7.713903031797536,7.668712069874604,0.6983463492597233,11.534941910934256,45.59797690801349,5.129642397947023,1.863834649438812,4.297581378499244,1.7320970665208124,0.2661382154136105,0.3179460416172132,1.164263653663882,0.0,0.2569996540431559,4.791204238343716,1.7214558008407213,1.5226947933814348,4.036903771752535,0.22668512060249826,0.0,4.245044745688907,0.0,3.5321933908124037,45.25997672664336,4.496032116367796,0.3960504225257708,0.8223579725453011,1.0583252560678122,1.0933780997599931,6.344927570147114,4.318758454698822,6.670565781050724,2.1407463003597957,6.548633051257282,0.9395488224377364,0.2128930096956357,0.8730055982856616,1.5985427501955554,29.110679844344872,297.62912741213506,1958.0,1484.0,242.0,2277.0,2711.0,1070.0,125.0,620.0,170.0,8.0,17.0,47.0,0.0,7.0,699.0,174.0,83.0,609.0,4.0,0.0,602.0,0.0,351.0,11431.0,612.0,23.0,53.0,89.0,21.0,782.0,268.0,1158.0,95.0,1185.0,102.0,7.0,46.0,113.0,7075.0,18618.0
cryptomator-cryptomator,1.5.1,ga,turbomqw,165,222,0.2567567567567568,40.0,58.0,7.0,51.0,632.0,45.0,16.0,42.0,10.0,3.0,2.0,12.0,0.0,2.0,26.0,13.0,12.0,24.0,3.0,0.0,25.0,0.0,25.0,257.0,42.0,3.0,7.0,6.0,15.0,40.0,43.0,32.0,27.0,33.0,3.0,2.0,7.0,12.0,207.0,1025.0,10.128205128205126,7.682051282051282,1.2461538461538462,11.774358974358973,14.8974358974359,5.553846153846153,0.6410256410256411,3.2307692307692313,0.8820512820512819,0.04102564102564103,0.08717948717948718,0.24615384615384614,0.0,0.035897435897435895,3.6051282051282048,0.8974358974358975,0.4256410256410256,3.1435897435897435,0.020512820512820516,0.0,3.107692307692308,0.0,1.8051282051282047,59.13333333333333,3.1794871794871797,0.11794871794871795,0.2717948717948718,0.4615384615384616,0.1076923076923077,4.066666666666666,1.3743589743589744,5.9692307692307685,0.4974358974358975,6.107692307692307,0.5179487179487179,0.035897435897435895,0.2358974358974359,0.5846153846153846,36.594871794871786,95.48205128205127,7.7518853283103075,7.829460350420068,0.6967694799344473,11.598096136615894,55.076888557591154,5.312979931206709,1.8595972777517231,4.498920480260587,1.729500225002714,0.2654678312757339,0.3171876149571569,1.210317789453286,0.0,0.25634945089227834,4.814387196873229,1.7170291982889796,1.5190742481867343,4.068979638034534,0.2261049468714379,0.0,4.272145735246862,0.0,3.5352385648330467,45.75790919934534,4.655513275608919,0.3951195792322599,0.851302433917692,1.0563054132638006,1.0905840238536657,6.3959286878504775,4.308749067915994,6.705058632174968,2.1355468624681397,6.584399894196363,0.9324813905640944,0.21235932819573025,0.8709182201145014,1.5946977966526117,29.193717979083143,296.93894237860627,1975.0,1498.0,243.0,2296.0,2905.0,1083.0,125.0,630.0,172.0,8.0,17.0,48.0,0.0,7.0,703.0,175.0,83.0,613.0,4.0,0.0,606.0,0.0,352.0,11531.0,620.0,23.0,53.0,90.0,21.0,793.0,268.0,1164.0,97.0,1191.0,101.0,7.0,46.0,114.0,7136.0,18619.0
cryptomator-cryptomator,1.5.2,exhaustive,turbomq,98,222,0.5585585585585586,40.0,59.0,7.0,54.0,630.0,45.0,16.0,42.0,10.0,3.0,2.0,12.0,0.0,2.0,26.0,13.0,12.0,24.0,3.0,0.0,25.0,0.0,25.0,268.0,42.0,3.0,8.0,6.0,15.0,40.0,43.0,33.0,27.0,33.0,3.0,2.0,7.0,12.0,209.0,1025.0,10.142857142857142,7.566326530612245,1.2448979591836735,11.719387755102039,15.224489795918366,5.576530612244898,0.6428571428571429,3.2448979591836733,0.8826530612244898,0.040816326530612235,0.08673469387755102,0.25,0.0,0.03571428571428571,3.622448979591837,0.903061224489796,0.42857142857142855,3.1581632653061225,0.020408163265306117,0.0,3.127551020408163,0.0,1.7806122448979589,59.01020408163265,3.071428571428572,0.1173469387755102,0.2704081632653061,0.4540816326530612,0.10714285714285714,4.051020408163265,1.3724489795918366,5.9642857142857135,0.4897959183673469,6.112244897959183,0.5204081632653061,0.03571428571428571,0.2346938775510204,0.5816326530612245,36.576530612244895,95.0,7.8086080049109245,7.795507501481322,0.69520296965811,11.725397883256235,55.1558222720646,5.339668692697708,1.8742519875461008,4.50995758576859,1.7310157391753047,0.264802484570371,0.3164345454582877,1.2252681548469508,0.0,0.255704155978379,4.8559037419650055,1.741143395713712,1.5325527556067824,4.09884094860068,0.2255292049646647,0.0,4.319194621323605,0.0,3.5326799056157974,46.08754098239883,4.609355035810745,0.3941951905426945,0.8906015464839968,1.0538980992289309,1.0878112581387165,6.424907380722572,4.297769978983911,6.755339768258548,2.1327478265070243,6.643883098527317,0.9307244692585496,0.2118296364340806,0.8688456285907731,1.6167296486029763,29.38828059119401,296.25346043635136,1988.0,1483.0,244.0,2297.0,2984.0,1093.0,126.0,636.0,173.0,8.0,17.0,49.0,0.0,7.0,710.0,177.0,84.0,619.0,4.0,0.0,613.0,0.0,349.0,11566.0,602.0,23.0,53.0,89.0,21.0,794.0,269.0,1169.0,96.0,1198.0,102.0,7.0,46.0,114.0,7169.0,18620.0
cryptomator-cryptomator,1.5.3,exhaustive,basicmq,93,222,0.5810810810810811,40.0,59.0,7.0,54.0,630.0,45.0,16.0,42.0,10.0,3.0,2.0,12.0,0.0,2.0,26.0,13.0,12.0,24.0,3.0,0.0,25.0,0.0,25.0,268.0,42.0,3.0,8.0,6.0,15.0,40.0,43.0,33.0,27.0,33.0,3.0,2.0,7.0,12.0,209.0,1025.0,10.142857142857142,7.566326530612245,1.2448979591836735,11.719387755102039,15.224489795918366,5.576530612244898,0.6428571428571429,3.2448979591836733,0.8826530612244898,0.040816326530612235,0.08673469387755102,0.25,0.0,0.03571428571428571,3.627551020408163,0.903061224489796,0.42857142857142855,3.1632653061224483,0.020408163265306117,0.0,3.1326530612244903,0.0,1.7806122448979589,59.0561224489796,3.071428571428572,0.1173469387755102,0.2704081632653061,0.4540816326530612,0.10714285714285714,4.051020408163265,1.3724489795918366,5.969387755102041,0.4897959183673469,6.117346938775509,0.5204081632653061,0.03571428571428571,0.2346938775510204,0.5816326530612245,36.591836734693885,95.0,7.8086080049109245,7.795507501481322,0.69520296965811,11.725397883256235,55.1558222720646,5.339668692697708,1.8742519875461008,4.50995758576859,1.7310157391753047,0.264802484570371,0.3164345454582877,1.2252681548469508,0.0,0.255704155978379,4.867375022819607,1.741143395713712,1.5325527556067824,4.104266391991529,0.2255292049646647,0.0,4.324379914290459,0.0,3.5326799056157974,46.161610349030255,4.609355035810745,0.3941951905426945,0.8906015464839968,1.0538980992289309,1.0878112581387165,6.424907380722572,4.297769978983911,6.756503543701759,2.1327478265070243,6.650352225261598,0.9307244692585496,0.2118296364340806,0.8688456285907731,1.6167296486029763,29.40759948343856,296.25346043635136,1988.0,1483.0,244.0,2297.0,2984.0,1093.0,126.0,636.0,173.0,8.0,17.0,49.0,0.0,7.0,711.0,177.0,84.0,620.0,4.0,0.0,614.0,0.0,349.0,11575.0,602.0,23.0,53.0,89.0,21.0,794.0,269.0,1170.0,96.0,1199.0,102.0,7.0,46.0,114.0,7172.0,18620.0
cryptomator-cryptomator,1.5.4,hillclimbing,turbomqw,95,222,0.572072072072072,40.0,59.0,4.0,54.0,630.0,45.0,16.0,42.0,10.0,5.0,2.0,12.0,0.0,2.0,26.0,13.0,12.0,24.0,3.0,0.0,25.0,0.0,25.0,268.0,42.0,2.0,8.0,6.0,15.0,40.0,43.0,33.0,27.0,33.0,3.0,2.0,7.0,9.0,210.0,1025.0,10.17,7.5,1.235,11.505,15.77,5.635,0.665,3.245,0.905,0.065,0.085,0.245,0.0,0.035,3.7,0.9,0.435,3.23,0.02,0.0,3.2,0.0,1.765,58.845,3.095,0.115,0.275,0.475,0.1,3.84,1.355,5.86,0.47,6.055,0.52,0.035,0.215,0.55,36.49,93.12,7.960398212306497,7.736229458279776,0.5929019002470668,11.5044223526582,55.28343686819596,5.3773931215710435,1.947237445290561,4.515186546283411,1.7696421010557897,0.4378740325044503,0.3134746108671183,1.2133988146595014,0.0,0.2531708462420871,4.931694236284422,1.745057629608047,1.5419673526319917,4.148875248684361,0.22326944759898507,0.0,4.3881979680770025,0.0,3.5030173641114484,44.90236169097494,4.627422630472063,0.36391920247446097,0.8906973158950886,1.0840900591193567,1.075071576441475,6.066167815004709,4.259069542380609,6.621147784935008,2.1122043071577825,6.65835138875085,0.9348635457895608,0.20974979111877984,0.7885964887764564,1.4519091572839629,29.041469223738776,293.5575339326912,2034.0,1500.0,247.0,2301.0,3154.0,1127.0,133.0,649.0,181.0,13.0,17.0,49.0,0.0,7.0,740.0,180.0,87.0,646.0,4.0,0.0,640.0,0.0,353.0,11769.0,619.0,23.0,55.0,95.0,20.0,768.0,271.0,1172.0,94.0,1211.0,104.0,7.0,43.0,110.0,7298.0,18624.0
cryptomator-cryptomator,1.5.5,exhaustive,turbomqw,96,222,0.5675675675675675,40.0,59.0,4.0,54.0,630.0,45.0,16.0,42.0,10.0,5.0,2.0,12.0,0.0,2.0,26.0,13.0,12.0,24.0,3.0,0.0,25.0,0.0,25.0,268.0,42.0,2.0,8.0,6.0,15.0,40.0,43.0,36.0,27.0,42.0,3.0,2.0,7.0,9.0,210.0,1025.0,10.37878787878788,7.7474747474747465,1.2323232323232325,11.873737373737375,16.065656565656564,5.787878787878787,0.6818181818181818,3.3383838383838382,0.9393939393939394,0.06565656565656566,0.08585858585858586,0.26262626262626265,0.0,0.03535353535353535,3.808080808080808,0.914141414141414,0.4696969696969697,3.303030303030303,0.020202020202020204,0.0,3.267676767676768,0.0,1.8030303030303032,60.631313131313135,3.1868686868686873,0.11616161616161615,0.2777777777777778,0.4898989898989899,0.101010101010101,3.904040404040404,1.5404040404040404,6.085858585858586,0.4747474747474748,6.292929292929293,0.5656565656565656,0.03535353535353535,0.2222222222222222,0.5757575757575758,37.72222222222222,99.22222222222223,8.080995726042634,7.789545817798519,0.593163810559973,11.70141286847424,55.548129150357596,5.388034736363382,1.957615022396233,4.535437611639872,1.7844118132177036,0.4400419029796967,0.31494423034150204,1.2347412527060793,0.0,0.25442804625960275,5.003910689283964,1.7503305040196104,1.6360751937750917,4.1457079400206345,0.22439079307360768,0.0,4.390121080689274,0.0,3.5188529091212963,45.280405879834674,4.634940057101396,0.3655764020383758,0.8947739476379996,1.093310991326493,1.0804675571387747,6.096173705372496,4.900625034038772,6.892039255304037,2.122365476324736,7.0520221029976975,0.9307124737883896,0.2107820253142087,0.7940841617551403,1.4607619810556562,29.51844663059629,302.14628371461015,2055.0,1534.0,244.0,2351.0,3181.0,1146.0,135.0,661.0,186.0,13.0,17.0,52.0,0.0,7.0,754.0,181.0,93.0,654.0,4.0,0.0,647.0,0.0,357.0,12005.0,631.0,23.0,55.0,97.0,20.0,773.0,305.0,1205.0,94.0,1246.0,112.0,7.0,44.0,114.0,7469.0,19646.0
cryptomator-cryptomator,1.5.6,ga,turbomqincr,100,222,0.5495495495495495,40.0,59.0,4.0,54.0,630.0,45.0,16.0,42.0,10.0,5.0,2.0,12.0,0.0,2.0,26.0,13.0,12.0,24.0,3.0,0.0,25.0,0.0,25.0,268.0,42.0,2.0,8.0,6.0,15.0,40.0,43.0,37.0,27.0,43.0,3.0,2.0,7.0,9.0,210.0,1025.0,10.345,7.695,1.235,11.785,15.97,5.75,0.68,3.325,0.93,0.065,0.085,0.26,0.0,0.035,3.795,0.915,0.47,3.28,0.02,0.0,3.25,0.0,1.79,60.255,3.17,0.115,0.275,0.485,0.1,3.875,1.525,6.05,0.47,6.255,0.56,0.04,0.22,0.57,37.735,98.32,8.082239042474459,7.802330215001134,0.5929019002470668,11.72330818386471,55.33351688129236,5.387263968409811,1.948482207917964,4.526790714275868,1.7778932821215876,0.4378740325044503,0.3134746108671183,1.2288001256281351,0.0,0.25317084624208713,5.025860260371745,1.7871048426415712,1.6500647162578772,4.15305179307698,0.22326944759898507,0.0,4.416449379946309,0.0,3.5053297538772377,45.400174606176975,4.622546884401758,0.36391920247446097,0.8906973158950886,1.0889001412379125,1.075071576441475,6.0814715721124655,4.878356981010193,6.921490820327612,2.1122043071577825,7.084555712833456,0.9277410832705104,0.22055207113151745,0.7903945964456319,1.454537174485343,29.42744719205535,300.75987116053614,2069.0,1539.0,247.0,2357.0,3194.0,1150.0,136.0,665.0,186.0,13.0,17.0,52.0,0.0,7.0,759.0,183.0,94.0,656.0,4.0,0.0,650.0,0.0,358.0,12051.0,634.0,23.0,55.0,97.0,20.0,775.0,305.0,1210.0,94.0,1251.0,112.0,8.0,44.0,114.0,7547.0,19664.0
