project_name,version,method,MoJo_results
aws-aws-sdk-java-v2,2.9.9,hillclimbing,1421
aws-aws-sdk-java-v2,2.9.9,ga,1646
aws-aws-sdk-java-v2,2.9.9,exhaustive,1674
aws-aws-sdk-java-v2,2.9.8,hillclimbing,1406
aws-aws-sdk-java-v2,2.9.8,ga,1722
aws-aws-sdk-java-v2,2.9.8,exhaustive,1599
aws-aws-sdk-java-v2,2.9.7,hillclimbing,1541
aws-aws-sdk-java-v2,2.9.7,ga,1746
aws-aws-sdk-java-v2,2.9.7,exhaustive,1453
aws-aws-sdk-java-v2,2.9.6,hillclimbing,1525
aws-aws-sdk-java-v2,2.9.6,ga,1585
aws-aws-sdk-java-v2,2.9.6,exhaustive,1473
aws-aws-sdk-java-v2,2.9.5,hillclimbing,1545
aws-aws-sdk-java-v2,2.9.5,ga,1544
aws-aws-sdk-java-v2,2.9.5,exhaustive,1060
aws-aws-sdk-java-v2,2.9.4,hillclimbing,1517
aws-aws-sdk-java-v2,2.9.4,ga,1397
aws-aws-sdk-java-v2,2.9.4,exhaustive,1429
aws-aws-sdk-java-v2,2.9.3,hillclimbing,1698
aws-aws-sdk-java-v2,2.9.3,ga,1434
aws-aws-sdk-java-v2,2.9.3,exhaustive,1527
aws-aws-sdk-java-v2,2.9.26,hillclimbing,1531
aws-aws-sdk-java-v2,2.9.26,ga,1538
aws-aws-sdk-java-v2,2.9.26,exhaustive,1337
aws-aws-sdk-java-v2,2.9.25,hillclimbing,1544
aws-aws-sdk-java-v2,2.9.25,ga,1310
aws-aws-sdk-java-v2,2.9.25,exhaustive,1609
aws-aws-sdk-java-v2,2.9.24,hillclimbing,1411
aws-aws-sdk-java-v2,2.9.24,ga,1467
aws-aws-sdk-java-v2,2.9.24,exhaustive,1549
bdew-neiaddons,v1.9.4,hillclimbing,18
bdew-neiaddons,v1.9.4,ga,20
bdew-neiaddons,v1.9.4,exhaustive,19
bdew-neiaddons,v1.9.3,hillclimbing,20
bdew-neiaddons,v1.9.3,ga,21
bdew-neiaddons,v1.9.3,exhaustive,18
bdew-neiaddons,v1.9.2,hillclimbing,18
bdew-neiaddons,v1.9.2,ga,22
bdew-neiaddons,v1.9.2,exhaustive,16
bdew-neiaddons,v1.9.1,hillclimbing,19
bdew-neiaddons,v1.9.1,ga,21
bdew-neiaddons,v1.9.1,exhaustive,17
bdew-neiaddons,v1.9.0,hillclimbing,29
bdew-neiaddons,v1.9.0,ga,28
bdew-neiaddons,v1.9.0,exhaustive,30
bdew-neiaddons,v1.8.2,hillclimbing,28
bdew-neiaddons,v1.8.2,ga,30
bdew-neiaddons,v1.8.2,exhaustive,30
bdew-neiaddons,v1.8.1,hillclimbing,30
bdew-neiaddons,v1.8.1,ga,27
bdew-neiaddons,v1.8.1,exhaustive,30
bdew-neiaddons,v1.8.0,hillclimbing,28
bdew-neiaddons,v1.8.0,ga,29
bdew-neiaddons,v1.8.0,exhaustive,29
bdew-neiaddons,v1.7.2,hillclimbing,28
bdew-neiaddons,v1.7.2,ga,27
bdew-neiaddons,v1.7.2,exhaustive,31
bdew-neiaddons,v1.7.1,hillclimbing,29
bdew-neiaddons,v1.7.1,ga,27
bdew-neiaddons,v1.7.1,exhaustive,32
bkromhout-realm-java,v0.89.0,hillclimbing,253
bkromhout-realm-java,v0.89.0,ga,257
bkromhout-realm-java,v0.89.0,exhaustive,246
bkromhout-realm-java,v0.88.3,hillclimbing,215
bkromhout-realm-java,v0.88.3,ga,211
bkromhout-realm-java,v0.88.3,exhaustive,196
bkromhout-realm-java,v0.88.2,hillclimbing,212
bkromhout-realm-java,v0.88.2,ga,189
bkromhout-realm-java,v0.88.2,exhaustive,209
bkromhout-realm-java,v0.88.1,hillclimbing,207
bkromhout-realm-java,v0.88.1,ga,238
bkromhout-realm-java,v0.88.1,exhaustive,213
bkromhout-realm-java,v0.88.0,hillclimbing,225
bkromhout-realm-java,v0.88.0,ga,203
bkromhout-realm-java,v0.88.0,exhaustive,197
