project_name,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
apache-metamodel,6990.0,9949.0,1369.0,12138.0,27892.0,5368.0,402.0,4444.0,453.0,433.0,2.0,44.0,118.0,8.0,1718.0,694.0,346.0,1320.0,35.0,0.0,1327.0,0.0,2196.0,61703.0,3902.0,652.0,1194.0,520.0,247.0,8811.0,4440.0,10284.0,948.0,8767.0,806.0,244.0,7.0,101.0,43303.0,58180.0
alibaba-jetcache,1815.0,2091.0,448.0,2824.0,5705.0,1407.0,108.0,1042.0,132.0,135.0,20.0,12.0,13.0,8.0,470.0,75.0,24.0,352.0,65.0,0.0,64.0,0.0,633.0,15592.0,822.0,82.0,176.0,75.0,86.0,1450.0,1036.0,2063.0,246.0,1578.0,165.0,16.0,104.0,215.0,8090.0,14597.0
evant-gradle-retrolambda,120.0,82.0,23.0,207.0,54.0,75.0,21.0,65.0,2.0,1.0,1.0,0.0,0.0,0.0,44.0,4.0,12.0,28.0,0.0,0.0,27.0,0.0,129.0,1915.0,25.0,1.0,2.0,3.0,1.0,1183.0,9.0,169.0,86.0,167.0,0.0,1.0,0.0,12.0,741.0,22.0
apache-qpid-broker-j,25363.0,43310.0,4869.0,47154.0,228645.0,24107.0,1387.0,16486.0,3254.0,1329.0,3.0,258.0,2101.0,155.0,9106.0,3458.0,1066.0,7094.0,80.0,0.0,5334.0,0.0,11656.0,351731.0,13154.0,2200.0,3083.0,3208.0,3304.0,31824.0,16209.0,42664.0,5226.0,37071.0,2484.0,1059.0,608.0,522.0,156260.0,171738.0
apache-cxf,69334.0,105718.0,13618.0,122106.0,426204.0,51306.0,5277.0,37958.0,6225.0,4342.0,17.0,273.0,577.0,255.0,17745.0,7485.0,3040.0,11437.0,1196.0,0.0,8099.0,0.0,31688.0,677027.0,28324.0,5682.0,10133.0,5827.0,4720.0,88056.0,26054.0,112041.0,10535.0,93063.0,7380.0,750.0,1595.0,510.0,351364.0,357771.0
socketio-socket.io-client-java,200.0,356.0,45.0,380.0,929.0,218.0,30.0,162.0,41.0,1.0,0.0,0.0,3.0,0.0,115.0,63.0,44.0,60.0,1.0,0.0,52.0,0.0,132.0,3682.0,92.0,18.0,26.0,13.0,15.0,285.0,162.0,542.0,31.0,380.0,23.0,171.0,13.0,0.0,1314.0,1070.0
crate-crate,48283.0,54728.0,11014.0,67918.0,258676.0,32545.0,3884.0,24827.0,3390.0,1682.0,144.0,344.0,332.0,183.0,11298.0,3231.0,1574.0,8785.0,353.0,0.0,9110.0,0.0,30222.0,428082.0,21013.0,3956.0,6272.0,1985.0,2064.0,48683.0,32601.0,46037.0,7951.0,39058.0,3970.0,904.0,1275.0,4648.0,271636.0,276882.0
apache-sling-org-apache-sling-scripting-jsp,995.0,4071.0,244.0,2393.0,9735.0,1352.0,178.0,1050.0,210.0,18.0,0.0,6.0,11.0,5.0,596.0,188.0,130.0,411.0,47.0,0.0,221.0,0.0,839.0,26771.0,1102.0,241.0,686.0,150.0,309.0,3655.0,2843.0,3348.0,773.0,2070.0,217.0,26.0,106.0,1.0,13154.0,6608.0
prolificinteractive-material-calendarview,469.0,671.0,96.0,784.0,6086.0,424.0,15.0,280.0,26.0,69.0,0.0,7.0,0.0,0.0,178.0,37.0,23.0,119.0,6.0,0.0,76.0,0.0,121.0,4229.0,147.0,37.0,68.0,1.0,33.0,70.0,358.0,540.0,97.0,424.0,16.0,13.0,17.0,4.0,3201.0,2140.0
google-dagger,7555.0,6212.0,1378.0,11167.0,22656.0,4704.0,891.0,2468.0,750.0,131.0,9.0,305.0,135.0,2.0,1561.0,436.0,216.0,1065.0,3.0,0.0,1175.0,0.0,2707.0,81443.0,2416.0,239.0,127.0,107.0,67.0,21621.0,1020.0,5021.0,426.0,5098.0,187.0,136.0,818.0,536.0,45117.0,132002.0
