project_name,project_link,version_name,commit,major_version_x,major_version_int,major_version_y,count,rank
web3j-web3j,https://github.com/web3j/web3j,v4.6.1,"Commit(sha=""8e94d2bcf305358d030bab9f89d4692bb3f5827c"")",4,4.0,4,30,1.0
web3j-web3j,https://github.com/web3j/web3j,v4.6.0-android,"Commit(sha=""9ff030a628caf2c3a77e8952bbf7feb8908c10c8"")",4,4.0,4,30,1.0
web3j-web3j,https://github.com/web3j/web3j,v4.6.0,"Commit(sha=""5877c308e11c0de8e24e50c882effa84354a8e57"")",4,4.0,4,30,1.0
web3j-web3j,https://github.com/web3j/web3j,v4.5.9,"Commit(sha=""6c23f373ce8c30a38331c4eebf46517be532aa32"")",4,4.0,4,30,1.0
web3j-web3j,https://github.com/web3j/web3j,v4.5.8,"Commit(sha=""62df9d1c91281664c8534b994a4bbf094198fde2"")",4,4.0,4,30,1.0
web3j-web3j,https://github.com/web3j/web3j,v4.5.7,"Commit(sha=""24e7d1ef271141f7081bc73d26e6268836d4f811"")",4,4.0,4,30,1.0
web3j-web3j,https://github.com/web3j/web3j,v4.5.6,"Commit(sha=""93eed33dfbe32bb39113f2270115a3e1f6e6d5a5"")",4,4.0,4,30,1.0
web3j-web3j,https://github.com/web3j/web3j,v4.5.5,"Commit(sha=""b58beb105f49b77bf08df09a9c01f07106c529b7"")",4,4.0,4,30,1.0
web3j-web3j,https://github.com/web3j/web3j,v4.5.4,"Commit(sha=""4a595a7a1354dd1894b1e20c0066236f9c40c6fb"")",4,4.0,4,30,1.0
web3j-web3j,https://github.com/web3j/web3j,v4.5.2,"Commit(sha=""91077b261f6adcde8f8c2301fedb2f9122b17448"")",4,4.0,4,30,1.0
web3j-web3j,https://github.com/web3j/web3j,v4.5.18,"Commit(sha=""84bb820600e537e8cbe9fdea949809a570d803a1"")",4,4.0,4,30,1.0
web3j-web3j,https://github.com/web3j/web3j,v4.5.17,"Commit(sha=""99e9df1e386a13403a53f2d36009409bc52b4efb"")",4,4.0,4,30,1.0
web3j-web3j,https://github.com/web3j/web3j,v4.5.16,"Commit(sha=""c0b7b9c2769a466215d416696021aa75127c2ff1"")",4,4.0,4,30,1.0
web3j-web3j,https://github.com/web3j/web3j,v4.5.15,"Commit(sha=""c65e6bebf52fd3e897056b0ffb8dac01153668f1"")",4,4.0,4,30,1.0
web3j-web3j,https://github.com/web3j/web3j,v4.5.14,"Commit(sha=""09d26344484404ef073e324666fdd159c608207b"")",4,4.0,4,30,1.0
web3j-web3j,https://github.com/web3j/web3j,v4.5.13,"Commit(sha=""f5b4b3bb0d93ae97f91835a28194447a5fde5cae"")",4,4.0,4,30,1.0
web3j-web3j,https://github.com/web3j/web3j,v4.5.12,"Commit(sha=""439e3df9c10013a06588ac086a961afe28711c53"")",4,4.0,4,30,1.0
web3j-web3j,https://github.com/web3j/web3j,v4.5.11,"Commit(sha=""76dd40a28310d5849c4d671952fffe3a4a2cd2dd"")",4,4.0,4,30,1.0
web3j-web3j,https://github.com/web3j/web3j,v4.5.10,"Commit(sha=""a90ea1914196923e38063209a689e714fa25bc3b"")",4,4.0,4,30,1.0
web3j-web3j,https://github.com/web3j/web3j,v4.5.1,"Commit(sha=""313fd6bf9bdbc75475aaf2767300950d0d3bf82c"")",4,4.0,4,30,1.0
voxeolabs-moho,https://github.com/voxeolabs/moho,1.2.1-release,"Commit(sha=""9164296b0567b1c16a80c1495e5b3b4d0ca756e7"")",1,1.0,1,27,1.0
voxeolabs-moho,https://github.com/voxeolabs/moho,1.1.8-release,"Commit(sha=""7ca70b302373aabc2c38c1e94dedb264cf2dde70"")",1,1.0,1,27,1.0
voxeolabs-moho,https://github.com/voxeolabs/moho,1.1.7-release,"Commit(sha=""684005ed1ba91428e54734a8f66f69398ff66a49"")",1,1.0,1,27,1.0
voxeolabs-moho,https://github.com/voxeolabs/moho,1.1.6-release,"Commit(sha=""9cd0dffb72050c280f6ee03b06a6d8b29bcc1427"")",1,1.0,1,27,1.0
voxeolabs-moho,https://github.com/voxeolabs/moho,1.1.5-release,"Commit(sha=""085849490f614b39b67fd941387bffe0bc836f5d"")",1,1.0,1,27,1.0
voxeolabs-moho,https://github.com/voxeolabs/moho,1.1.4-release,"Commit(sha=""0119a45917259eeb3cc8a4497e8f8a09c2d8c1bd"")",1,1.0,1,27,1.0
voxeolabs-moho,https://github.com/voxeolabs/moho,1.1.3-release,"Commit(sha=""7e728af4ad76aeb4b2ca81eb16d178fac32157eb"")",1,1.0,1,27,1.0
