file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\CustomDispatcherTest.java,okhttp3.mockwebserver.CustomDispatcherTest,class,8,3,1,14,1,3,0,2,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,71,1,0,0,0,0,3,8,14,0,14,0,2,0,1,53,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\internal\http2\Http2Server.java,okhttp3.mockwebserver.internal.http2.Http2Server,class,9,33,2,53,32,9,1,3,6,0,0,0,0,0,3,1,0,2,0,0,3,0,5,156,10,3,1,3,1,44,5,26,7,24,3,0,0,0,80,17
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\MockWebServerTest.java,okhttp3.mockwebserver.MockWebServerTest,class,21,54,1,117,0,39,1,38,1,0,0,0,0,0,3,0,3,0,0,0,1,0,12,499,2,3,1,11,3,112,48,97,12,97,3,1,0,1,212,17
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\RecordedRequestTest.java,okhttp3.mockwebserver.RecordedRequestTest,class,8,5,2,7,0,5,0,5,0,0,0,0,0,0,2,0,1,1,0,0,0,0,10,80,0,0,0,0,0,16,60,12,0,12,0,0,1,0,35,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\okcurl\src\test\java\okhttp3\curl\MainTest.java,okhttp3.curl.MainTest,class,8,12,1,18,55,11,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,85,2,0,0,1,0,57,1,13,0,13,1,0,0,0,47,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\okhttp\src\test\java\okhttp3\AddressTest.java,okhttp3.AddressTest,class,7,4,1,7,0,4,0,4,0,0,0,0,0,0,6,0,0,6,0,0,0,0,1,43,0,0,0,0,0,9,6,12,1,12,0,0,0,0,35,17
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\okhttp\src\test\java\okhttp3\AutobahnTester.java,okhttp3.AutobahnTester,class,7,14,1,17,9,6,1,2,4,0,0,0,0,0,2,1,0,1,0,0,2,0,1,114,2,1,0,4,0,12,7,14,7,14,2,3,0,0,78,17
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\okhttp\src\test\java\okhttp3\CacheControlTest.java,okhttp3.CacheControlTest,class,3,15,1,28,91,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,1,1,35,29,22,3,22,1,0,0,0,61,17
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\okhttp\src\test\java\okhttp3\CacheTest.java,okhttp3.CacheTest,class,38,174,1,140,3657,159,0,138,19,0,0,1,0,0,10,1,5,5,0,0,5,0,18,2154,8,0,5,6,3,1150,244,298,135,281,1,3,0,3,566,17
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\okhttp\src\test\java\okhttp3\CallTest.java,okhttp3.CallTest,class,78,259,4,285,0,215,0,201,14,0,0,0,0,0,12,0,7,5,0,0,7,0,54,3173,10,9,0,33,10,1048,250,438,32,359,1,28,1,9,746,17
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\okhttp\src\test\java\okhttp3\CertificateChainCleanerTest.java,okhttp3.CertificateChainCleanerTest,class,6,22,1,19,105,15,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,2,4,0,2,0,15,39,52,2,52,1,0,0,0,82,17
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\okhttp\src\test\java\okhttp3\CertificatePinnerTest.java,okhttp3.CertificatePinnerTest,class,5,36,1,28,0,24,0,24,0,0,0,0,0,0,6,6,0,0,0,0,0,0,24,250,0,0,0,12,0,66,5,32,1,32,1,0,0,0,96,17
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\okhttp\src\test\java\okhttp3\CipherSuiteTest.java,okhttp3.CipherSuiteTest,class,5,16,4,22,105,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,158,0,0,0,1,0,71,0,13,0,13,1,0,1,0,145,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\okhttp\src\test\java\okhttp3\ConnectionCoalescingTest.java,okhttp3.ConnectionCoalescingTest,class,29,27,1,62,0,21,0,19,2,0,0,0,0,0,9,0,3,6,0,0,3,0,3,381,1,0,0,7,0,62,41,59,0,50,1,5,0,5,264,17
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\okhttp\src\test\java\okhttp3\ConnectionReuseTest.java,okhttp3.ConnectionReuseTest,class,24,24,1,47,0,20,0,15,5,0,0,0,0,0,6,0,4,2,0,0,4,0,2,285,0,3,0,2,0,59,31,49,0,43,1,0,0,1,142,17
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\okhttp\src\test\java\okhttp3\ConnectionSpecTest.java,okhttp3.ConnectionSpecTest,class,7,20,1,42,78,16,0,16,0,0,0,0,0,0,1,0,1,0,0,0,1,0,9,258,0,0,0,2,2,12,2,25,2,25,1,0,0,0,60,17
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\okhttp\src\test\java\okhttp3\CookiesTest.java,okhttp3.CookiesTest,class,17,16,1,65,5,14,0,12,2,0,0,0,0,0,3,0,2,1,0,0,2,0,6,264,1,1,0,0,0,89,21,62,7,54,2,2,0,0,109,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\okhttp\src\test\java\okhttp3\CookieTest.java,okhttp3.CookieTest,class,7,71,1,39,648,60,0,59,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,498,1,2,0,8,0,250,44,34,1,34,3,0,0,0,187,17
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\okhttp\src\test\java\okhttp3\DelegatingServerSocketFactory.java,okhttp3.DelegatingServerSocketFactory,class,1,6,2,5,0,6,0,5,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,35,5,0,0,0,0,0,0,5,0,5,0,0,0,0,26,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\okhttp\src\test\java\okhttp3\DelegatingSocketFactory.java,okhttp3.DelegatingSocketFactory,class,1,7,2,6,0,7,0,6,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,36,6,0,0,0,0,0,0,6,0,6,0,0,0,0,25,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\okhttp\src\test\java\okhttp3\DelegatingSSLSession.java,okhttp3.DelegatingSSLSession,class,1,22,1,21,0,22,0,22,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,76,18,0,0,0,0,0,0,1,0,1,0,0,0,0,43,1025
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\okhttp\src\test\java\okhttp3\DelegatingSSLSocket.java,okhttp3.DelegatingSSLSocket,class,2,74,3,63,0,68,0,68,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,260,40,0,0,6,0,14,0,1,0,1,1,0,0,0,112,1025
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\okhttp\src\test\java\okhttp3\DelegatingSSLSocketFactory.java,okhttp3.DelegatingSSLSocketFactory,class,1,10,3,9,0,10,0,9,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,48,9,0,0,0,0,0,0,7,0,7,0,0,0,0,34,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\okhttp\src\test\java\okhttp3\DispatcherTest.java,okhttp3.DispatcherTest,class,19,26,1,52,0,24,0,21,3,0,0,0,0,0,7,0,1,0,0,0,1,0,0,285,3,0,0,2,0,99,36,36,0,34,1,0,0,4,120,17
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\okhttp\src\test\java\okhttp3\DuplexTest.java,okhttp3.DuplexTest,class,33,21,1,82,0,17,0,14,3,0,0,0,0,0,7,0,4,3,0,0,3,0,1,468,1,0,0,14,11,143,7,75,0,68,1,2,0,0,196,17
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\okhttp\src\test\java\okhttp3\EventListenerTest.java,okhttp3.EventListenerTest,class,66,92,2,129,0,74,0,63,11,0,0,0,0,0,10,1,5,5,0,0,7,0,18,1276,4,0,1,13,0,464,92,187,6,162,1,7,1,5,282,17
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\okhttp\src\test\java\okhttp3\FallbackTestClientSocketFactory.java,okhttp3.FallbackTestClientSocketFactory,class,3,2,7,0,1,2,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,30,1,0,0,0,0,1,0,1,0,1,0,0,1,0,79,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\okhttp\src\test\java\okhttp3\FormBodyTest.java,okhttp3.FormBodyTest,class,5,8,1,19,28,8,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,1,0,0,0,0,116,91,20,1,20,0,0,0,0,40,17
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\okhttp\src\test\java\okhttp3\HeadersTest.java,okhttp3.HeadersTest,class,8,109,1,53,3240,81,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,781,0,0,0,28,0,492,76,96,8,95,1,0,0,0,201,17
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\okhttp\src\test\java\okhttp3\HttpUrlTest.java,okhttp3.HttpUrlTest,class,10,178,1,83,13360,164,1,162,1,0,0,0,0,0,1,0,1,0,0,0,0,0,18,1484,2,0,0,12,3,1279,65,112,5,113,2,0,0,0,325,17
