file,class,method,variable,usage
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\CustomDispatcherTest.java,okhttp3.mockwebserver.CustomDispatcherTest,simpleDispatch/0,mockWebServer,2
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\CustomDispatcherTest.java,okhttp3.mockwebserver.CustomDispatcherTest,outOfOrderResponses/0,mockWebServer,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\internal\http2\Http2Server.java,okhttp3.mockwebserver.internal.http2.Http2Server,"Http2Server/2[java.io.File,javax.net.ssl.SSLSocketFactory]",sslSocketFactory,3
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\internal\http2\Http2Server.java,okhttp3.mockwebserver.internal.http2.Http2Server,"Http2Server/2[java.io.File,javax.net.ssl.SSLSocketFactory]",baseDirectory,3
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\internal\http2\Http2Server.java,okhttp3.mockwebserver.internal.http2.Http2Server,run/0,logger,2
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\internal\http2\Http2Server.java,okhttp3.mockwebserver.internal.http2.Http2Server,onStream/1[Http2Stream],baseDirectory,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\internal\http2\Http2Server.java,okhttp3.mockwebserver.internal.http2.Http2Server,doSsl/1[java.net.Socket],sslSocketFactory,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\MockWebServerTest.java,okhttp3.mockwebserver.MockWebServerTest,statementStartsAndStops/0,server,2
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\MockWebServerTest.java,okhttp3.mockwebserver.MockWebServerTest,httpsWithClientAuth/0,server,6
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\MockWebServerTest.java,okhttp3.mockwebserver.MockWebServerTest,testH2PriorKnowledgeServerFallback/0,server,1
