file,class,method,line,cbo,wmc,rfc,loc,returns,variables,parameters,startLine,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\CustomDispatcherTest.java,okhttp3.mockwebserver.CustomDispatcherTest,simpleDispatch/0,36,3,1,8,16,0,4,0,36,0,0,0,0,1,2,4,0,0,1,0,0,22,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\CustomDispatcherTest.java,okhttp3.mockwebserver.CustomDispatcherTest,outOfOrderResponses/0,54,3,1,8,28,0,8,0,54,0,0,0,0,2,5,8,0,0,1,0,0,30,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\CustomDispatcherTest.java,okhttp3.mockwebserver.CustomDispatcherTest,"buildRequestThread/2[java.lang.String,java.util.concurrent.atomic.AtomicInteger]",87,0,1,0,13,1,0,2,87,0,0,0,0,0,0,0,0,0,0,0,1,17,2
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\internal\http2\Http2Server.java,okhttp3.mockwebserver.internal.http2.Http2Server,"serveDirectory/2[Http2Stream,java.io.File[]]",145,4,3,8,10,0,3,2,145,1,0,0,1,10,0,3,2,1,0,0,0,26,2
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\internal\http2\Http2Server.java,okhttp3.mockwebserver.internal.http2.Http2Server,"send404/2[Http2Stream,java.lang.String]",133,4,1,6,7,0,2,2,133,0,0,0,0,7,0,2,1,0,0,0,0,15,2
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\internal\http2\Http2Server.java,okhttp3.mockwebserver.internal.http2.Http2Server,contentType/1[java.io.File],172,0,8,2,10,8,0,1,172,0,0,0,0,15,0,0,0,0,0,0,0,4,2
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\internal\http2\Http2Server.java,okhttp3.mockwebserver.internal.http2.Http2Server,"Http2Server/2[java.io.File,javax.net.ssl.SSLSocketFactory]",53,0,1,0,4,0,0,2,53,0,0,0,0,0,0,2,0,0,0,0,0,8,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\internal\http2\Http2Server.java,okhttp3.mockwebserver.internal.http2.Http2Server,run/0,58,3,8,13,30,0,6,0,58,1,0,1,0,4,1,7,2,3,0,0,0,25,2
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\internal\http2\Http2Server.java,okhttp3.mockwebserver.internal.http2.Http2Server,main/1[java.lang.String[]],183,1,3,6,8,1,1,1,183,0,0,0,0,2,3,1,0,1,0,0,0,8,9
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\internal\http2\Http2Server.java,okhttp3.mockwebserver.internal.http2.Http2Server,onStream/1[Http2Stream],103,3,7,14,28,0,5,1,103,1,1,1,0,1,1,6,2,3,0,0,0,23,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\internal\http2\Http2Server.java,okhttp3.mockwebserver.internal.http2.Http2Server,doSsl/1[java.net.Socket],92,0,1,9,7,1,1,1,92,0,0,0,0,0,0,1,0,0,0,0,0,11,2
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\internal\http2\Http2Server.java,okhttp3.mockwebserver.internal.http2.Http2Server,"serveFile/2[Http2Stream,java.io.File]",160,4,1,7,7,0,3,2,160,0,0,1,0,5,0,3,0,1,0,0,0,18,2
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\MockWebServerTest.java,okhttp3.mockwebserver.MockWebServerTest,statementStartsAndStops/0,414,2,2,10,18,0,2,0,414,0,0,1,0,1,0,2,0,1,1,0,0,17,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\MockWebServerTest.java,okhttp3.mockwebserver.MockWebServerTest,httpsWithClientAuth/0,560,9,1,38,28,0,11,0,560,0,0,0,0,5,4,11,0,0,0,0,0,41,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\MockWebServerTest.java,okhttp3.mockwebserver.MockWebServerTest,testH2PriorKnowledgeServerFallback/0,504,1,2,6,9,0,0,0,504,0,0,1,1,2,0,0,1,1,0,0,0,23,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\MockWebServerTest.java,okhttp3.mockwebserver.MockWebServerTest,throttleRequest/0,258,2,1,17,13,0,5,0,258,0,0,0,0,2,5,5,1,0,0,0,0,41,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\MockWebServerTest.java,okhttp3.mockwebserver.MockWebServerTest,shutdownWithoutStart/0,380,2,1,1,4,0,1,0,380,0,0,0,0,0,0,1,0,0,0,0,0,10,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\MockWebServerTest.java,okhttp3.mockwebserver.MockWebServerTest,dispatchBlocksWaitingForEnqueue/0,181,1,1,8,15,0,3,0,181,0,0,0,0,2,0,3,0,0,0,0,1,40,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\MockWebServerTest.java,okhttp3.mockwebserver.MockWebServerTest,getPlatform/0,626,0,1,1,3,1,0,0,626,0,0,0,0,2,0,0,0,0,0,0,0,2,9
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\MockWebServerTest.java,okhttp3.mockwebserver.MockWebServerTest,disconnectRequestHalfway/0,320,3,4,17,25,0,4,0,320,1,1,1,0,2,14,4,3,3,0,0,0,24,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\MockWebServerTest.java,okhttp3.mockwebserver.MockWebServerTest,disconnectResponseHalfway/0,351,2,2,11,13,0,3,0,351,0,0,1,0,2,2,3,0,1,0,0,0,21,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\MockWebServerTest.java,okhttp3.mockwebserver.MockWebServerTest,testMockWebServerH2PriorKnowledgeProtocol/0,527,1,1,7,5,0,0,0,527,0,0,0,0,0,2,0,0,0,0,0,0,12,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\MockWebServerTest.java,okhttp3.mockwebserver.MockWebServerTest,requestUrlReconstructed/0,447,4,1,20,17,0,6,0,447,0,0,0,0,8,0,6,0,0,0,0,0,28,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\MockWebServerTest.java,okhttp3.mockwebserver.MockWebServerTest,mockResponseSetHeader/0,119,3,1,6,5,0,1,0,119,0,0,0,0,7,0,1,0,0,0,0,0,14,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\Okhttp\Okhttp_parent-4.8.1\mockwebserver\src\test\java\okhttp3\mockwebserver\MockWebServerTest.java,okhttp3.mockwebserver.MockWebServerTest,http100Continue/0,487,3,1,17,13,0,5,0,487,0,0,0,0,7,0,5,0,0,0,0,0,27,1
